,AccHOMO,AccCalcLUMO,AccFundBg,AccOptBg,AccEnergyTransitioneV,AccTriplet,AccDeltaHOMO,AccDeltaLUMO,DeltaDipMom,GSDipMom,AccEnergyTransitionWavenumber,AccOscStr,AccSumOscStr,AccElectroIndex,DonHOMO,DonCalcLUMO,DonFundBg,DonEnergyTransitioneV,DonDeltaHOMO,DonDeltaLUMO,DonEnergyTransitionWavenumber,DonOscStr,DonSumOscStr,AbsFOM,LUMOOffset,HOMOOffset,DHomoALumoOffset,DonNucleoIndex,AccNucleoIndex,DonElectroIndex,AccChemHard,AccElectrodonating,AccElectroaccepting,DonChemHard,DonElectrodonating,DonElectroaccepting,acc_first_oscs,acc_highest_oscs_under_ten,acc_lowest_transition_eV,acc_lowest_transition_wavenumber,don_first_oscs,don_highest_oscs_under_ten,don_lowest_transition_eV,don_lowest_transition_wavenumber,PiSystemSize,Planarity,Polarizability,sTDDFTLUMO,sTDDFTHOMO,sTDDFTdeltaLUMO,sTDDFTdeltaHOMO,sTDDFToptbg,sTDDFToscs,sTDDFTfundbg,sTDDFTsinglepointenergy,sTDDFTdipolemoment,sTDDFTsummedoscs,sTDDFTabsFOM,sTDDFTScharberVoc,sTDDFTScharberJscDon,sTDDFTScharberJscAcc,sTDDFTScharberJscTot,sTDDFTScharberPCETot,sTDDFTScharberPCEAcc,sTDDFTScharberPCEDon,donsTDDFTLUMO,donsTDDFTHOMO,donsTDDFTdeltaLUMO,donsTDDFTdeltaHOMO,donsTDDFToptbg,donsTDDFToscs,donsTDDFTfundbg,donsTDDFTsinglepointenergy,donsTDDFTdipolemoment,donsTDDFTsummedoscs,donsTDDFTabsFOM,sTDDFTDHomoALumoOffset,sTDDFTaccElectrophilicity,sTDDFTdonElectrophilicity,sTDDFTDonNucleoIndex,sTDDFTAccNucleoIndex,sTDDFTAccChemHard,sTDDFTAccElectrodonating,sTDDFTAccElectroaccepting,sTDDFTDonChemHard,sTDDFTDonElectrodonating,sTDDFTDonElectroaccepting,sTDDFTdonlowestengtranseV,sTDDFTdonlowestengtranswavenumber,sTDDFTdonfirstengtranseV,sTDDFTdonfirstengtranswavenumber,sTDDFTdonfirstoscs,sTDDFTacclowestengtranseV,sTDDFTacclowestengtranswavenumber,sTDDFTaccfirstengtranseV,sTDDFTaccfirstengtranswavenumber,sTDDFTaccfirstoscs,sTDDFTacchighestoscsunderten,sTDDFTdonhighestoscsunderten,sTDDFTHOMOoffset,sTDDFTLUMOoffset,ScharberJsclowestoptbg,ScharberVoc,ImamuraVoc,ScharberJscDon,ScharberJscAcc,ScharberTotalJsc,ImamuraJscDon,ImamuraJscAcc,ImamuraTotalJsc,ScharberFF,ImamuraFF,ScharberPCEtotal,ScharberPCEacc,ScharberPCEdon,ScharberPCElowestoptbg,ImamuraPCEtotal,ImamuraPCEacc,ImamuraPCEdon,AlharbiVocDon,AlharbiVocAcc,AlharbiFFDon,AlharbiFFAcc,AlharbiPCEAcc,AlharbiPCEDon,ExperimentalFF,ExperimentalVoc,ExperimentalJsc,ExperimentalPCE
12,-5.529217385234751,-3.696012168015944,1.8332052172188056,1.8332052172188056,1.8332052172188056,1.3259999999999998,0.6162018144572503,0.24468477436960034,2.106732072984024,5.416383514117209,14785.9,2.232003429,5.708098045,11.606019270347204,-4.991112245871,-2.983152515658741,2.007959730212259,2.007959730212259,0.34425123226754994,0.5647178739426502,16195.4,1.481089062,4.661161306,54.00817131185976,0.7128596523572033,0.5381051393637497,1.2951000778550559,0.12630882295428048,0.08616218676759824,7.91710330767603,1.8332052172188067,14.026901984736051,9.414287208110704,2.007959730212259,10.03616698119673,6.049034600431862,2.232003429,2.232003429,1.8332178794594407,14785.9,1.481089062,1.481089062,2.0079735995101697,16195.4,59,1.256875225282211,757.498602,-2.58,-6.51,0.27,0.8300000000000001,2.1076919262051184,2.295306949,3.93,-4744.658150235578,4.8680400000000015,6.278344996,19.657313386593877,3.0700000000000003,7.277138842750522,8.053066198943673,15.330205041694196,30.591424160700768,16.069893599992106,14.521530560708669,-2.05,-5.95,0.4199999999999999,0.3099999999999996,2.168530549494148,2.6916976910000003,3.9,-11533.103933002294,13.02707,8.566758652999999,24.18064733284576,3.37,5.256240458015268,4.102564102564102,0.24375,0.19025004810712093,3.93,7.774365458015268,3.2293654580152675,3.9,6.3463141025641026,2.346314102564102,2.16847219,17490.5,2.16847219,17490.5,2.6916976910000003,2.107635204,16999.8,2.107635204,16999.8,2.295306949,2.295306949,2.6916976910000003,0.5599999999999996,0.5300000000000002,12.211874138511947,0.9951000778550559,0.9951000778550559,9.388940717172996,12.211874138511947,21.600814855684945,12.277845536741946,15.96937385199816,28.247219388740106,65.0,70.0,13.97173215400608,7.8988239888931,6.072908165112981,7.8988239888931,19.67616714904689,11.123787614393905,8.552379534652983,1.351766853301422,1.1934815233219755,81.43611542522085,79.47930881363413,11.583828021613796,10.335593949717364,62.24,0.7879999999999999,21.28,10.44
16,-5.529217385234751,-3.696012168015944,1.8332052172188056,1.8332052172188056,1.8332052172188056,1.3259999999999998,0.6162018144572503,0.24468477436960034,2.106732072984024,5.416383514117209,14785.9,2.232003429,5.708098045,11.606019270347204,-5.0676578720166505,-3.0158824306359717,2.0517754413806784,2.0517754413806784,0.15654709819264934,0.18618029651209955,16548.8,1.343741812,5.910814255,47.69435481570166,0.8135383395590869,0.2859644454904497,1.5472407717283558,0.1255991217682025,0.08616218676759824,7.961839110989441,1.8332052172188067,14.026901984736051,9.414287208110704,2.0517754413806792,10.11096015173889,6.0691900004125765,2.232003429,2.232003429,1.8332178794594407,14785.9,1.343741812,1.343741812,2.0517896133206897,16548.8,59,1.256875225282211,757.498602,-2.58,-6.51,0.27,0.8300000000000001,2.1076919262051184,2.295306949,3.93,-4744.658150235578,4.8680400000000015,6.278344996,19.657313386593877,2.97,6.967194681231388,8.053066198943673,15.020260880175062,28.996613629177947,15.54644429706076,13.450169332117193,-1.83,-5.85,0.16000000000000014,0.29000000000000004,2.1962656219004164,0.241128707,4.02,-15122.809191764587,2.34005,12.751957815,44.747319950918076,3.27,5.256240458015268,3.668059701492538,0.27262369791666663,0.19025004810712093,3.93,7.774365458015268,3.2293654580152675,4.02,5.839309701492535,1.9993097014925372,2.625226908,21174.6,2.1962065159999997,17714.2,0.241128707,2.107635204,16999.8,2.107635204,16999.8,2.295306949,2.295306949,2.659886367,0.6600000000000001,0.75,12.211874138511947,1.2472407717283558,1.2472407717283558,8.779289146406706,12.211874138511947,20.991163284918656,11.480608883225045,15.969373872690939,27.449982755915986,65.0,70.0,17.01767255172262,9.900245761098674,7.117426790623942,9.900245761098674,23.96571637349309,13.942357935095586,10.023358438397514,1.391373523883216,1.1934815233219755,81.86874038221555,79.47930881363413,11.583828021613796,10.000488073657753,71.48,0.7979999999999999,26.15,14.92
19,-5.56780312923565,-3.8846921393526905,1.6831109898829597,1.6831109898829597,1.6831109898829597,1.216,0.7188703702508992,0.33701300384425004,2.1294051631184434,12.789699705437078,13575.3,1.388415545,4.402796909,13.271505465141392,-5.243252939744299,-2.8824738284568574,2.3607791112874428,2.3607791112874428,0.3944834490698499,0.28890327507584995,19041.1,1.009233201,3.885868678,52.73517149896731,1.0022183108958331,0.3245501894913501,1.3585608003916096,0.14301807077621034,0.07534940196698674,6.992123404914088,1.6831109898829597,15.739823719156165,11.013576084861992,2.360779111287442,9.171103791419842,5.108240407319262,1.388415545,1.388415545,1.6831226153988423,13575.3,1.009233201,1.009233201,2.3607954175650554,19041.1,54,2.6009844842630474,1009.609599,-2.72,-6.57,0.3300000000000001,0.8899999999999997,2.0275243007339814,1.615687417,3.85,-6690.408544319676,11.41104,5.68817537,23.59152487594321,3.02,5.9897904869356955,9.109474350185367,15.099264837121062,29.639856875268645,17.881898149413875,11.757958725854769,-1.99,-6.04,0.18999999999999995,0.2599999999999998,2.2861659392977582,0.548377181,4.05,-15717.647341304437,1.22344,13.040835350999998,48.55193625232204,3.32,5.6041623376623395,3.9803024691358018,0.25123718806654377,0.17843879954718256,3.85,8.167287337662337,3.5222873376623376,4.05,6.240927469135803,2.2259274691358018,2.6317358579999994,21227.1,2.2861044139999995,18439.3,0.059964056,2.027469736,16353.2,2.027469736,16353.2,1.615687417,1.615687417,2.257052621,0.5300000000000002,0.7300000000000002,14.941766914584987,1.0585608003916096,1.0585608003916096,5.261600286563966,14.941766914584987,20.203367201148954,6.880554220890741,19.53923365753252,26.419787878423254,65.0,70.0,13.901220160784993,10.280899683839172,3.620320476945819,10.280899683839172,19.576866261932185,14.478426773689408,5.09843948824278,1.669796141136633,1.0571226606791542,84.42096775051293,77.42976175050639,12.230247978442467,7.417057261967582,72.57,0.893,23.15,15.0
28,-5.616729199555548,-3.846507517349639,1.7702216822059116,1.7702216822059114,1.7702216822059114,1.259,0.7265167694499501,0.21469782804450024,2.9262780127799704,7.495662582298589,14277.9,1.901843457,5.383279377999999,12.647123529832266,-5.0676578720166505,-3.0158824306359717,2.0517754413806784,2.0517754413806784,0.15654709819264934,0.18618029651209955,16548.8,1.343741812,5.910814255,48.15320043579421,0.9640336888927812,0.37347625981125,1.3967454223946616,0.1255991217682025,0.07906936289830505,7.961839110989441,1.7702216822059105,15.123571564196432,10.391953205743835,2.0517754413806792,10.11096015173889,6.0691900004125765,1.901843457,1.901843457,1.770233909409231,14277.9,1.343741812,1.343741812,2.0517896133206897,16548.8,59,1.6091598249906134,791.166684,-2.71,-6.61,0.23,0.92,2.0389679627058124,1.634962525,3.9,-5808.088734059994,6.59778,6.348473984,22.94214436189519,2.84,6.967194681231388,8.968368954529438,15.935563635760825,29.41705047161448,16.555609090061342,12.86144138155314,-1.83,-5.85,0.16000000000000014,0.29000000000000004,2.1962656219004164,0.241128707,4.02,-15122.809191764587,2.34005,12.751957815,44.747319950918076,3.14,5.568102564102563,3.668059701492538,0.27262369791666663,0.17959439297095176,3.9,8.141852564102566,3.4818525641025637,4.02,5.839309701492535,1.9993097014925372,2.625226908,21174.6,2.1962065159999997,17714.2,0.241128707,2.03891309,16445.5,2.03891309,16445.5,1.634962525,1.634962525,2.659886367,0.7600000000000007,0.8799999999999999,13.33048049539155,1.0967454223946616,1.0967454223946616,8.779289146406706,13.33048049539155,22.109769641798263,11.480608883759054,17.432166801660458,28.91277568541951,65.0,70.0,15.761712619147756,9.503093250067304,6.25861936908045,9.503093250067304,22.196968067195268,13.383054399498905,8.813913667696356,1.391373523883216,1.136308102751773,81.86874038221555,78.66707130826221,11.916120586936353,10.000488073657753,73.0,0.79,25.82,15.12
43,-5.74299002618755,-3.8808223015297436,1.862167724657806,1.862167724657806,1.862167724657806,1.324,0.7713883433974003,0.25371895420619994,1.8190227105150416,1.237300857607373,15019.5,2.417417962,5.819091822000001,12.434132878141108,-5.243252939744299,-2.8824738284568574,2.3607791112874428,2.3607791112874428,0.3944834490698499,0.28890327507584995,19041.1,1.009233201,3.885868678,46.76686375574353,0.9983484730728862,0.4997370864432496,1.3624306382145566,0.14301807077621034,0.08042378264735893,6.992123404914088,1.8621677246578057,14.956471442861545,10.1445652790029,2.360779111287442,9.171103791419842,5.108240407319262,2.417417962,2.417417962,1.862180586947096,15019.5,1.009233201,1.009233201,2.3607954175650554,19041.1,59,1.2045012410989109,675.753217,-2.79,-6.74,0.28000000000000025,0.9500000000000002,2.1008852410236063,2.301944449,3.95,-4971.629833699295,1.43994,6.3199884520000005,20.199236409435148,2.95,5.9897904869356955,8.138091865385189,14.127882352320885,27.090214410575296,15.604791151876102,11.485423258699196,-1.99,-6.04,0.18999999999999995,0.2599999999999998,2.2861659392977582,0.548377181,4.05,-15717.647341304437,1.22344,13.040835350999998,48.55193625232204,3.25,5.748158227848103,3.9803024691358018,0.25123718806654377,0.17396876710096462,3.95,8.3775332278481,3.6125332278481017,4.05,6.240927469135803,2.2259274691358018,2.6317358579999994,21227.1,2.2861044139999995,18439.3,0.059964056,2.100828702,16944.9,2.100828702,16944.9,2.301944449,2.301944449,2.257052621,0.7000000000000002,0.8,11.665074867865155,1.0624306382145563,1.0624306382145563,5.261600286563966,11.665074867865155,16.926675154429127,6.8805542208906605,15.254328673360622,22.13488289425128,65.0,70.0,11.689221886660896,8.055666408846266,3.6335554778146313,8.055666408846266,16.461744432100698,11.344666303581194,5.1170781285195055,1.669796141136633,1.2197498809075682,84.42096775051293,79.8321113799295,11.35889095656523,7.417057261967582,74.8,0.83,25.3,15.7
47,-5.74299002618755,-3.8808223015297436,1.862167724657806,1.862167724657806,1.862167724657806,1.324,0.7713883433974003,0.25371895420619994,1.8190227105150416,1.237300857607373,15019.5,2.417417962,5.819091822000001,12.434132878141108,-5.3105194835879015,-2.8813883588110696,2.42913112477683,2.42913112477683,0.3627277627165002,0.2762227696425499,19592.4,1.073636459,3.690165444,44.91274193705324,0.999433942718674,0.43247054259965,1.429697182058156,0.14479075549404066,0.08042378264735893,6.9065182827998886,1.8621677246578057,14.956471442861545,10.1445652790029,2.429131124776831,9.106315938698183,5.010362017498697,2.417417962,2.417417962,1.862180586947096,15019.5,1.073636459,1.073636459,2.429147903172695,19592.4,59,1.2045012410989109,675.753217,-2.79,-6.74,0.28000000000000025,0.9500000000000002,2.1008852410236063,2.301944449,3.95,-4971.629833699295,1.43994,6.3199884520000005,20.199236409435148,3.05,5.517483362398774,8.138091865385189,13.655575227783961,27.072177889081697,16.133767123126134,10.938410765955567,-1.96,-6.14,0.1299999999999999,0.11000000000000032,2.3313950605038682,0.283931444,4.18,-17879.618020185568,2.20141,12.985482327,50.146237991126526,3.35,5.748158227848103,3.924043062200957,0.2548392013412589,0.17396876710096462,3.95,8.3775332278481,3.6125332278481017,4.18,6.2102930622009564,2.1602930622009566,2.5710724439999995,20737.8,2.3313323179999994,18804.1,0.283931444,2.100828702,16944.9,2.100828702,16944.9,2.301944449,2.301944449,1.818247616,0.6000000000000005,0.8300000000000001,11.665074867865155,1.129697182058156,1.129697182058156,4.646425082474601,11.665074867865155,16.311499950339762,6.076094338620052,15.254328673360677,21.330423011980727,65.0,70.0,11.977586093876376,8.565701434371045,3.4118846595053305,8.565701434371045,16.86784313812015,12.062940481539135,4.804902656581012,1.7311731255284768,1.2197498809075682,84.88984728119378,79.8321113799295,11.35889095656523,6.828340870477662,73.3,0.882,25.605,17.037
49,-5.6337363152118005,-3.8811202668087055,1.7526160484030946,1.7526160484030946,1.7526160484030946,1.249,0.5829767133112007,0.2557598080849495,2.9780339929542814,5.915542735253236,14135.9,1.5741551930000002,5.953637220999999,12.913908876235054,-5.243252939744299,-2.8824738284568574,2.3607791112874428,2.3607791112874428,0.3944834490698499,0.28890327507584995,19041.1,1.009233201,3.885868678,55.369857931990786,0.9986464383518476,0.39048337546749945,1.3621326729355951,0.14301807077621034,0.07743588789295698,6.992123404914088,1.752616048403095,15.402161524765374,10.644733233755119,2.360779111287442,9.171103791419842,5.108240407319262,1.5741551930000002,1.5741551930000002,1.7526281540014952,14135.9,1.009233201,1.009233201,2.3607954175650554,19041.1,58,0.875022315348404,657.798193,-2.76,-6.65,0.2799999999999998,0.7599999999999998,2.0408401110890693,1.827808822,3.890000000000001,-4615.655397969913,5.29703,6.2827740510000005,25.6493039919628,2.9800000000000004,5.9897904869356955,8.921137717815391,14.910928204751086,28.882467932602854,17.280243759408414,11.602224173194443,-1.99,-6.04,0.18999999999999995,0.2599999999999998,2.2861659392977582,0.548377181,4.05,-15717.647341304437,1.22344,13.040835350999998,48.55193625232204,3.28,5.690751928020566,3.9803024691358018,0.25123718806654377,0.17572370271073012,3.890000000000001,8.286376928020562,3.581376928020565,4.05,6.240927469135803,2.2259274691358018,2.6317358579999994,21227.1,2.2861044139999995,18439.3,0.059964056,2.040785188,16460.6,2.040785188,16460.6,1.827808822,1.827808822,2.257052621,0.6100000000000003,0.7699999999999998,13.665856851818154,1.0621326729355949,1.0621326729355949,5.261600286563966,13.665856851818154,18.92745713838212,6.880554220890665,17.870735883145066,24.751290104035732,65.0,70.0,13.067255917471414,9.43471949288494,3.6325364245864713,9.43471949288494,18.402407741762666,13.28676472962364,5.1156430121390235,1.669796141136633,1.1203145815145916,84.42096775051293,78.42822037369126,12.007406576564133,7.417057261967582,70.66,0.91,23.63,15.24
70,-5.651723040729848,-3.9446336735408014,1.7070893671890497,1.70708936718905,1.70708936718905,1.07,0.7611024398485,0.3747824062936501,0.59976620187321,8.271367691143361,13768.7,2.686584809,5.861717497000001,13.486414940766402,-5.0676578720166505,-3.0158824306359717,2.0517754413806784,2.0517754413806784,0.15654709819264934,0.18618029651209955,16548.8,1.343741812,5.910814255,45.84025595409054,1.0621598450839431,0.40847010098555,1.2986192662034997,0.1255991217682025,0.07414868995148775,7.961839110989441,1.7070893671890484,15.99219720478338,11.194018847648056,2.0517754413806792,10.11096015173889,6.0691900004125765,2.686584809,2.686584809,1.7071011583274067,13768.7,1.343741812,1.343741812,2.0517896133206897,16548.8,52,1.061169743971015,682.620228,-2.89,-6.64,0.3999999999999999,0.92,1.8946637571910332,2.025705507,3.75,-5798.485012735728,7.2198600000000015,5.400900097999999,20.56165253947636,2.66,6.967194681231388,11.146872107054342,18.114066788285733,31.31922147694603,19.27294187309696,12.046279603849067,-1.83,-5.85,0.16000000000000014,0.29000000000000004,2.1962656219004164,0.241128707,4.02,-15122.809191764587,2.34005,12.751957815,44.747319950918076,2.9599999999999995,6.054726666666667,3.668059701492538,0.27262369791666663,0.16516022193129554,3.75,8.671601666666666,3.9066016666666665,4.02,5.839309701492535,1.9993097014925372,2.625226908,21174.6,2.1962065159999997,17714.2,0.241128707,1.8946127680000002,15281.6,1.8946127680000002,15281.6,2.025705507,2.025705507,2.659886367,0.79,1.06,14.502696090536949,0.9986192662034996,0.9986192662034996,8.779289146406706,14.502696090536949,23.281985236943655,11.480608883762484,18.965064118394253,30.44567300215673,65.0,70.0,15.112395358500304,9.413736623137844,5.69865873536246,9.413736623137844,21.282544942739815,13.257214889389227,8.025330053350588,1.391373523883216,1.0789323495311058,81.86874038221555,77.78464481234573,12.171296266786447,10.000488073657753,66.8,0.65,21.3,9.28
76,-5.524373758695849,-3.733694825944412,1.7906789327514383,1.7906789327514383,1.7906789327514383,1.296,0.7661093346976999,0.20318741216834946,2.890511362366653,3.536735672125732,14442.9,1.624418043,5.356254899,11.966387769219454,-5.0676578720166505,-3.0158824306359717,2.0517754413806784,2.0517754413806784,0.15654709819264934,0.18618029651209955,16548.8,1.343741812,5.910814255,46.009093548273036,0.8512209974875544,0.2811208189515497,1.5095581137998884,0.1255991217682025,0.08356740724817982,7.961839110989441,1.7906789327514367,14.39282234867648,9.76378805635635,2.0517754413806792,10.11096015173889,6.0691900004125765,1.624418043,1.624418043,1.790691301256248,14442.9,1.343741812,1.343741812,2.0517896133206897,16548.8,59,1.4292168496578217,673.17979,-2.56,-6.52,0.2200000000000002,0.9600000000000009,2.083663955564372,1.574573796,3.96,-4575.073884205068,2.95668,5.97587582,21.104776586561094,2.99,6.967194681231388,8.363417844445753,15.33061252567714,29.79504544365352,16.25430258068032,13.540742862973199,-1.83,-5.85,0.16000000000000014,0.29000000000000004,2.1962656219004164,0.241128707,4.02,-15122.809191764587,2.34005,12.751957815,44.747319950918076,3.29,5.2049494949494965,3.668059701492538,0.27262369791666663,0.1921248229152516,3.96,7.722449494949495,3.1824494949494957,4.02,5.839309701492535,1.9993097014925372,2.625226908,21174.6,2.1962065159999997,17714.2,0.241128707,2.08360788,16806.0,2.08360788,16806.0,1.574573796,1.574573796,2.659886367,0.6699999999999999,0.73,12.95471165840462,1.2095581137998883,1.2095581137998883,8.779289146406706,12.95471165840462,21.73400080481133,11.480608883609536,16.940776783841688,28.421385667451226,65.0,70.0,17.08754906221535,10.185159788934854,6.902389273280495,10.185159788934854,24.064122347651033,14.343597809077945,9.720524538573093,1.391373523883216,1.1548855449695834,81.86874038221555,78.93795529221237,11.810072655946493,10.000488073657753,70.2,0.88,22.8,14.1
82,-5.532646019751049,-3.7108968628377403,1.8217491569133109,1.8217491569133109,1.8217491569133109,1.346,0.7597962933661,0.20394933094974954,1.9989477602398504,8.666129101818186,14693.5,2.554595071,6.190526695999999,11.725418493815694,-5.0676578720166505,-3.0158824306359717,2.0517754413806784,2.0517754413806784,0.15654709819264934,0.18618029651209955,16548.8,1.343741812,5.910814255,49.4882241446601,0.828423034380882,0.2893930800067501,1.5323560769065607,0.1255991217682025,0.08528480245949664,7.961839110989441,1.8217491569133093,14.150163536769972,9.528392095475578,2.0517754413806792,10.11096015173889,6.0691900004125765,2.554595071,2.554595071,1.8217617400251112,14693.5,1.343741812,1.343741812,2.0517896133206897,16548.8,65,1.2240959663216644,747.666295,-2.56,-6.54,0.21,0.9500000000000002,2.1388613370363023,2.344992327,3.98,-5523.466007500807,7.610010000000001,6.809155565,20.806280005124933,2.99,6.967194681231388,7.637012876408442,14.604207557639828,28.383277388273005,14.842534525299806,13.540742862973199,-1.83,-5.85,0.16000000000000014,0.29000000000000004,2.1962656219004164,0.241128707,4.02,-15122.809191764587,2.34005,12.751957815,44.747319950918076,3.29,5.201633165829144,3.668059701492538,0.27262369791666663,0.19224731312643406,3.98,7.725383165829146,3.175383165829145,4.02,5.839309701492535,1.9993097014925372,2.625226908,21174.6,2.1962065159999997,17714.2,0.241128707,2.138803776,17251.2,2.138803776,17251.2,2.344992327,2.344992327,2.659886367,0.6900000000000004,0.73,12.41098660697139,1.232356076906561,1.232356076906561,8.779289146406706,12.41098660697139,21.190275753378092,11.480608883435304,16.229751716346033,27.710360599781342,65.0,70.0,16.974077312400812,9.941590597579633,7.032486714821178,9.941590597579633,23.90432189488886,14.0005832080266,9.903738686862258,1.391373523883216,1.1830872365287843,81.86874038221555,79.33627401419895,11.649167134034697,10.000488073657753,73.0,0.89,22.25,14.51
