Donor/acceptor pair,FOM 1.5G AM
PBDB-TF_dimer and BTA53,45.240823689067184
PDCBT-Cl_tetra and BTA53,42.630304355549015
PTB7-Th and BTA53,59.19878765373888
P3HT and BTA53,36.99825856668617
PBDB-T_tetra and BTA53,72.62662520488344
PBDB-T-2Cl_dimer and BTA53,45.20426007871061
PBDB-TF_dimer and i-cc23,43.41967110499449
PDCBT-Cl_tetra and i-cc23,40.8091517714764
PTB7-Th and i-cc23,57.37763506966621
P3HT and i-cc23,35.17710598261356
PBDB-T_tetra and i-cc23,70.80547262081079
PBDB-T-2Cl_dimer and i-cc23,43.38310749463797
PBDB-TF_dimer and Y14,48.72400032024923
PDCBT-Cl_tetra and Y14,46.11348098673116
PTB7-Th and Y14,62.68196428492097
P3HT and Y14,40.48143519786832
PBDB-T_tetra and Y14,76.10980183606553
PBDB-T-2Cl_dimer and Y14,48.68743670989267
PBDB-TF_dimer and IPTBO-4Cl,53.278032777879346
PDCBT-Cl_tetra and IPTBO-4Cl,50.66751344436119
PTB7-Th and IPTBO-4Cl,67.23599674255107
P3HT and IPTBO-4Cl,45.03546765549835
PBDB-T_tetra and IPTBO-4Cl,80.66383429369554
PBDB-T-2Cl_dimer and IPTBO-4Cl,53.241469167522766
PBDB-TF_dimer and H2,48.99984150948174
PDCBT-Cl_tetra and H2,46.389322175963585
PTB7-Th and H2,62.95780547415341
P3HT and H2,40.75727638710073
PBDB-T_tetra and H2,76.3856430252979
PBDB-T-2Cl_dimer and H2,48.963277899125124
PBDB-TF_dimer and NITV,45.04557528791417
PDCBT-Cl_tetra and NITV,42.43505595439598
PTB7-Th and NITV,59.00353925258585
P3HT and NITV,36.80301016553317
PBDB-T_tetra and NITV,72.4313768037303
PBDB-T-2Cl_dimer and NITV,45.00901167755765
PBDB-TF_dimer and IDF-IC,41.565437934298345
PDCBT-Cl_tetra and IDF-IC,38.954918600780225
PTB7-Th and IDF-IC,55.523401898970036
P3HT and IDF-IC,33.32287281191736
PBDB-T_tetra and IDF-IC,68.95123945011444
PBDB-T-2Cl_dimer and IDF-IC,41.528874323941785
PBDB-TF_dimer and Y6,52.42985766638266
PDCBT-Cl_tetra and Y6,49.819338332864604
PTB7-Th and Y6,66.38782163105436
P3HT and Y6,44.1872925440017
PBDB-T_tetra and Y6,79.81565918219884
PBDB-T-2Cl_dimer and Y6,52.39329405602612
PBDB-TF_dimer and M34,55.46193059780581
PDCBT-Cl_tetra and M34,52.85141126428768
PTB7-Th and M34,69.41989456247744
P3HT and M34,47.21936547542487
PBDB-T_tetra and M34,82.84773211362209
PBDB-T-2Cl_dimer and M34,55.4253669874493
PBDB-TF_dimer and SeTIC,41.61171007829093
PDCBT-Cl_tetra and SeTIC,39.00119074477277
PTB7-Th and SeTIC,55.569674042962696
P3HT and SeTIC,33.36914495590995
PBDB-T_tetra and SeTIC,68.99751159410725
PBDB-T-2Cl_dimer and SeTIC,41.57514646793442
PBDB-TF_dimer and N3,46.492324161773496
PDCBT-Cl_tetra and N3,43.88180482825539
PTB7-Th and N3,60.45028812644523
P3HT and N3,38.2497590393925
PBDB-T_tetra and N3,73.8781256775898
PBDB-T-2Cl_dimer and N3,46.45576055141693
PBDB-TF_dimer and CPDT-4Cl,43.30314015632683
PDCBT-Cl_tetra and CPDT-4Cl,40.69262082280871
PTB7-Th and CPDT-4Cl,57.26110412099857
P3HT and CPDT-4Cl,35.06057503394584
PBDB-T_tetra and CPDT-4Cl,70.68894167214313
PBDB-T-2Cl_dimer and CPDT-4Cl,43.26657654597021
PBDB-TF_dimer and Y5,42.03282428189169
PDCBT-Cl_tetra and Y5,39.42230494837353
PTB7-Th and Y5,55.99078824656334
P3HT and Y5,33.79025915951068
PBDB-T_tetra and Y5,69.41862579770799
PBDB-T-2Cl_dimer and Y5,41.996260671535104
PBDB-TF_dimer and BTTPC,49.022078113070755
PDCBT-Cl_tetra and BTTPC,46.41155877955268
PTB7-Th and BTTPC,62.98004207774243
P3HT and BTTPC,40.77951299068984
PBDB-T_tetra and BTTPC,76.407879628887
PBDB-T-2Cl_dimer and BTTPC,48.98551450271423
PBDB-TF_dimer and BTP-PhC6,38.88565519973601
PDCBT-Cl_tetra and BTP-PhC6,36.27513586621794
PTB7-Th and BTP-PhC6,52.84361916440775
P3HT and BTP-PhC6,30.643090077355055
PBDB-T_tetra and BTP-PhC6,66.27145671555233
PBDB-T-2Cl_dimer and BTP-PhC6,38.849091589379455
PBDB-TF_dimer and o-IO1,52.0379681269205
PDCBT-Cl_tetra and o-IO1,49.427448793402334
PTB7-Th and o-IO1,65.99593209159218
P3HT and o-IO1,43.795403004539466
PBDB-T_tetra and o-IO1,79.42376964273667
PBDB-T-2Cl_dimer and o-IO1,52.00140451656393
PBDB-TF_dimer and TPIC-4Cl,45.03128517866392
PDCBT-Cl_tetra and TPIC-4Cl,42.42076584514578
PTB7-Th and TPIC-4Cl,58.989249143335556
P3HT and TPIC-4Cl,36.7887200562829
PBDB-T_tetra and TPIC-4Cl,72.41708669448003
PBDB-T-2Cl_dimer and TPIC-4Cl,44.994721568307334
PBDB-TF_dimer and AQx-2,51.98755572346153
PDCBT-Cl_tetra and AQx-2,49.37703638994333
PTB7-Th and AQx-2,65.9455196881333
P3HT and AQx-2,43.744990601080524
PBDB-T_tetra and AQx-2,79.37335723927771
PBDB-T-2Cl_dimer and AQx-2,51.95099211310492
PBDB-TF_dimer and N65-IC,44.17334976924814
PDCBT-Cl_tetra and N65-IC,41.562830435729985
PTB7-Th and N65-IC,58.131313733919825
P3HT and N65-IC,35.93078464686714
PBDB-T_tetra and N65-IC,71.55915128506446
PBDB-T-2Cl_dimer and N65-IC,44.136786158891596
PBDB-TF_dimer and BTA43,52.274786304833455
PDCBT-Cl_tetra and BTA43,49.66426697131535
PTB7-Th and BTA43,66.23275026950515
P3HT and BTA43,44.03222118245252
PBDB-T_tetra and BTA43,79.66058782064978
PBDB-T-2Cl_dimer and BTA43,52.238222694476924
PBDB-TF_dimer and BTCIC,39.32112699954697
PDCBT-Cl_tetra and BTCIC,36.710607666028785
PTB7-Th and BTCIC,53.27909096421862
P3HT and BTCIC,31.07856187716595
PBDB-T_tetra and BTCIC,66.70692851536317
PBDB-T-2Cl_dimer and BTCIC,39.28456338919039
PBDB-TF_dimer and o-IO2,43.34385616292853
PDCBT-Cl_tetra and o-IO2,40.733336829410355
PTB7-Th and o-IO2,57.301820127600266
P3HT and o-IO2,35.101291040547544
PBDB-T_tetra and o-IO2,70.72965767874484
PBDB-T-2Cl_dimer and o-IO2,43.30729255257194
PBDB-TF_dimer and IDST-4F,42.35072543200009
PDCBT-Cl_tetra and IDST-4F,39.74020609848191
PTB7-Th and IDST-4F,56.308689396671774
P3HT and IDST-4F,34.10816030961909
PBDB-T_tetra and IDST-4F,69.73652694781632
PBDB-T-2Cl_dimer and IDST-4F,42.314161821643516
PBDB-TF_dimer and BDTN-Th,54.99882592521364
PDCBT-Cl_tetra and BDTN-Th,52.388306591695546
PTB7-Th and BDTN-Th,68.95678988988537
P3HT and BDTN-Th,46.75626080283269
PBDB-T_tetra and BDTN-Th,82.38462744102989
PBDB-T-2Cl_dimer and BDTN-Th,54.96226231485709
PBDB-TF_dimer and IDTT-TBTA,37.064856397188024
PDCBT-Cl_tetra and IDTT-TBTA,34.454337063669946
PTB7-Th and IDTT-TBTA,51.02282036185979
P3HT and IDTT-TBTA,28.822291274807096
PBDB-T_tetra and IDTT-TBTA,64.4506579130043
PBDB-T-2Cl_dimer and IDTT-TBTA,37.02829278683152
PBDB-TF_dimer and BTP-4Cl,50.627228697153114
PDCBT-Cl_tetra and BTP-4Cl,48.01670936363497
PTB7-Th and BTP-4Cl,64.58519266182485
P3HT and BTP-4Cl,42.38466357477213
PBDB-T_tetra and BTP-4Cl,78.01303021296938
PBDB-T-2Cl_dimer and BTP-4Cl,50.590665086796506
PBDB-TF_dimer and ZY-4Cl,48.06726655322739
PDCBT-Cl_tetra and ZY-4Cl,45.456747219709236
PTB7-Th and ZY-4Cl,62.02523051789909
P3HT and ZY-4Cl,39.824701430846396
PBDB-T_tetra and ZY-4Cl,75.45306806904362
PBDB-T-2Cl_dimer and ZY-4Cl,48.030702942870846
PBDB-TF_dimer and EH-IDTBR,45.16976475735053
PDCBT-Cl_tetra and EH-IDTBR,42.55924542383238
PTB7-Th and EH-IDTBR,59.127728722022255
P3HT and EH-IDTBR,36.92719963496952
PBDB-T_tetra and EH-IDTBR,72.55556627316673
PBDB-T-2Cl_dimer and EH-IDTBR,45.133201146993926
PBDB-TF_dimer and BTN-4F,41.40674804794367
PDCBT-Cl_tetra and BTN-4F,38.79622871442555
PTB7-Th and BTN-4F,55.36471201261546
P3HT and BTN-4F,33.16418292556271
PBDB-T_tetra and BTN-4F,68.79254956375995
PBDB-T-2Cl_dimer and BTN-4F,41.37018443758713
PBDB-TF_dimer and BCDT-4F,40.89461539511947
PDCBT-Cl_tetra and BCDT-4F,38.284096061601325
PTB7-Th and BCDT-4F,54.85257935979117
