Molecule,First transition energy (cm-1),wavelength (nm),Oscillator Strength,Sum of Osc. Strentghs,optical bandgap (1/cm),first oscs,highest oscs under 10,lowest transtion eV,lowest transtion wavenumber
BTA53,14120.7,708.1801893673826,2.976480086,5.489043979999999,14120.7,2.976480086,2.976480086,1.7507435942677094,14120.7
i-cc23,21352.8,468.3226555767862,1.080349533,2.9829624829999997,10144.3,0.001038293,1.080349533,2.6474096765514137,21352.8
Y14,14632.3,683.4195581009137,0.128036359,3.537962527,12402.8,0.058454507,0.474918699,2.3611425733054903,19043.9
IPTBO-4Cl,13545.5,738.2525561994759,1.648768548,4.629386339,13545.5,1.648768548,1.648768548,1.6794278864470782,13545.5
H2,14246.3,701.9366431985849,1.807402038,5.271949707000001,14246.3,1.807402038,1.807402038,1.7663160089100447,14246.3
NITV,16249.4,615.4073381170997,0.257254959,3.644858514,16249.4,0.257254959,1.501716375,2.090584267314215,16861.7
IDF-IC,15501.1,645.1155079316951,1.515519804,3.300399098,15501.1,1.515519804,1.515519804,1.9218913743017834,15501.1
Y6,14207.4,703.8585525852725,1.562953743,5.753880199999999,14207.4,1.562953743,1.562953743,1.7614930238018691,14207.4
M34,14031.7,712.6720212091193,1.722035998,6.097425555999999,14031.7,1.722035998,1.722035998,1.7397090010896217,14031.7
SeTIC,14047.4,711.8755072112989,1.720309336,3.48774033,14047.4,1.720309336,1.720309336,1.7416555529199134,14047.4
N3,17013.2,587.7789010885665,1.416198357,4.469085572,13928.5,0.03224573,1.416198357,2.109367872555567,17013.2
CPDT-4Cl,13772.6,726.0793169045786,3.036708382,6.001280089000001,13772.6,3.036708382,3.036708382,1.7075846966801542,13772.6
Y5,15035.6,665.088190694086,0.129552222,3.0243784559999995,13320.3,0.080959313,0.403187681,2.0020347566648846,16147.5
BTTPC,14473.8,690.9035636805816,2.319154876,6.096910025000001,14473.8,2.319154876,2.319154876,1.7945224128203257,14473.8
BTP-PhC6,17092.8,585.0416549658336,1.546300527,3.61373966,11969.9,0.000441881,1.546300527,2.11923701431934,17092.8
o-IO1,13026.4,767.6718049499478,2.303475509,5.928339465,13026.4,2.303475509,2.303475509,1.6150676918544329,13026.4
TPIC-4Cl,14845.8,673.5911840385834,3.159502345,5.19276008,14845.8,3.159502345,3.159502345,1.840644532620873,14845.8
AQx-2,14467.4,691.2092013768887,1.723111713,4.901459497,14467.4,1.723111713,1.723111713,1.7937289139850474,14467.4
