Acceptor,Acc HOMO (eV),Acc calc LUMO (eV),Acc fund bandgap (eV),Acc Ehomo - Ehomo-1,Acc Elumo+1 - Elumo,ElectroIndex
BTA53,-5.3467650484745,-3.596033546788327,1.7507315016861735,0.6558488024751004,0.2047384611162002,11.420033088798906
i-cc23,-5.26466829977865,-4.006944137906006,1.2577241618726447,0.8491040591001999,0.16933644916614998,17.08697340016063
Y14,-5.6580088706764,-4.120268343003319,1.5377405276730807,0.30705326890420004,0.1117027356302498,15.544674726797506
IPTBO-4Cl,-5.56780312923565,-3.8883868427845494,1.6794162864511009,0.7188703702508992,0.33701300384425004,13.31110242117135
H2,-5.61672919955555,-3.850425390787449,1.7663038087681011,0.7265167694499501,0.21469782804450022,12.685673833761703
NITV,-5.6310151767068,-3.6163603463160046,2.0146548303907954,0.8103278354039505,0.2735288425225999,10.611489468795702
IDF-IC,-5.719397755349201,-3.797519655765785,1.9218780995834157,0.7212649721352999,0.40659251541709995,11.78166776415421
Y6,-5.74299002618755,-3.981509169214727,1.7614808569728226,0.7713883433974003,0.25371895420619994,13.421361382816118
M34,-5.6337363152118,-3.894039330486547,1.7396969847252528,0.5829767133112007,0.25575980808494947,13.045160960760507
SeTIC,-5.52475471808655,-3.783111194976056,1.7416435231104939,0.7023258481405001,0.2357322286881498,12.436007527651855
N3,-5.76274549173385,-4.035843587349799,1.726901904384051,0.40985788162310044,0.036245564886600246,13.899508086850897
CPDT-4Cl,-5.65172304072985,-3.944150138527906,1.7075729022019441,0.7611024398485,0.37478240629365,13.481237309642628
Y5,-5.681383450434351,-4.029888211394478,1.651495239039873,0.3705646416108994,0.14264208043210003,14.27627447243926
BTTPC,-5.53264601975105,-3.73813600189745,1.7945100178536002,0.7597962933661,0.20394933094974954,11.973658329826725
BTP-PhC6,-5.2833080985379,-3.7992399572960833,1.484068141241817,0.4905940610664494,0.19396275263639984,13.896376603958807
o-IO1,-5.449351970113,-3.8342954337114925,1.6150565364015073,0.6713048691835004,0.13564875447425084,13.3410359290839
TPIC-4Cl,-5.6424711698128505,-3.8018393507293355,1.840631819083515,0.7109790685863997,0.3101825781849499,12.114726079878874
AQx-2,-5.699832769498251,-3.9061162449991436,1.7937165244991071,0.6824615370539995,0.22980014674725036,12.860763561133345
N65-IC,-5.48045458322515,-3.7906112981626623,1.6898432850624876,0.7824361657277006,0.2683314679780495,12.716070084252634
BTA43,-5.25960698215935,-3.471122554466432,1.788484427692918,0.6474949072647496,0.24180036755430034,10.655060377019643
BTCIC,-5.489924145222551,-3.9194148216756357,1.570509323546915,0.4935056792667991,0.3397613537343003,14.093462940104578
o-IO2,-5.3686974248248,-3.7554510451382304,1.61324637968657,0.5854529493507501,0.20373163986934983,12.901018460382812
IDST-4F,-5.56894600740775,-3.911809526550778,1.6571364808569724,0.6941080098554,0.2344805049758496,13.560247833087688
BDTN-Th,-5.45710721485225,-3.826887516379725,1.6302196984725255,0.6143514402738495,0.3302373689668001,13.21793593990787
IDTT-TBTA,-5.6391241694517005,-3.504230299187864,2.1348938702638365,0.2548618323782996,0.39459229461004997,9.789822822534434
BTP-4Cl,-5.75681340979295,-3.9003117236195717,1.8565016861733783,0.7479321294843002,0.27344720836744996,12.558575429389384
ZY-4Cl,-5.6504713170175505,-4.0739240049762895,1.576547312041261,0.35355752595464995,0.45298792692735024,14.995405411585383
EH-IDTBR,-5.3057302798191,-3.6506891173513356,1.6550411624677643,0.5528264986757998,0.19472467141779992,12.117137965680845
BTN-4F,-5.6582809845269,-4.056230300138882,1.6020506843880185,0.752340373862399,0.32305356331360047,14.726707840699298
BCDT-4F,-5.537516857675,-3.9563945605117383,1.5811222971632612,0.487573597325901,0.27461729792459977,14.251641725957764
FDICTF,-5.69395511032745,-3.797258026415528,1.8966970839119224,0.5700513054124503,0.22122856045649986,11.873683938671794
Y1-4F,-5.68981897979985,-3.8245640700597194,1.8652549097401305,0.6348960359865998,0.27358326529270016,12.132857062425172
BTCIC-4Cl,-5.70717984346175,-4.081807893451831,1.625371950009919,0.46659361945235034,0.3301829461966994,14.738823460202402
NIDT,-5.35620739908685,-3.6760844076169037,1.6801229914699465,0.6163106599974499,0.038721800926150074,12.139333801103316
BCDT-4Cl,-5.5709324385164,-3.9787508277248906,1.5921816107915094,0.51415912051975,0.32125761190029944,14.31941712355808
p-IO1,-5.39631698065055,-3.7947622296090895,1.6015547510414603,0.6406648496171998,0.14519995062679936,13.186551535989308
BTA3,-5.3896501913133,-3.579319899704492,1.8103302916088078,0.6213719776167501,0.19072459781545037,11.108804960403656
BTTPC-Br,-5.53476850778495,-3.9057638460114923,1.6290046617734575,0.7770755228728499,0.17793524684195017,13.677623707051067
AQx,-5.6396683971526995,-3.8402486391681725,1.799419757984527,0.5453977905571508,0.2675695491966499,12.485806412977526
IDF-4F,-5.8786932034319,-4.0008167900218625,1.8778764134100374,0.6960672295790005,0.42607586711290013,12.994028389428497
Y16,-5.597953343871049,-4.548372407548891,1.0495809363221582,0.3830546673488504,0.14843810544775016,24.521197625470354
DTG-IW,-5.685601215117099,-4.313316450189506,1.3722847649275938,0.7510070159949507,0.1656629121844002,18.213849820531905
p-IO2,-5.3735410513637,-3.7702877286102785,1.6032533227534218,0.5904870555850001,0.13330857535994944,13.037491263995884
BTDT2R,-5.55038784280365,-3.555396769603888,1.9949910731997615,0.5596837677084006,0.73364615233305,10.390436644231471
FO-2F,-5.83512777596685,-3.9885571550582997,1.8465706209085502,0.49554653314554997,0.19355458186065055,13.065406831904468
BT6IC-HD-4Cl,-5.7075335914674,-4.3830691994816835,1.3244643919857166,0.09442350612349948,0.5355472691690499,19.219139695415745
ITIC-Th,-5.5852456270527,-3.8052416595859277,1.7800039674667723,0.5377513913580998,0.25763739365340044,12.384979625356902
Y11,-5.579966618353,-4.378654874651353,1.2013117437016465,0.5305947970899503,0.08800161925169991,20.63871900047761
CH1007,-5.3597176677583,-4.320563730047528,1.039153937710772,0.5028391843389501,0.20373163986935072,22.544265228677627
Y15,-5.5627146002313,-4.11696970834477,1.4457448918865303,0.35638750999985014,0.3833267811993504,16.202078395627414
F-2F,-5.8637813644245,-3.9048818405205123,1.9588995239039875,0.5652893130287007,0.22950082151170026,12.178621165503401
BTSe-4F,-5.7636978902106,-4.090059227246902,1.6736386629636977,0.6537263144412,0.28966519385724965,14.503807105815895
O-IDTBR,-5.28790682261135,-3.6351469535377534,1.6527598690735967,0.5271389511885998,0.21524205574550015,12.043626267480375
ITIC,-5.55947644541035,-3.7668757709409983,1.7926006744693512,0.6975094329866511,0.2284667888798002,12.130538454861108
ITCC,-5.5617894131396,-3.7124167688229965,1.8493726443166034,0.6993870185551003,0.22468440635784992,11.627037494292663
i-cc34,-5.3283429407956495,-4.139367539089639,1.1889754017060108,0.8852952012167004,0.2474331242596497,18.84764428311817
CPDT-4F,-5.7046491846521,-3.8858260344834825,1.8188231501686172,0.7444218608128503,0.39810256328149984,12.642407663483773
BDTN-BF,-5.6346070795334,-3.904828761739312,1.7297783177940884,0.49611797223160004,0.25393664528660054,13.152095160639986
NIBT,-4.84555854723855,-3.6061467241875684,1.2394118230509816,0.9880726025505497,0.39315009120240063,14.408310592683808
M8,-5.652920341672051,-3.8683909824179343,1.7845293592541163,0.7224894844625496,0.2789983309176498,12.700179022010547
Y1,-5.4446444004993495,-3.7308723314654277,1.7137720690339218,0.6184875708014506,0.2537733769763002,12.281403813814162
SNBDT1-F,-5.4294060248713505,-3.7399346898187815,1.689471335052569,0.5944599178022996,0.29859052815364917,12.44128968004332
IDTCF,-6.0216073977145,-4.003505830565125,2.018101567149375,0.48028094613250083,0.39848352267220033,12.450178038089318
PC70BM,-5.9025847995058,-3.8852519290435903,2.01733287046221,0.18351358077720015,0.06917134079710019,11.872327718874475
N65-2FIC,-5.608266458805001,-3.912372786914503,1.6958936718904978,0.7849668245373493,0.26669878487505017,13.362065846099101
PCBM,-5.96759279839025,-4.092084466710028,1.875508331680222,0.15349942306705078,0.05834120954720001,13.489290472428264
IDIC,-5.89869357144365,-3.7839097983827497,2.1147837730609007,0.7253194685077498,0.41546342694340055,11.083025273273845
TPIC,-5.45922970288615,-3.686292785607832,1.7729369172783178,0.7281222411679007,0.29113460864994956,11.794071855070285
F-H,-5.70717984346175,-3.762773971610927,1.9444058718508233,0.5642008576266999,0.2272966993226504,11.530517696678956
IT-4F,-5.75594264547135,-3.908628124542963,1.8473145209283874,0.6650462506219998,0.2608211257042501,12.640501537560848
Y2,-5.5449183544086,-3.7653235319527383,1.779594822455862,0.6326102796423996,0.28128408726185006,12.177013959691243
SeTIC4Cl,-5.697519801769,-3.899873005498419,1.7976467962705813,0.6584883068249496,0.25200463694804975,12.809795128842987
TPIC-4F,-5.65558705740695,-3.791262022691616,1.8643250347153342,0.7080130276159506,0.31015536679989975,11.96719400860614
