Molecule,GS Dipole Moment,ES Dipole,Change in Dipole Moment
BTA53,15.138727971704984,15.081129765474037,0.2493093306179248
i-cc23,5.477012209571254,5.10391295975693,0.8443383375759391
Y14,4.695506973033102,6.971741375237518,3.3146492563130514
IPTBO-4Cl,11.686004318545576,11.021044087759199,2.2921730558250983
H2,8.901180086555609,9.817816953076864,2.798681028328366
NITV,1.7314834720657883,1.4773875408818833,0.3071009708936077
IDF-IC,7.499644402752122,7.922265647178483,1.6524805177756194
Y6,9.192868120622311,9.775503275913247,2.1607307795937376
M34,4.597053725532123,4.514902897372334,2.1170102911238144
SeTIC,0.6194342468802313,0.6208899461191502,0.22119708048897643
N3,7.2923097656141564,9.065457320400347,5.389811195993853
CPDT-4Cl,7.224531853545504,6.732189599500061,1.3165098964834792
Y5,9.144444485982609,7.778147600060656,3.7538031124499156
BTTPC,10.14084548515971,9.806859749442125,2.0716882799728866
BTP-PhC6,8.979708147601675,9.341004741525689,1.0779453834198498
o-IO1,8.089859877061205,10.150033520764637,4.170465984108231
TPIC-4Cl,4.038489449724352,4.129867382590668,0.3717695209661278
AQx-2,6.748916604276777,7.184683482527924,2.0707029834422217
N65-IC,9.72870414056281,10.85434006046198,1.3253078410058097
BTA43,12.270101662687926,14.197679674129901,1.9276417983690943
BTCIC,0.7787642520206195,0.669755932482999,0.4931157664998973
o-IO2,6.300916709797542,7.13988506926798,2.1512611870899203
IDST-4F,4.432084125384721,4.742990297785005,1.8941578180533654
BDTN-Th,9.75624765193664,8.546821352460572,3.7280629136848638
IDTT-TBTA,3.0746464512789964,3.3525558149113674,0.28512785778411187
BTP-4Cl,1.1435593033478781,1.0095573867637235,1.8808498989352889
ZY-4Cl,1.396707894433822,5.402934900895557,4.163239529828478
EH-IDTBR,2.4622210577199835,2.936689507373254,0.9867582620887911
BTN-4F,0.7608591917300817,6.095394465781025,6.003149133486666
BCDT-4F,5.921225844380187,6.419648731650905,0.9490633484645209
FDICTF,8.144734807549595,9.260278281076506,1.2141684896064207
Y1-4F,5.228720651074826,7.542400931690386,2.5111346437424253
BTCIC-4Cl,13.577760462514071,13.757309882258342,0.17973989062180462
NIDT,9.095963680046191,8.38522846576103,0.8788961714230079
BCDT-4Cl,6.715291969651736,6.312769188574853,1.1986794065359752
p-IO1,9.083846153508864,11.682115700691226,4.369959750004279
BTA3,11.247855536503215,13.002538128929686,1.7548264435827599
BTTPC-Br,5.512381510567127,4.376057736315457,4.580584408099983
AQx,9.489868528516983,10.969904493681208,3.2572002491361887
IDF-4F,8.341239954726413,7.894871599857707,2.273492537221823
Y16,10.087211505057796,7.924254830785715,2.9744590015128693
DTG-IW,6.944376190240567,8.857691890385322,8.262033415156376
p-IO2,6.721113810817115,7.092192453506999,1.7083138123151818
BTDT2R,7.460429369117179,7.711521788363907,1.2455270858473668
FO-2F,11.591236910055942,13.562658980840718,2.7369118303003726
BT6IC-HD-4Cl,7.372612583349654,5.595827687172177,4.623141041879826
ITIC-Th,0.2192331017533205,0.4654585674855353,0.3190291255341834
Y11,5.908629098131431,4.127839390566879,4.67267405885538
CH1007,7.412012192217635,12.508510355276535,5.26276416961605
Y15,12.765317343955513,12.518280565783781,2.8202266814301353
F-2F,4.017508196557392,2.548969093726737,2.017451861726323
BTSe-4F,2.316065831656219,9.394907272143952,8.016680841659344
O-IDTBR,2.3263524704005225,2.835023242281836,0.9127761450384854
ITIC,0.4396906952576599,0.5687944329126474,0.20330082967695398
ITCC,6.736351047369016,6.210590141336224,1.3260077912759007
i-cc34,6.6121993711636575,6.521341326111763,0.5167803784389324
CPDT-4F,4.799667159658342,5.148109208049819,0.6085449820346023
BDTN-BF,5.926945957946938,6.182656325023209,1.7485475059992077
NIBT,17.04826509535042,7.984611494647316,9.627461450927994
M8,5.954785672442573,6.417108198300888,2.368430751401548
Y1,2.998610705347794,1.6449687978026464,2.6781318972385004
SNBDT1-F,7.0253083601124695,8.078616115966316,1.7539328801362817
IDTCF,1.2117134172029265,1.3527271919441037,0.1780707759132912
PC70BM,4.11527612986053,4.30080058613525,0.5179998329910779
N65-2FIC,10.810143231542146,12.757608229371776,2.153117441062118
PCBM,4.172691444132272,4.511903894377505,0.3713545159729289
IDIC,0.1253517532599873,0.2034609365280496,0.0949152592498265
TPIC,2.608793269995271,2.1538834422095534,1.9923198230340928
F-H,8.263718039184631,9.132304665643364,2.4424917747346875
IT-4F,4.5406146057136345,3.825665678866469,1.6506929836284918
Y2,7.964186722490644,6.129709397701135,2.949911034329106
SeTIC4Cl,6.065400170752087,5.55558791674864,1.741103982530741
TPIC-4F,3.2410022530555587,3.2263923429281647,0.41698154380380803
