Molecule,Smiles,Pi system size (# atoms)
IDF-IC,[C](=C\1/C(=C(C#N)C#N)C2=C(C1=O)[C]=CC=[C]2)\C1=[C]C2=C(O1)C1=C(C2(C2=[C][C]=C([C]=[C]2)[C][C])C2=[C][C]=C([C]=[C]2)[C][C])[C]=C2C(=[C]1)C(C1=C2OC(=[C]1)/[C]=C\1/C(=C(C#N)C#N)C2=C(C1=O)[C]=CC=[C]2)(C1=[C][C]=C([C]=[C]1)[C][C])C1=[C][C]=C([C]=[C]1)[C][C],48
IDTCF,C12=C([C]=C3C(=[C]1)C(C1=C3SC(=[C]1)/[C]=[C]/C1=C(C(=C(C#N)C#N)OC1([C])[C])C#N)([C][C])[C][C])C(C1=C2SC(=[C]1)/[C]=[C]/C1=C(C(=C(C#N)C#N)OC1([C])[C])C#N)([C][C])[C][C],42
Y6,C1(=O)C2=[C]C(=C(F)[C]=C2C(=C(C#N)C#N)/C/1=[C]/c1sc2c(c1[C][C])sc1c2n([C][C])c2c1c1nsnc1c1c2n([C][C])c2c1sc1c2sc(c1[C][C])/[C]=C\1/C(=C(C#N)C#N)C2=C([C]=C(C(=[C]2)F)F)C1=O)F,59
PC70BM,c12c3c4c5c6c3c3c7c2c2c8c1c1c4c4c9c5c5c%10c9c9c%11c4c1c1c8c4c8c%12c1c%11c1c%11c9c9c%10c%10c%13c5c6c5c3c3c7c6c2c4c2c8c4c(c%121)C17C%11(c9c8c%10c9c(c%135)c3c3c6c2c2c4c1c8c9c32)C7(c1ccccc1)CCCC(=O)OC,68
Y14,C1(=O)C2=[C]C(=[C][C]=C2C(=C(C#N)C#N)/C/1=[C]/c1sc2c(c1[C][C])sc1c2n([C][C]([C][C])[C])c2c1c1nn([C][C])nc1c1c2n([C][C]([C][C])[C])c2c1sc1c2sc(c1[C][C])/[C]=C\1/C(=C(C#N)C#N)C2=C([C]=C([C]=[C]2)F)C1=O)F,59
N65-2FIC,[C]1=[C][C]=C2C3=C1C(c1c(C3=[C]C3=C2c2c(C3(C3=[C][C]=C([C]=[C]3)[C][C])[C]C3=[C][C]=C([C]=[C]3)[C][C])c3c(s2)[C]=C(S3)/[C]=C\2/C(=C(C#N)C#N)C3=C(C2=O)[C]=C(C(=[C]3)F)F)sc2c1SC(=[C]2)/[C]=C\1/C(=C(C#N)C#N)C2=C(C1=O)[C]=C(C(=[C]2)F)F)(C1=[C][C]=C([C]=[C]1)[C][C])C1=[C][C]=C([C]=[C]1)[C][C],58
BTSe-4F,c12c(c3c(c4c1nsn4)c1c(n3[C])c3c(s1)c(c(s3)/[C]=C/1\C(=O)C3=C(C1=C(C#N)C#N)[C]=C(C(=[C]3)F)F)[C])n(c1c2[Se]C(=[C]1)/[C]=C/1\C(=O)C2=C(C1=C(C#N)C#N)[C]=C(C(=[C]2)F)F)[C],56
IPTBO-4Cl,[C](=C\1/C(=C(C#N)C#N)C2=C(C1=O)[C]=C(C(=[C]2)Cl)Cl)\C1=[C]c2c(S1)c1c(n2[C][C]([C][C])[C][C])c2c(s1)C1=C(C2(C2=[C][C]=C([C]=[C]2)[C][C])C2=[C][C]=C([C]=[C]2)[C][C])[C]=C2C(=[C]1)C(C1=C2SC(=[C]1)/[C]=C\1/C(=C(C#N)C#N)C2=C(C1=O)[C]=C(C(=[C]2)Cl)Cl)(C1=[C][C]=C([C]=[C]1)[C][C])C1=[C][C]=C([C]=[C]1)[C][C],54
Y2,C1(=O)C2=[C]S[C]=C2C(=C(C#N)C#N)/C/1=[C]/C1=[C]c2c(S1)c1c(s2)c2c(n1[C][C])c1c(c3c2nn([C][C])n3)c2c(n1[C][C])c1c(s2)[C]=C(S1)/[C]=C\1/C(=C(C#N)C#N)C2=[C]S[C]=C2C1=O,57
i-cc34,C1(=C(C(=[C]S1)/[C]=C/1\C(=O)C2=[C]S[C]=C2C1=C(C#N)C#N)O[C])C1=[C]C2=C(S1)C1=C(C2(C2=[C][C]=C([C]=[C]2)[C][C])C2=[C][C]=C([C]=[C]2)[C][C])[C]=C2C(=[C]1)C(C1=C2SC(=[C]1)C1=C(C(=[C]S1)/[C]=C/1\C(=O)C2=[C]S[C]=C2C1=C(C#N)C#N)O[C])(C1=[C][C]=C([C]=[C]1)[C][C])C1=[C][C]=C([C]=[C]1)[C][C],58
