Molecule,Planarity (Angstrom)
BTA53,1.4318487991277358
i-cc23,2.2643066098323175
Y14,1.256875225282211
IPTBO-4Cl,2.6009844842630474
H2,1.6091598249906134
NITV,0.7995479725798659
IDF-IC,2.3091828309359537
Y6,1.2045012410989113
M34,0.875022315348404
SeTIC,2.1325436169222307
N3,1.4869526367969497
CPDT-4Cl,1.061169743971015
Y5,1.4292168496578215
BTTPC,1.2240959663216644
BTP-PhC6,2.0410327458112727
o-IO1,1.2671510308331333
TPIC-4Cl,1.9556833236340974
AQx-2,0.8408029419455448
N65-IC,1.9675947971117043
BTA43,2.7709068378727886
BTCIC,1.9569550343782907
o-IO2,0.8572079142331831
IDST-4F,1.0639177575452055
BDTN-Th,1.487542428269188
IDTT-TBTA,2.0362835653803653
BTP-4Cl,0.4901103381160167
ZY-4Cl,0.6909530581806897
EH-IDTBR,1.9154435707466955
BTN-4F,0.8658924482311195
BCDT-4F,1.2322640717178746
FDICTF,1.046692754176989
Y1-4F,0.9331174796445029
BTCIC-4Cl,1.6732624108251468
NIDT,1.5061136283267351
BCDT-4Cl,1.0362347854898373
p-IO1,1.8568360770558443
BTA3,2.56823474574929
BTTPC-Br,1.2426860079418665
AQx,0.8767608610955374
IDF-4F,2.20332331446034
Y16,1.1385306688887007
DTG-IW,1.6904670029802524
p-IO2,1.977094429997912
BTDT2R,0.4413873443432971
FO-2F,1.5240269143617207
BT6IC-HD-4Cl,1.580531377639898
ITIC-Th,2.0758140064776565
Y11,1.0738563510072168
CH1007,1.52349295845973
Y15,1.4329549724676558
F-2F,1.0562954895675865
BTSe-4F,1.3590306267460008
O-IDTBR,0.8996670646455664
ITIC,2.00978866736744
ITCC,2.069286128466413
i-cc34,2.342051592271297
CPDT-4F,0.9716755004274239
BDTN-BF,1.19913841482594
NIBT,1.946824898480915
M8,1.144056795099307
Y1,1.3057377347709924
SNBDT1-F,1.188372543925179
IDTCF,1.1127779055223488
PC70BM,1.6268211165608886
N65-2FIC,1.892952597453579
PCBM,1.546931168866461
IDIC,0.9205276209576623
TPIC,2.2002829010489156
F-H,0.8668243029328271
IT-4F,2.0547376469216463
Y2,0.6086377140585908
SeTIC4Cl,2.1324280792739563
TPIC-4F,1.950614536874609
