Molecule,Lowest energy triplet state (eV)
BTA53,1.222
i-cc23,1.204
Y14,1.335
IPTBO-4Cl,1.182
H2,1.259
NITV,1.219
IDF-IC,1.243
Y6,1.284
M34,1.232
SeTIC,1.218
N3,1.425
CPDT-4Cl,1.031
Y5,1.353
BTTPC,1.336
BTP-PhC6,0.947
o-IO1,1.089
TPIC-4Cl,1.262
AQx-2,1.312
N65-IC,1.16
BTA43,1.251
BTCIC,0.956
o-IO2,1.013
IDST-4F,1.088
BDTN-Th,1.165
IDTT-TBTA,1.467
BTP-4Cl,1.291
ZY-4Cl,1.185
EH-IDTBR,1.064
BTN-4F,1.454
BCDT-4F,0.989
FDICTF,1.363
Y1-4F,1.273
BTCIC-4Cl,1.032
NIDT,1.052
BCDT-4Cl,0.994
p-IO1,1.102
BTA3,1.268
BTTPC-Br,1.322
AQx,1.253
IDF-4F,1.221
Y16,0.176
DTG-IW,1.054
p-IO2,1.01
BTDT2R,1.239
FO-2F,1.323
BT6IC-HD-4Cl,1.059
ITIC-Th,1.269
Y11,1.022
CH1007,1.026
Y15,0.827
F-2F,1.39
BTSe-4F,1.484
O-IDTBR,1.056
ITIC,1.262
ITCC,1.362
i-cc34,1.079
CPDT-4F,1.095
BDTN-BF,1.212
NIBT,0.348
M8,1.203
Y1,1.188
SNBDT1-F,1.206
IDTCF,1.237
PC70BM,1.677
N65-2FIC,1.136
PCBM,1.632
IDIC,1.4
TPIC,1.206
F-H,1.388
IT-4F,1.277
Y2,1.21
SeTIC4Cl,1.245
TPIC-4F,1.27
