Molecule,HOMO-1 (eV),HOMO (eV),LUMO (eV),LUMO+1 (eV),Delta HOMO,delta LUMO,optical bandgap (cm-1),oscillator strength,single point energy,dipole moment (debye),summed oscs,Abs FOM,first oscs,highest oscs under ten,first Energy Transition eV,first Energy transition wavenumber,lowest Energy Transition eV,lowest Energy transition wavenumber
BTA53,-7.13,-6.34,-2.43,-2.2,0.79,0.22999999999999998,17353.0,2.705924107,-5395.350663461168,14.23935,5.192922022999999,15.93279167782196,2.705924107,2.705924107,2.1514249399999996,17353.0,2.1514249399999996,17353.0
i-cc23,-7.18,-6.16,-2.27,-2.06,1.0199999999999996,0.20999999999999996,17690.8,0.943251105,-5984.625802302146,5.26258,5.6096326429999985,10.98018231674856,0.00367937,1.316363177,2.193305384,17690.8,3.197915324,25793.8
Y14,-7.19,-6.69,-2.62,-2.38,0.5,0.2400000000000002,15752.6,0.136695972,-4744.539615307733,4.62208,5.672967516,19.41928763951743,0.136695972,1.486137357,1.9530073479999999,15752.6,2.298018892,18535.4
IPTBO-4Cl,-7.44,-6.53,-2.73,-2.36,0.9100000000000001,0.3700000000000001,15953.8,1.753028533,-6690.397228972429,10.39255,5.905755151,23.035075385891282,1.753028533,1.753028533,1.9779521239999998,15953.8,1.9779521239999998,15953.8
H2,-7.47,-6.55,-2.66,-2.41,0.9199999999999999,0.25,16284.0,1.553217244,-5808.076514620378,8.04755,6.278927455999997,23.085688794697077,1.553217244,1.553217244,2.0188903199999997,16284.0,2.0188903199999997,16284.0
NITV,-7.61,-6.61,-2.42,-2.05,1.0,0.3700000000000001,18380.1,1.887486629,-3517.779872813097,1.9587,3.746897243,13.860426870392265,1.887486629,1.887486629,2.2787647979999996,18380.1,2.2787647979999996,18380.1
IDF-IC,-7.59,-6.64,-2.52,-2.08,0.9500000000000002,0.43999999999999995,17018.0,1.306730665,-3365.489596910231,6.56863,4.67574305,15.629634349295612,1.306730665,1.306730665,2.10989164,17018.0,2.10989164,17018.0
Y6,-7.56,-6.61,-2.71,-2.46,0.9499999999999993,0.25,16453.8,1.856525744,-4971.621434871399,8.27921,6.350002420999999,22.713409418933104,1.856525744,1.856525744,2.0399421239999995,16453.8,2.0399421239999995,16453.8
M34,-7.34,-6.54,-2.71,-2.4,0.7999999999999998,0.31000000000000005,16222.9,2.021331582,-4615.643855626504,4.2367,6.321271126000001,24.342944680544264,2.021331582,2.021331582,2.011315142,16222.9,2.011315142,16222.9
SeTIC,-7.37,-6.48,-2.54,-2.28,0.8899999999999997,0.26000000000000023,16374.4,1.591316042,-8966.360141670199,0.55936,5.671874405,17.291974834709997,1.591316042,1.591316042,2.0300981119999997,16374.4,2.0300981119999997,16374.4
N3,-7.32,-6.74,-2.58,-2.53,0.5800000000000001,0.050000000000000266,18399.7,1.890829383,-5285.59833528117,7.19923,5.584452414,15.919185765583698,1.890829383,1.890829383,2.281194806,18399.7,2.281194806,18399.7
CPDT-4Cl,-7.53,-6.58,-2.88,-2.44,0.9500000000000002,0.43999999999999995,14886.8,2.191364417,-5798.474744607181,6.32973,5.508566703000001,19.115807751944708,2.191364417,2.191364417,1.8456654639999996,14886.8,1.8456654639999996,14886.8
Y5,-7.32,-6.74,-2.6,-2.34,0.5800000000000001,0.26000000000000023,16330.4,0.15424629,-4574.970495999128,7.87399,5.5112539830000005,16.938033990507098,0.15424629,0.811608191,2.024642992,16330.4,2.267519812,18289.4
BTTPC,-7.4,-6.44,-2.48,-2.27,0.96,0.20999999999999996,17067.5,2.182395395,-5523.456568414505,8.96329,6.744658800999999,20.439107753243114,2.182395395,2.182395395,2.1160286499999996,17067.5,2.1160286499999996,17067.5
BTP-PhC6,-7.03,-6.29,-2.37,-2.36,0.7400000000000002,0.010000000000000231,15188.0,1.091968608,-5707.562924516963,7.61414,4.933388353000001,12.05302204937466,1.091968608,1.091968608,1.8830082399999999,15188.0,1.8830082399999999,15188.0
o-IO1,-7.18,-6.37,-2.72,-2.54,0.8099999999999996,0.18000000000000016,15346.5,2.601556711,-5055.665306526592,7.49843,6.043205120999999,17.29091646642431,2.601556711,2.601556711,1.90265907,15346.5,1.90265907,15346.5
TPIC-4Cl,-7.46,-6.57,-2.7,-2.34,0.8899999999999997,0.3600000000000003,16866.4,3.001859025,-6533.371925535962,3.51923,6.261708349,13.96004271270564,3.001859025,3.001859025,2.091096272,16866.4,2.091096272,16866.4
AQx-2,-7.48,-6.59,-2.67,-2.43,0.8900000000000006,0.23999999999999977,16754.2,2.023929936,-4650.887272692968,5.85597,6.484590842000001,21.78596175004904,2.023929936,2.023929936,2.077185716,16754.2,2.077185716,16754.2
N65-IC,-7.42,-6.39,-2.59,-2.27,1.0300000000000002,0.31999999999999984,15949.9,1.808899232,-5152.463718084223,8.79633,5.765205219000002,18.27394886191576,1.808899232,1.808899232,1.9774686019999999,15949.9,1.9774686019999999,15949.9
BTA43,-7.07,-6.29,-2.35,-2.1,0.7800000000000002,0.25,17484.1,2.227281627,-5545.566787719012,11.33055,5.294838674000001,21.969388468844993,2.227281627,2.227281627,2.1676787179999994,17484.1,2.1676787179999994,17484.1
BTCIC,-7.01,-6.33,-2.75,-2.27,0.6799999999999997,0.48,14128.2,2.46709604,-5325.708645659984,0.92355,5.821213392999999,15.752898215053692,2.46709604,2.46709604,1.751614236,14128.2,1.751614236,14128.2
