Molecule,HOMO-1 (eV),HOMO (eV),LUMO (eV),LUMO+1 (eV),Delta HOMO,delta LUMO,optical bandgap (cm-1),oscillator strength,single point energy,dipole moment (debye),summed oscs,Abs FOM,first oscs,highest oscs under ten,first Energy Transition eV,first Energy transition wavenumber,lowest Energy Transition eV,lowest Energy transition wavenumber
PDCBT-2F,-6.7,-6.41,-2.23,-1.91,0.29000000000000004,0.32000000000000006,19269.9,4.043250557,-8854.498196663628,18.68951,5.974315108000001,7.115365357337444,4.043250557,4.043250557,2.389082202,19269.9,2.389082202,19269.9
PBDB-T-2Cl,-6.25,-6.14,-1.96,-1.83,0.11000000000000032,0.1299999999999999,18804.1,0.283931444,-17879.61802018557,2.20141,12.985482327,50.14623799112652,0.283931444,1.818247616,2.3313323179999994,18804.1,2.5710724439999995,20737.8
PBN-S,-6.39,-6.25,-2.12,-2.02,0.13999999999999968,0.10000000000000009,19129.1,0.218227421,-17143.844153452093,6.44399,13.714828551999998,45.98916704269934,0.218227421,2.769604361,2.3716258179999996,19129.1,2.5041480399999996,20198.0
J71_olig,-6.13,-5.91,-1.76,-1.44,0.21999999999999975,0.32000000000000006,19486.4,3.435330346,-15406.502742895587,4.04634,10.769412070000001,26.194578388471605,3.435330346,3.435330346,2.415923872,19486.4,2.415923872,19486.4
PBDB-T-SF_olig,-6.08,-5.98,-1.98,-1.89,0.09999999999999964,0.09000000000000008,17569.8,0.14610088,-18106.00965473941,3.00659,14.245155890000001,62.75526667518831,0.14610088,0.880102012,2.1783038039999996,17569.8,2.396248246,19327.7
PDBT-T1,-6.08,-5.97,-1.77,-1.66,0.11000000000000032,0.1100000000000001,19216.4,0.842805392,-17967.99590191805,2.24224,13.443344381000003,40.161318444408835,0.842805392,3.447543414,2.382449272,19216.4,2.541490816,20499.2
PCl4BDB-T,-6.2,-6.03,-2.02,-1.83,0.16999999999999993,0.18999999999999995,17656.7,0.100765357,-17879.613301448404,1.23779,12.981631599000002,42.55747113042983,0.100765357,2.678934542,2.1890776659999998,17656.7,2.589681842,20887.9
PTB7-Th,-6.26,-5.95,-2.05,-1.63,0.3099999999999996,0.41999999999999993,17490.5,2.691697691,-11533.103933002296,13.02707,8.566758652999999,24.180647332845762,2.691697691,2.691697691,2.1684721899999997,17490.5,2.1684721899999997,17490.5
FTAZ_olig,-6.09,-5.93,-1.79,-1.61,0.16000000000000014,0.17999999999999994,19516.3,5.075779484,-9410.312718462876,11.64466,8.78473932,21.1573063542578,5.075779484,5.075779484,2.4196308739999997,19516.3,2.4196308739999997,19516.3
PDCBT-Cl,-6.4,-6.14,-1.92,-1.67,0.2600000000000007,0.25,19211.3,4.076802804,-9402.575206581614,5.65723,5.183854525,6.835136982728329,4.076802804,4.076802804,2.3818169739999995,19211.3,2.3818169739999995,19211.3
