,sTDDFTLUMO,sTDDFTHOMO,sTDDFTdeltaLUMO,sTDDFTdeltaHOMO,sTDDFToptbg,sTDDFToscs,sTDDFTfundbg,sTDDFTsinglepointenergy,sTDDFTdipolemoment,sTDDFTsummedoscs,sTDDFTabsFOM,sTDDFTScharberVoc,sTDDFTScharberJscDon,sTDDFTScharberJscAcc,sTDDFTScharberJscTot,sTDDFTScharberPCETot,sTDDFTScharberPCEAcc,sTDDFTScharberPCEDon,donsTDDFTLUMO,donsTDDFTHOMO,donsTDDFTdeltaLUMO,donsTDDFTdeltaHOMO,donsTDDFToptbg,donsTDDFToscs,donsTDDFTfundbg,donsTDDFTsinglepointenergy,donsTDDFTdipolemoment,donsTDDFTsummedoscs,donsTDDFTabsFOM,sTDDFTDHomoALumoOffset,sTDDFTaccElectrophilicity,sTDDFTAccChemHard,sTDDFTAccElectrodonating,sTDDFTAccElectroaccepting,sTDDFTDonChemHard,sTDDFTDonElectrodonating,sTDDFTDonElectroaccepting,sTDDFTdonElectrophilicity,sTDDFTHOMOoffset,sTDDFTLUMOoffset,Planarity,PiSystemSize,sTDDFTdonlowestengtranseV,sTDDFTdonlowestengtranswavenumber,sTDDFTdonfirstengtranseV,sTDDFTdonfirstengtranswavenumber,sTDDFTdonfirstoscs,sTDDFTacclowestengtranseV,sTDDFTacclowestengtranswavenumber,sTDDFTaccfirstengtranseV,sTDDFTaccfirstengtranswavenumber,sTDDFTaccfirstoscs,sTDDFTacchighestoscsunderten,sTDDFTdonhighestoscsunderten,ScharberFF,ExperimentalFF,ExperimentalVoc,ExperimentalJsc,ExperimentalPCE
16,-2.43,-6.34,0.23,0.79,2.1514828407062088,2.705924107,3.91,-5395.350663461169,14.23935,5.192922022999999,15.93279167782196,2.82,2.7032955920274753,7.502501061308191,10.205796653335666,18.707225265564283,13.752084445377914,4.9551408201863625,-0.97,-5.55,0.76,0.79,2.686260166633604,2.364060892,4.58,-3859.844937179237,0.15653,2.7853530230000003,12.016106901188259,3.12,4.917704603580564,3.91,7.3545796035805635,2.9695796035805637,4.58,4.2366866812227055,0.9766866812227076,2.320436681222707,0.79,1.4600000000000002,1.4318487991277358,60,2.686187874,21666.3,2.686187874,21666.3,2.364060892,2.15142494,17353.0,2.15142494,17353.0,2.705924107,2.705924107,2.364060892,0.65,62.0,0.88,11.57,6.31
33,-2.27,-6.16,0.21,1.0199999999999996,2.19336441182305,0.943251105,3.89,-5984.625802302146,5.262580000000002,5.609632642999999,10.980182316748559,3.28,6.967194681231388,7.011033984898203,13.978228666129592,29.801583516188288,14.94752445580297,14.854059060385318,-1.83,-5.85,0.16000000000000014,0.29000000000000004,2.1962656219004164,0.241128707,4.02,-15122.809191764587,2.34005,12.751957815,44.747319950918076,3.58,4.567152956298201,3.89,6.917777956298201,2.7027779562982013,4.02,5.839309701492535,1.9993097014925372,3.668059701492538,0.3100000000000005,0.44,2.264306609832317,58,2.625226908,21174.6,2.1962065159999997,17714.2,0.241128707,3.197915324,25793.8,2.193305384,17690.8,0.00367937,1.316363177,2.659886367,0.65,59.5,1.09,11.1,7.23
51,-2.62,-6.69,0.2400000000000002,0.5,1.9530599087482643,0.136695972,4.07,-4744.539615307734,4.62208,5.672967516,19.419287639517428,3.03,7.277138842750522,10.184049842333918,17.461188685084437,34.38981111527381,20.057486164476654,14.332324950797155,-2.05,-5.95,0.4199999999999999,0.3099999999999996,2.168530549494148,2.6916976910000003,3.9,-11533.103933002294,13.02707,8.566758652999999,24.18064733284576,3.33,5.324084766584766,4.07,7.905959766584767,3.2509597665847667,3.9,6.3463141025641026,2.346314102564102,4.102564102564102,0.7400000000000002,0.5700000000000003,1.256875225282211,59,2.16847219,17490.5,2.16847219,17490.5,2.6916976910000003,2.298018892,18535.4,1.953007348,15752.6,0.136695972,1.4861373569999998,2.6916976910000003,0.65,62.24,0.7879999999999999,21.28,10.44
55,-2.62,-6.69,0.2400000000000002,0.5,1.9530599087482643,0.136695972,4.07,-4744.539615307734,4.62208,5.672967516,19.419287639517428,2.93,6.967194681231388,10.184049842333918,17.151244523565303,32.66454519513012,19.395522924724947,13.269022270405175,-1.83,-5.85,0.16000000000000014,0.29000000000000004,2.1962656219004164,0.241128707,4.02,-15122.809191764587,2.34005,12.751957815,44.747319950918076,3.2299999999999995,5.324084766584766,4.07,7.905959766584767,3.2509597665847667,4.02,5.839309701492535,1.9993097014925372,3.668059701492538,0.8400000000000007,0.79,1.256875225282211,59,2.625226908,21174.6,2.1962065159999997,17714.2,0.241128707,2.298018892,18535.4,1.953007348,15752.6,0.136695972,1.4861373569999998,2.659886367,0.65,71.48,0.7979999999999999,26.15,14.92
65,-2.62,-6.69,0.2400000000000002,0.5,1.9530599087482643,0.136695972,4.07,-4744.539615307734,4.62208,5.672967516,19.419287639517428,3.12,5.9897904869356955,10.184049842333918,16.173840329269613,32.80054818775878,20.65325308025319,12.147295107505592,-1.99,-6.04,0.18999999999999995,0.2599999999999998,2.2861659392977582,0.548377181,4.05,-15717.647341304437,1.22344,13.040835350999998,48.55193625232204,3.42,5.324084766584766,4.07,7.905959766584767,3.2509597665847667,4.05,6.240927469135803,2.2259274691358018,3.9803024691358018,0.6500000000000004,0.6300000000000001,1.256875225282211,59,2.6317358579999994,21227.1,2.2861044139999995,18439.3,0.059964056,2.298018892,18535.4,1.953007348,15752.6,0.136695972,1.4861373569999998,2.257052621,0.65,58.24,0.866,16.83,8.49
87,-2.73,-6.53,0.3700000000000001,0.91,1.9780053560801427,1.7530285330000002,3.8,-6690.397228972429,10.39255,5.905755151,23.03507538589128,3.01,5.9897904869356955,9.811223843866829,15.801014330802527,30.914684538215138,19.195659450525454,11.719025087689689,-1.99,-6.04,0.18999999999999995,0.2599999999999998,2.2861659392977582,0.548377181,4.05,-15717.647341304437,1.22344,13.040835350999998,48.55193625232204,3.31,5.64128947368421,3.8,8.193789473684209,3.563789473684209,4.05,6.240927469135803,2.2259274691358018,3.9803024691358018,0.4900000000000002,0.74,2.6009844842630474,54,2.6317358579999994,21227.1,2.2861044139999995,18439.3,0.059964056,1.977952124,15953.8,1.977952124,15953.8,1.7530285330000002,1.7530285330000002,2.257052621,0.65,72.57,0.893,23.15,15.0
99,-2.66,-6.55,0.25,0.92,2.018944653838524,1.553217244,3.89,-5808.0765146203785,8.04755,6.278927455999996,23.08568879469708,2.89,6.967194681231388,9.249579525236037,16.21677420646742,30.46321034684905,17.37533513815589,13.087875208693161,-1.83,-5.85,0.16000000000000014,0.29000000000000004,2.1962656219004164,0.241128707,4.02,-15122.809191764587,2.34005,12.751957815,44.747319950918076,3.1899999999999995,5.451420308483292,3.89,7.9970453084832895,3.3920453084832918,4.02,5.839309701492535,1.9993097014925372,3.668059701492538,0.7000000000000002,0.8300000000000001,1.6091598249906134,59,2.625226908,21174.6,2.1962065159999997,17714.2,0.241128707,2.01889032,16284.0,2.01889032,16284.0,1.553217244,1.553217244,2.659886367,0.65,73.0,0.79,25.82,15.12
121,-2.42,-6.61,0.3700000000000001,1.0,2.2788261257686964,1.887486629,4.19,-3517.779872813097,1.9587,3.746897243,13.860426870392265,3.13,6.967194681231388,6.0785943693185915,13.045789050549978,26.54165782334393,12.366900244378671,14.174757578965256,-1.83,-5.85,0.16000000000000014,0.29000000000000004,2.1962656219004164,0.241128707,4.02,-15122.809191764587,2.34005,12.751957815,44.747319950918076,3.43,4.865208830548927,4.19,7.384583830548926,2.869583830548926,4.02,5.839309701492535,1.9993097014925372,3.668059701492538,0.7600000000000007,0.5899999999999999,0.7995479725798659,50,2.625226908,21174.6,2.1962065159999997,17714.2,0.241128707,2.278764798,18380.1,2.278764798,18380.1,1.887486629,1.887486629,2.659886367,0.65,53.0,1.12,8.08,4.8
153,-2.52,-6.64,0.44,0.9500000000000002,2.109948422931958,1.306730665,4.119999999999999,-3365.489596910231,6.5686300000000015,4.67574305,15.629634349295616,3.22,5.9897904869356955,8.010140395355345,13.999930882291038,29.301855336635146,16.76522384747874,12.536631489156411,-1.99,-6.04,0.18999999999999995,0.2599999999999998,2.2861659392977582,0.548377181,4.05,-15717.647341304437,1.22344,13.040835350999998,48.55193625232204,3.52,5.091359223300971,4.119999999999999,7.638859223300972,3.0588592233009715,4.05,6.240927469135803,2.2259274691358018,3.9803024691358018,0.5999999999999996,0.53,2.3091828309359537,48,2.6317358579999994,21227.1,2.2861044139999995,18439.3,0.059964056,2.10989164,17018.0,2.10989164,17018.0,1.306730665,1.306730665,2.257052621,0.65,59.0,0.905,14.55,7.8
155,-2.71,-6.61,0.25,0.9499999999999992,2.0399970243999204,1.856525744,3.9,-4971.621434871399,8.27921,6.350002420999999,22.713409418933104,3.13,5.517483362398774,8.921137717815391,14.438621080214162,29.375374587695713,18.150054686895412,11.225319900800304,-1.96,-6.14,0.1299999999999999,0.11000000000000032,2.3313950605038682,0.283931444,4.18,-17879.618020185568,2.20141,12.985482327,50.146237991126526,3.43,5.568102564102563,3.9,8.141852564102566,3.4818525641025637,4.18,6.2102930622009564,2.1602930622009566,3.924043062200957,0.4700000000000006,0.75,1.2045012410989109,59,2.5710724439999995,20737.8,2.3313323179999994,18804.1,0.283931444,2.0399421239999995,16453.8,2.0399421239999995,16453.8,1.856525744,1.856525744,1.818247616,0.65,73.3,0.882,25.605,17.037
