,Acceptor,Donor,sTDDFTLUMO,sTDDFTHOMO,sTDDFTdeltaLUMO,sTDDFTdeltaHOMO,sTDDFToptbg,sTDDFToscs,sTDDFTfundbg,sTDDFTsinglepointenergy,sTDDFTdipolemoment,sTDDFTsummedoscs,sTDDFTabsFOM,sTDDFTScharberVoc,sTDDFTScharberJscDon,sTDDFTScharberJscAcc,sTDDFTScharberJscTot,sTDDFTScharberPCETot,sTDDFTScharberPCEAcc,sTDDFTScharberPCEDon,donsTDDFTLUMO,donsTDDFTHOMO,donsTDDFTdeltaLUMO,donsTDDFTdeltaHOMO,donsTDDFToptbg,donsTDDFToscs,donsTDDFTfundbg,donsTDDFTsinglepointenergy,donsTDDFTdipolemoment,donsTDDFTsummedoscs,donsTDDFTabsFOM,sTDDFTDHomoALumoOffset,sTDDFTaccElectrophilicity,sTDDFTAccChemHard,sTDDFTAccElectrodonating,sTDDFTAccElectroaccepting,sTDDFTDonChemHard,sTDDFTDonElectrodonating,sTDDFTDonElectroaccepting,sTDDFTdonElectrophilicity,sTDDFTHOMOoffset,sTDDFTLUMOoffset,Planarity,PiSystemSize,sTDDFTdonlowestengtranseV,sTDDFTdonlowestengtranswavenumber,sTDDFTdonfirstengtranseV,sTDDFTdonfirstengtranswavenumber,sTDDFTdonfirstoscs,sTDDFTacclowestengtranseV,sTDDFTacclowestengtranswavenumber,sTDDFTaccfirstengtranseV,sTDDFTaccfirstengtranswavenumber,sTDDFTaccfirstoscs,sTDDFTacchighestoscsunderten,sTDDFTdonhighestoscsunderten,ScharberFF,ExperimentalFF,ExperimentalVoc,ExperimentalJsc,ExperimentalPCE
16,BTA53,P3HT,-2.43,-6.4,0.21,0.7699999999999996,2.2096558222574885,2.59014987,3.97,-5395.360571675223,15.61278,5.091131206,17.613597869283524,2.82,2.7032955920274753,6.832665397776075,9.535960989803547,17.479416494309906,12.524275674123544,4.9551408201863625,-0.97,-5.55,0.76,0.79,2.686260166633604,2.364060892,4.58,-3859.844937179237,0.15653,2.7853530230000003,12.016106901188259,3.12,4.909880352644835,3.97,7.365505352644837,2.9505053526448366,4.58,4.2366866812227055,0.9766866812227076,2.320436681222707,0.8500000000000005,1.4600000000000002,1.4318487991277358,60,2.686187874,21666.3,2.686187874,21666.3,2.364060892,2.209596356,17822.2,2.209596356,17822.2,2.59014987,2.59014987,2.364060892,0.65,62.0,0.88,11.57,6.31
33,i-cc23,PBDB-T,-2.24,-6.43,0.16000000000000014,1.0,2.5198497321959925,0.33625810700000003,4.19,-5984.6404011309205,5.959,5.55641309,9.351106635776883,3.31,6.967194681231388,3.9092626169750804,10.876457298206468,23.40069787709121,8.410778520421884,14.989919356669331,-1.83,-5.85,0.16000000000000014,0.29000000000000004,2.1962656219004164,0.241128707,4.02,-15122.809191764587,2.34005,12.751957815,44.747319950918076,3.61,4.4850178997613375,4.19,6.914392899761339,2.579392899761337,4.02,5.839309701492535,1.9993097014925372,3.668059701492538,0.5800000000000001,0.41000000000000014,2.264306609832317,58,2.625226908,21174.6,2.1962065159999997,17714.2,0.241128707,3.4182153860000004,27570.7,2.519781918,20324.1,0.008350209,1.0479768,2.659886367,0.65,59.5,1.09,11.1,7.23
51,Y14,PTB7-Th,-2.58,-6.51,0.27,0.8300000000000001,2.1076919262051184,2.295306949,3.93,-4744.658150235578,4.8680400000000015,6.278344996,19.657313386593877,3.0700000000000003,7.277138842750522,8.053066198943673,15.330205041694196,30.591424160700768,16.069893599992106,14.521530560708669,-2.05,-5.95,0.4199999999999999,0.3099999999999996,2.168530549494148,2.6916976910000003,3.9,-11533.103933002294,13.02707,8.566758652999999,24.18064733284576,3.37,5.256240458015268,3.93,7.774365458015268,3.2293654580152675,3.9,6.3463141025641026,2.346314102564102,4.102564102564102,0.5599999999999996,0.5300000000000002,1.256875225282211,59,2.16847219,17490.5,2.16847219,17490.5,2.6916976910000003,2.107635204,16999.8,2.107635204,16999.8,2.295306949,2.295306949,2.6916976910000003,0.65,62.24,0.7879999999999999,21.28,10.44
55,Y14,PBDB-T,-2.58,-6.51,0.27,0.8300000000000001,2.1076919262051184,2.295306949,3.93,-4744.658150235578,4.8680400000000015,6.278344996,19.657313386593877,2.97,6.967194681231388,8.053066198943673,15.020260880175062,28.996613629177947,15.54644429706076,13.450169332117193,-1.83,-5.85,0.16000000000000014,0.29000000000000004,2.1962656219004164,0.241128707,4.02,-15122.809191764587,2.34005,12.751957815,44.747319950918076,3.27,5.256240458015268,3.93,7.774365458015268,3.2293654580152675,4.02,5.839309701492535,1.9993097014925372,3.668059701492538,0.6600000000000001,0.75,1.256875225282211,59,2.625226908,21174.6,2.1962065159999997,17714.2,0.241128707,2.107635204,16999.8,2.107635204,16999.8,2.295306949,2.295306949,2.659886367,0.65,71.48,0.7979999999999999,26.15,14.92
65,Y14,PBDB-TF,-2.58,-6.51,0.27,0.8300000000000001,2.1076919262051184,2.295306949,3.93,-4744.658150235578,4.8680400000000015,6.278344996,19.657313386593877,3.16,5.9897904869356955,8.053066198943673,14.042856685879366,28.84402763279623,16.540997972630304,12.303029660165913,-1.99,-6.04,0.18999999999999995,0.2599999999999998,2.2861659392977582,0.548377181,4.05,-15717.647341304437,1.22344,13.040835350999998,48.55193625232204,3.46,5.256240458015268,3.93,7.774365458015268,3.2293654580152675,4.05,6.240927469135803,2.2259274691358018,3.9803024691358018,0.4699999999999998,0.5900000000000001,1.256875225282211,59,2.6317358579999994,21227.1,2.2861044139999995,18439.3,0.059964056,2.107635204,16999.8,2.107635204,16999.8,2.295306949,2.295306949,2.257052621,0.65,58.24,0.866,16.83,8.49
87,IPTBO-4Cl,PBDB-TF,-2.72,-6.57,0.3300000000000001,0.8899999999999997,2.0275243007339814,1.615687417,3.85,-6690.408544319676,11.41104,5.68817537,23.59152487594321,3.02,5.9897904869356955,9.109474350185367,15.099264837121062,29.639856875268645,17.881898149413875,11.757958725854769,-1.99,-6.04,0.18999999999999995,0.2599999999999998,2.2861659392977582,0.548377181,4.05,-15717.647341304437,1.22344,13.040835350999998,48.55193625232204,3.32,5.6041623376623395,3.85,8.167287337662337,3.5222873376623376,4.05,6.240927469135803,2.2259274691358018,3.9803024691358018,0.5300000000000002,0.7300000000000002,2.6009844842630474,54,2.6317358579999994,21227.1,2.2861044139999995,18439.3,0.059964056,2.027469736,16353.2,2.027469736,16353.2,1.615687417,1.615687417,2.257052621,0.65,72.57,0.893,23.15,15.0
99,H2,PBDB-T,-2.71,-6.61,0.23,0.92,2.0389679627058124,1.634962525,3.9,-5808.088734059994,6.59778,6.348473984,22.94214436189519,2.84,6.967194681231388,8.968368954529438,15.935563635760825,29.41705047161448,16.555609090061342,12.86144138155314,-1.83,-5.85,0.16000000000000014,0.29000000000000004,2.1962656219004164,0.241128707,4.02,-15122.809191764587,2.34005,12.751957815,44.747319950918076,3.14,5.568102564102563,3.9,8.141852564102566,3.4818525641025637,4.02,5.839309701492535,1.9993097014925372,3.668059701492538,0.7600000000000007,0.8799999999999999,1.6091598249906134,59,2.625226908,21174.6,2.1962065159999997,17714.2,0.241128707,2.03891309,16445.5,2.03891309,16445.5,1.634962525,1.634962525,2.659886367,0.65,73.0,0.79,25.82,15.12
121,NITV,PBDB-T,-2.4,-6.68,0.3799999999999999,0.9500000000000002,2.368143721483833,1.949367222,4.2799999999999985,-3517.793123699414,2.10715,3.71305124,13.722341648159684,3.15,6.967194681231388,5.1751664358360125,12.142361117067402,24.861484387195507,10.596153277374238,14.265331109821265,-1.83,-5.85,0.16000000000000014,0.29000000000000004,2.1962656219004164,0.241128707,4.02,-15122.809191764587,2.34005,12.751957815,44.747319950918076,3.45,4.815794392523365,4.2799999999999985,7.353294392523364,2.8132943925233644,4.02,5.839309701492535,1.9993097014925372,3.668059701492538,0.8300000000000001,0.5699999999999998,0.7995479725798659,50,2.625226908,21174.6,2.1962065159999997,17714.2,0.241128707,2.36807999,19100.5,2.36807999,19100.5,1.949367222,1.949367222,2.659886367,0.65,53.0,1.12,8.08,4.8
153,IDF-IC,PBDB-TF,-2.59,-6.77,0.4499999999999997,0.8800000000000008,2.1787095814322552,1.455305827,4.18,-3365.508841181284,7.29137,4.698019663,16.459711065542468,3.1500000000000004,5.9897904869356955,7.18940971768899,13.179200204624687,26.98441241896905,14.720316396968212,12.264096022000835,-1.99,-6.04,0.18999999999999995,0.2599999999999998,2.2861659392977582,0.548377181,4.05,-15717.647341304437,1.22344,13.040835350999998,48.55193625232204,3.45,5.239808612440192,4.18,7.841058612440191,3.1610586124401916,4.05,6.240927469135803,2.2259274691358018,3.9803024691358018,0.7299999999999995,0.5999999999999999,2.3091828309359537,48,2.6317358579999994,21227.1,2.2861044139999995,18439.3,0.059964056,2.178650948,17572.6,2.178650948,17572.6,1.455305827,1.455305827,2.257052621,0.65,59.0,0.905,14.55,7.8
155,Y6,PBDB-T-2Cl,-2.79,-6.74,0.28000000000000025,0.9500000000000002,2.1008852410236063,2.301944449,3.95,-4971.629833699295,1.43994,6.3199884520000005,20.199236409435148,3.05,5.517483362398774,8.138091865385189,13.655575227783961,27.072177889081697,16.133767123126134,10.938410765955567,-1.96,-6.14,0.1299999999999999,0.11000000000000032,2.3313950605038682,0.283931444,4.18,-17879.618020185568,2.20141,12.985482327,50.146237991126526,3.35,5.748158227848103,3.95,8.3775332278481,3.6125332278481017,4.18,6.2102930622009564,2.1602930622009566,3.924043062200957,0.6000000000000005,0.8300000000000001,1.2045012410989109,59,2.5710724439999995,20737.8,2.3313323179999994,18804.1,0.283931444,2.100828702,16944.9,2.100828702,16944.9,2.301944449,2.301944449,1.818247616,0.65,73.3,0.882,25.605,17.037
