Acceptor,Acc HOMO (eV),Acc calc LUMO (eV),Acc fund bandgap (eV),Acc Ehomo - Ehomo-1,Acc Elumo+1 - Elumo,ElectroIndex
AQx-2,-5.699832769498251,-3.8289490162746844,1.8708837532235663,0.6824615370539995,0.22980014674725036,12.132993587179323
AQx,-5.6396683971526995,-3.8470181293486925,1.792650267804007,0.5453977905571508,0.2675695491966499,12.550861546790925
BCDT-4Cl,-5.5709324385164,-3.8910574137197327,1.6798750247966674,0.51415912051975,0.32125761190029944,13.323796509007598
BCDT-4F,-5.537516857675,-3.8670645664629384,1.6704522912120612,0.487573597325901,0.27461729792459977,13.236856902250233
BDTN-BF,-5.6346070795334,-3.803980715716697,1.830626363816703,0.49611797223160004,0.25393664528660054,12.16618275163825
BDTN-Th,-5.45710721485225,-3.7416861674410224,1.715421047411228,0.6143514402738495,0.3302373689668001,12.331928627350807
BT6IC-HD-4Cl,-5.68649919082375,-3.9418428726329147,1.7446563181908354,0.7235507284795002,0.2132012018667493,13.28413079474897
BTA3,-5.3896501913133,-3.5306812367407945,1.8589689545725054,0.6213719776167501,0.19072459781545037,10.701135243625991
BTA43,-5.25960698215935,-3.442408013700711,1.817198968458639,0.6474949072647496,0.24180036755430034,10.417827973510782
BTA53,-5.3467650484745,-3.5814531063995156,1.7653119420749848,0.6558488024751004,0.2047384611162002,11.288809292159092
BTCIC-4Cl,-5.70717984346175,-4.006599601446277,1.700580242015473,0.46659361945235034,0.3301829461966994,13.871370014344079
BTCIC,-5.489924145222551,-3.8315726276665103,1.6583515175560404,0.4935056792667991,0.3397613537343003,13.09889688149981
BTDT2R,-5.55038784280365,-3.4762706041605234,2.0741172386431264,0.5596837677084006,0.73364615233305,9.821113435643314
BTN-4F,-5.6582809845269,-3.85866285320375,1.7996181313231503,0.752340373862399,0.32305356331360047,12.5821442941241
BTP-4Cl,-5.75681340979295,-3.894124955121258,1.8626884546716922,0.7479321294843002,0.27344720836744996,12.500830599149952
BTP-PhC6,-5.62516472892105,-3.777850207992662,1.8473145209283874,0.6832234558354005,0.2735560539076496,11.965570684112258
BTSe-4F,-5.7636978902106,-3.9468088800935597,1.8168890101170403,0.6537263144412,0.28966519385724965,12.974642536096457
BTTPC-Br,-5.53476850778495,-3.758806397092627,1.7759621106923227,0.7770755228728499,0.17793524684195017,12.158273815720717
BTTPC,-5.53264601975105,-3.7108968628377395,1.8217491569133109,0.7597962933661,0.20394933094974954,11.725418493815685
CH1007,-5.6882679308520006,-3.8758175241866564,1.8124504066653442,0.7307889569027992,0.21760944624484946,12.617135654428365
CPDT-4Cl,-5.65172304072985,-3.9446336735408005,1.7070893671890497,0.7611024398485,0.37478240629365,13.486414940766398
CPDT-4F,-5.7046491846521,-3.8735020908215105,1.8311470938305892,0.7444218608128503,0.39810256328149984,12.525069963650921
DTG-IW,-5.685601215117099,-3.885301175442432,1.8003000396746676,0.7510070159949507,0.1656629121844002,12.720403620355915
EH-IDTBR,-5.3057302798191,-3.6083364095552635,1.6973938702638365,0.5528264986757998,0.19472467141779992,11.703321535246056
F-2F,-5.8637813644245,-3.8561315925538393,2.0076497718706605,0.5652893130287007,0.22950082151170026,11.7645902705437
F-H,-5.70717984346175,-3.7043778200536965,2.0028020234080537,0.5642008576266999,0.2272966993226504,11.056686659292119
FDICTF,-5.69395511032745,-3.7165200775958493,1.9774350327316008,0.5700513054124503,0.22122856045649986,11.195948513690057
FO-2F,-5.83512777596685,-3.891465804135864,1.943661971830986,0.49554653314554997,0.19355458186065055,12.16860545244052
H2,-5.61672919955555,-3.8465075173496386,1.7702216822059116,0.7265167694499501,0.21469782804450022,12.64712352983226
IDF-4F,-5.8786932034319,-3.9882820746876035,1.8904111287442964,0.6960672295790005,0.42607586711290013,12.875135950412396
IDF-IC,-5.719397755349201,-3.7402517525719743,1.9791460027772265,0.7212649721352999,0.40659251541709995,11.303482497898587
IDIC,-5.89869357144365,-3.7972256087378384,2.101467962705812,0.7253194685077498,0.41546342694340055,11.183949793310747
IDST-4F,-5.56894600740775,-3.905535969716816,1.6634100376909342,0.6941080098554,0.2344805049758496,13.491232874166554
IDTCF,-6.0216073977145,-3.999736737131282,2.0218706605832177,0.48028094613250083,0.39848352267220033,12.417626437098507
IDTT-TBTA,-5.6391241694517005,-3.477363110138072,2.1617610593136285,0.2548618323782996,0.39459229461004997,9.611416113826907
IPTBO-4Cl,-5.56780312923565,-3.8846921393526905,1.6831109898829597,0.7188703702508992,0.33701300384425004,13.271505465141392
