,AccHOMO,AccCalcLUMO,AccFundBg,AccOptBg,AccEnergyTransitioneV,AccTriplet,AccDeltaHOMO,AccDeltaLUMO,DeltaDipMom,GSDipMom,AccEnergyTransitionWavenumber,AccOscStr,AccSumOscStr,AccElectroIndex,DonHOMO,DonCalcLUMO,DonFundBg,DonEnergyTransitioneV,DonDeltaHOMO,DonDeltaLUMO,DonEnergyTransitionWavenumber,DonOscStr,DonSumOscStr,AbsFOM,LUMOOffset,HOMOOffset,DHomoALumoOffset,DonNucleoIndex,AccNucleoIndex,DonElectroIndex,AccChemHard,AccElectrodonating,AccElectroaccepting,DonChemHard,DonElectrodonating,DonElectroaccepting,acc_first_oscs,acc_highest_oscs_under_ten,acc_lowest_transition_eV,acc_lowest_transition_wavenumber,don_first_oscs,don_highest_oscs_under_ten,don_lowest_transition_eV,don_lowest_transition_wavenumber,PiSystemSize,Planarity,Polarizability,sTDDFTLUMO,sTDDFTHOMO,sTDDFTdeltaLUMO,sTDDFTdeltaHOMO,sTDDFToptbg,sTDDFToscs,sTDDFTfundbg,sTDDFTsinglepointenergy,sTDDFTdipolemoment,sTDDFTsummedoscs,sTDDFTabsFOM,sTDDFTScharberVoc,sTDDFTScharberJscDon,sTDDFTScharberJscAcc,sTDDFTScharberJscTot,sTDDFTScharberPCETot,sTDDFTScharberPCEAcc,sTDDFTScharberPCEDon,donsTDDFTLUMO,donsTDDFTHOMO,donsTDDFTdeltaLUMO,donsTDDFTdeltaHOMO,donsTDDFToptbg,donsTDDFToscs,donsTDDFTfundbg,donsTDDFTsinglepointenergy,donsTDDFTdipolemoment,donsTDDFTsummedoscs,donsTDDFTabsFOM,sTDDFTDHomoALumoOffset,sTDDFTaccElectrophilicity,sTDDFTdonElectrophilicity,sTDDFTDonNucleoIndex,sTDDFTAccNucleoIndex,sTDDFTAccChemHard,sTDDFTAccElectrodonating,sTDDFTAccElectroaccepting,sTDDFTDonChemHard,sTDDFTDonElectrodonating,sTDDFTDonElectroaccepting,sTDDFTdonlowestengtranseV,sTDDFTdonlowestengtranswavenumber,sTDDFTdonfirstengtranseV,sTDDFTdonfirstengtranswavenumber,sTDDFTdonfirstoscs,sTDDFTacclowestengtranseV,sTDDFTacclowestengtranswavenumber,sTDDFTaccfirstengtranseV,sTDDFTaccfirstengtranswavenumber,sTDDFTaccfirstoscs,sTDDFTacchighestoscsunderten,sTDDFTdonhighestoscsunderten,sTDDFTHOMOoffset,sTDDFTLUMOoffset,ScharberJsclowestoptbg,ScharberVoc,ImamuraVoc,ScharberJscDon,ScharberJscAcc,ScharberTotalJsc,ImamuraJscDon,ImamuraJscAcc,ImamuraTotalJsc,ScharberFF,ImamuraFF,ScharberPCEtotal,ScharberPCEacc,ScharberPCEdon,ScharberPCElowestoptbg,ImamuraPCEtotal,ImamuraPCEacc,ImamuraPCEdon,AlharbiVocDon,AlharbiVocAcc,AlharbiFFDon,AlharbiFFAcc,AlharbiPCEAcc,AlharbiPCEDon,ExperimentalFF,ExperimentalVoc,ExperimentalJsc,ExperimentalPCE
2,-5.699832769498251,-3.828949016274685,1.8708837532235665,1.8708837532235665,1.8708837532235665,1.349,0.6824615370539995,0.2298001467472503,1.61120918548941,5.212958128111215,15089.8,2.394760272,5.631235256000001,12.132993587179326,-5.2432529397443,-2.8824738284568574,2.3607791112874428,2.3607791112874428,0.3944834490698499,0.28890327507585,19041.1,1.009233201,3.885868678,47.76470235374392,0.946475187817827,0.4565798297539505,1.4143039234696158,0.1430180707762103,0.0824198902615986,6.992123404914088,1.8708837532235656,14.632119268199032,9.867728375312565,2.3607791112874428,9.171103791419842,5.108240407319263,2.394760272,2.394760272,1.870896675715856,15089.8,1.009233201,1.009233201,2.3607954175650554,19041.1,60,0.8408029419455445,679.117337,-2.71,-6.69,0.25,0.8699999999999992,2.1342987502479667,2.455137959,3.98,-4650.898343541586,4.60652,6.4796913410000005,19.02107587693138,3.03,5.989790486935695,7.682828798895219,13.672619285830914,26.92822368344399,15.131331319424136,11.796892364019852,-1.99,-6.04,0.1899999999999999,0.2599999999999998,2.2861659392977582,0.548377181,4.05,-15717.647341304437,1.22344,13.040835350999998,48.55193625232204,3.33,5.550251256281407,3.980302469135802,0.2512371880665437,0.1801720235400633,3.98,8.149001256281407,3.4490012562814067,4.05,6.240927469135802,2.225927469135802,2.6317358579999994,21227.1,2.2861044139999995,18439.3,0.059964056,2.134241312,17214.4,2.134241312,17214.4,2.455137959,2.455137959,2.257052621,0.6500000000000004,0.72,11.518044567388433,1.1143039234696157,1.1143039234696157,5.261600286563966,11.518044567388433,16.779644853952398,6.880554220887507,15.062058280422631,21.94261250131014,65.0,70.0,12.153455661870838,8.342491463890235,3.8109641979806033,8.342491463890235,17.11551744096833,11.748597446182067,5.366919994786262,1.669796141136633,1.2276523702715505,84.42096775051294,79.93588590153998,11.303057938522446,7.417057261967582,76.25,0.86,25.38,16.64
8,-5.6396683971527,-3.847018129348693,1.792650267804007,1.792650267804007,1.792650267804007,1.263,0.5453977905571508,0.2675695491966499,3.5407193024356687,9.16208889055384,14458.8,1.598057238,5.381507474,12.550861546790925,-5.2432529397443,-2.8824738284568574,2.3607791112874428,2.3607791112874428,0.3944834490698499,0.28890327507585,19041.1,1.009233201,3.885868678,53.23318223874788,0.9645443008918352,0.3964154574083993,1.3962348103956077,0.1430180707762103,0.0796758052243581,6.992123404914088,1.7926502678040075,15.034573820154025,10.291230556903324,2.3607791112874428,9.171103791419842,5.108240407319263,1.598057238,1.598057238,1.792662649925142,14458.8,1.009233201,1.009233201,2.3607954175650554,19041.1,60,0.8767608610955374,701.868803,-2.75,-6.62,0.29,0.7199999999999998,2.0057652251537395,1.435128519,3.87,-4729.439885361892,7.13958,6.567337084,25.69577315254948,2.99,5.989790486935695,9.436601433213225,15.42639192014892,29.981192696809423,18.340034885449903,11.641157811359523,-1.99,-6.04,0.1899999999999999,0.2599999999999998,2.2861659392977582,0.548377181,4.05,-15717.647341304437,1.22344,13.040835350999998,48.55193625232204,3.29,5.6716343669250655,3.980302469135802,0.2512371880665437,0.1763160202695083,3.87,8.256009366925063,3.571009366925065,4.05,6.240927469135802,2.225927469135802,2.6317358579999994,21227.1,2.2861044139999995,18439.3,0.059964056,2.005711246,16177.7,2.005711246,16177.7,1.435128519,1.435128519,2.257052621,0.5800000000000001,0.76,12.908789531254946,1.0962348103956077,1.0962348103956077,5.261600286563966,12.908789531254946,18.17038981781891,6.88055422088924,16.880724771635933,23.76127899252517,65.0,70.0,12.947358993888148,9.198191888750848,3.749167105137301,9.198191888750848,18.23355881978958,12.953666683562329,5.27989213622725,1.669796141136633,1.156675361676384,84.42096775051294,78.96369034360671,11.790288755868866,7.417057261967582,67.14,0.89,22.18,13.31
15,-5.5709324385164,-3.8910574137197327,1.6798750247966674,1.6798750247966674,1.6798750247966674,1.117,0.51415912051975,0.3212576119002994,0.6314725745326117,7.741525832739659,13549.2,3.730807957,6.560321441999999,13.323796509007598,-5.0676578720166505,-3.015882430635972,2.0517754413806784,2.0517754413806784,0.1565470981926493,0.1861802965120995,16548.8,1.343741812,5.910814255,63.2687646409907,0.8751749830837605,0.5032745664997496,1.1766004582969178,0.1255991217682024,0.0750536830342572,7.961839110989444,1.6798750247966674,15.79428616111642,11.063291234998356,2.0517754413806784,10.110960151738894,6.069190000412581,3.730807957,3.730807957,1.6798866279612237,13549.2,1.343741812,1.343741812,2.05178961332069,16548.8,63,1.0362347854898366,829.03293,-2.83,-6.57,0.3399999999999998,0.5999999999999996,1.9172907161277524,2.924657924,3.74,-6842.787238424146,6.74253,6.490283652,17.02662989645578,2.72,6.967194681231387,10.76584699641936,17.733041677650746,31.35201768608652,19.034017489669427,12.31800019641709,-1.83,-5.85,0.1600000000000001,0.29,2.1962656219004164,0.241128707,4.02,-15122.809191764589,2.34005,12.751957815,44.74731995091807,3.02,5.906417112299466,3.668059701492538,0.2726236979166666,0.1693073789044816,3.74,8.490167112299464,3.790167112299465,4.02,5.839309701492535,1.9993097014925372,2.625226908,21174.6,2.196206516,17714.2,0.241128707,1.917239118,15464.1,1.917239118,15464.1,2.924657924,2.924657924,2.659886367,0.7200000000000006,1.0,15.035555996556312,0.8766004582969178,0.8766004582969178,8.779289146406708,15.035555996556312,23.81484514296302,11.480608883693726,19.66188091845565,31.14248980214938,65.0,70.0,13.56946770828448,8.567113930264652,5.00235377801983,8.567113930264652,19.10966458314986,12.064929676868354,7.04473490628151,1.391373523883216,1.0541786187105349,81.86874038221555,77.38098642252045,12.26501143587751,10.000488073657753,67.0,0.76,23.77,12.1
21,-5.537516857675,-3.8670645664629375,1.6704522912120612,1.6704522912120612,1.6704522912120612,1.118,0.487573597325901,0.2746172979245997,0.7173794389926762,6.867561059854121,13473.2,3.141104296,5.290662993,13.236856902250226,-5.0676578720166505,-3.015882430635972,2.0517754413806784,2.0517754413806784,0.1565470981926493,0.1861802965120995,16548.8,1.343741812,5.910814255,64.08758629689991,0.8511821358269662,0.469858985658349,1.200593305553712,0.1255991217682024,0.0755466352310572,7.961839110989444,1.670452291212062,15.69240552648546,10.990114814416494,2.0517754413806784,10.110960151738894,6.069190000412581,3.141104296,3.141104296,1.6704638292922946,13473.2,1.343741812,1.343741812,2.05178961332069,16548.8,63,1.2322640717178746,781.865056,-2.77,-6.55,0.2799999999999998,0.5700000000000003,1.921059809561595,2.647327116,3.78,-5401.462832606189,5.67826,6.05444649,16.2638358456644,2.78,6.967194681231387,10.717996332988276,17.68519101421966,31.957140162694927,19.36741937370981,12.589720788985115,-1.83,-5.85,0.1600000000000001,0.29,2.1962656219004164,0.241128707,4.02,-15122.809191764589,2.34005,12.751957815,44.74731995091807,3.08,5.744867724867726,3.668059701492538,0.2726236979166666,0.1740684116487686,3.78,8.311117724867724,3.6511177248677247,4.02,5.839309701492535,1.9993097014925372,2.625226908,21174.6,2.196206516,17714.2,0.241128707,1.92100811,15494.5,1.92100811,15494.5,2.647327116,2.647327116,2.659886367,0.7000000000000002,0.94,15.224556305838668,0.9005933055537119,0.9005933055537119,8.779289146406708,15.224556305838668,24.003845452245372,11.480608883609335,19.90903516890783,31.389644052517166,65.0,70.0,14.051506639194765,8.912236767891505,5.139269871303258,8.912236767891505,19.78851230818759,12.550960655206264,7.237551652981328,1.391373523883216,1.04560491408242,81.86874038221555,77.23773330457846,12.295375041658122,10.000488073657753,66.0,0.8,18.28,9.65
26,-5.6346070795334,-3.803980715716697,1.830626363816703,1.830626363816703,1.830626363816703,1.302,0.4961179722316,0.2539366452866005,1.479159299243942,5.233373571182989,14765.1,1.907949366,5.944659661999999,12.16618275163825,-5.2432529397443,-2.8824738284568574,2.3607791112874428,2.3607791112874428,0.3944834490698499,0.28890327507585,19041.1,1.009233201,3.885868678,52.60341020618283,0.9215068872598398,0.3913541397891,1.439272224027603,0.1430180707762103,0.0821950500345183,6.992123404914088,1.830626363816703,14.64024384818932,9.920949950564273,2.3607791112874428,9.171103791419842,5.108240407319263,1.907949366,1.907949366,1.8306390082447863,14765.1,1.009233201,1.009233201,2.3607954175650554,19041.1,58,1.19913841482594,751.19846,-2.71,-6.66,0.29,0.6699999999999999,2.133678833564769,2.380897304,3.95,-4929.722801245515,4.68943,6.3002412,19.888847065359656,3.03,5.989790486935695,7.729181144578173,13.718971631513869,27.019514628266563,15.222622264246713,11.796892364019852,-1.99,-6.04,0.1899999999999999,0.2599999999999998,2.2861659392977582,0.548377181,4.05,-15717.647341304437,1.22344,13.040835350999998,48.55193625232204,3.33,5.556765822784811,3.980302469135802,0.2512371880665437,0.1799607958823147,3.95,8.146140822784812,3.461140822784809,4.05,6.240927469135802,2.225927469135802,2.6317358579999994,21227.1,2.2861044139999995,18439.3,0.059964056,2.133621412,17209.4,2.133621412,17209.4,2.380897304,2.380897304,2.257052621,0.6200000000000001,0.72,12.26170155969198,1.139272224027603,1.139272224027603,5.261600286563966,12.26170155969198,17.523301846255947,6.880554220882527,16.034532808807434,22.91508702968996,65.0,70.0,12.97647719334916,9.080120404077457,3.896356789271702,9.080120404077457,18.27456551487067,12.787388498033527,5.487177016837142,1.669796141136633,1.1911418764435582,84.42096775051294,79.44728611910115,11.603614745366864,7.417057261967582,61.46,0.93,20.2,11.54
38,-5.68649919082375,-3.941842872632914,1.7446563181908354,1.7446563181908352,1.7446563181908352,1.293,0.7235507284795002,0.2132012018667493,1.77200395371749,4.905889423232802,14071.7,1.915072763,5.802095772,13.284130794748966,-5.2432529397443,-2.8824738284568574,2.3607791112874428,2.3607791112874428,0.3944834490698499,0.28890327507585,19041.1,1.009233201,3.885868678,49.87404526383802,1.0593690441760573,0.4432462510794499,1.3014100671113855,0.1430180707762103,0.075277789375221,6.992123404914088,1.744656318190836,15.80025733050006,10.986086298771728,2.3607791112874428,9.171103791419842,5.108240407319263,1.915072763,1.915072763,1.7446683688101106,14071.7,1.009233201,1.009233201,2.3607954175650554,19041.1,59,1.241374917872134,792.833635,-2.77,-6.69,0.2299999999999999,0.92,2.073931263638167,2.281705448,3.92,-6648.487380374416,4.49813,6.382662754000001,20.465044180510297,2.97,5.989790486935695,8.45563492125462,14.445425408190314,27.886893750511405,16.32360321548204,11.56329053502936,-1.99,-6.04,0.1899999999999999,0.2599999999999998,2.2861659392977582,0.548377181,4.05,-15717.647341304437,1.22344,13.040835350999998,48.55193625232204,3.27,5.7073724489795925,3.980302469135802,0.2512371880665437,0.1752119752021418,3.92,8.317372448979592,3.5873724489795915,4.05,6.240927469135802,2.225927469135802,2.6317358579999994,21227.1,2.2861044139999995,18439.3,0.059964056,2.07387545,16727.5,2.07387545,16727.5,2.281705448,2.281705448,2.257052621,0.6500000000000004,0.78,13.812304785542402,1.0014100671113857,1.0014100671113857,5.261600286563966,13.812304785542402,19.073905072106367,6.88055422089125,18.062244719555213,24.942798940446465,65.0,70.0,12.41552036291725,8.990657690464403,3.424862672452849,8.990657690464403,17.4845789726288,12.661399587754437,4.823179384874363,1.669796141136633,1.1130819864383057,84.42096775051294,78.31844194479744,12.040855554946445,7.417057261967582,72.65,0.88,24.43,14.9
61,-5.70717984346175,-4.006599601446277,1.700580242015473,1.7005802420154732,1.7005802420154732,1.159,0.4665936194523503,0.3301829461966994,0.6276696858384004,12.761904552326111,13716.2,3.123668819,6.39994214,13.87137001434408,-5.3105194835879,-2.8813883588110696,2.42913112477683,2.42913112477683,0.3627277627165002,0.2762227696425499,19592.4,1.073636459,3.690165444,45.823571506358206,1.1252112426352077,0.3966603598738505,1.3039198821416225,0.1447907554940406,0.0720909325442203,6.906518282799888,1.700580242015473,16.406101140697047,11.549211418243038,2.42913112477683,9.106315938698184,5.010362017498698,3.123668819,3.123668819,1.700591988194265,13716.2,1.073636459,1.073636459,2.429147903172695,19592.4,61,1.6732624108251464,959.271691,-2.87,-6.73,0.33,0.5399999999999991,2.0148780003967466,2.628156819,3.86,-7163.609837101599,11.314,6.787087049,21.50494231551519,2.97,5.517483362398773,9.296379238008514,14.813862600407289,28.598161750086263,17.946660118975437,10.651501631110827,-1.96,-6.14,0.1299999999999999,0.1100000000000003,2.331395060503868,0.283931444,4.18,-17879.61802018557,2.20141,12.985482327,50.14623799112652,3.27,5.968911917098446,3.924043062200957,0.2548392013412589,0.1675347222222222,3.86,8.610161917098447,3.810161917098445,4.18,6.2102930622009564,2.160293062200957,2.5710724439999995,20737.8,2.3313323179999994,18804.1,0.283931444,2.014823776,16251.2,2.014823776,16251.2,2.628156819,2.628156819,1.818247616,0.5900000000000007,0.91,14.624659568876067,1.0039198821416224,1.0039198821416224,4.646425082474601,14.624659568876067,19.27108465135067,6.076094338620624,19.124554820837908,25.20064915945853,65.0,70.0,12.575306270751376,9.54329123198582,3.0320150387655573,9.54329123198582,17.70960291383919,13.439664575222611,4.269938338616577,1.731173125528477,1.0730128988848735,84.88984728119378,77.68943281554436,12.191374125137877,6.828340870477663,66.0,0.75,21.0,10.5
63,-5.70717984346175,-4.006599601446277,1.700580242015473,1.7005802420154732,1.7005802420154732,1.159,0.4665936194523503,0.3301829461966994,0.6276696858384004,12.761904552326111,13716.2,3.123668819,6.39994214,13.87137001434408,-5.0676578720166505,-3.015882430635972,2.0517754413806784,2.0517754413806784,0.1565470981926493,0.1861802965120995,16548.8,1.343741812,5.910814255,70.84725444128078,0.9907171708103052,0.6395219714450997,1.0610582705703733,0.1255991217682024,0.0720909325442203,7.961839110989444,1.700580242015473,16.406101140697047,11.549211418243038,2.0517754413806784,10.110960151738894,6.069190000412581,3.123668819,3.123668819,1.700591988194265,13716.2,1.343741812,1.343741812,2.05178961332069,16548.8,61,1.6732624108251464,959.271691,-2.87,-6.73,0.33,0.5399999999999991,2.0148780003967466,2.628156819,3.86,-7163.609837101599,11.314,6.787087049,21.50494231551519,2.68,6.967194681231387,9.296379238008514,16.263573919239903,28.33114576731591,16.194292632610832,12.136853134705076,-1.83,-5.85,0.1600000000000001,0.29,2.1962656219004164,0.241128707,4.02,-15122.809191764589,2.34005,12.751957815,44.74731995091807,2.9799999999999995,5.968911917098446,3.668059701492538,0.2726236979166666,0.1675347222222222,3.86,8.610161917098447,3.810161917098445,4.02,5.839309701492535,1.9993097014925372,2.625226908,21174.6,2.196206516,17714.2,0.241128707,2.014823776,16251.2,2.014823776,16251.2,2.628156819,2.628156819,2.659886367,0.8800000000000008,1.04,14.624659568876067,0.7610582705703732,0.7610582705703732,8.779289146406708,14.624659568876067,23.403948715282773,11.480608883761152,19.124554820835492,30.60516370459665,65.0,70.0,11.577649676951031,7.234641777460032,4.343007899490999,7.234641777460032,16.30461907168044,10.188430432161349,6.116188639519088,1.391373523883216,1.0730128988848735,81.86874038221555,77.68943281554436,12.191374125137877,10.000488073657753,69.0,0.63,23.2,10.2
69,-5.489924145222551,-3.8315726276665103,1.6583515175560404,1.6583515175560404,1.6583515175560404,1.098,0.4935056792667991,0.3397613537343003,0.796296074965099,4.84341934266186,13375.6,2.888197345,5.176366014999999,13.09889688149981,-5.0676578720166505,-3.015882430635972,2.0517754413806784,2.0517754413806784,0.1565470981926493,0.1861802965120995,16548.8,1.343741812,5.910814255,65.69454516722367,0.8156901970305381,0.4222662732059001,1.2360852443501402,0.1255991217682024,0.0763423064588245,7.961839110989444,1.6583515175560404,15.532918044569326,10.8721696581248,2.0517754413806784,10.110960151738894,6.069190000412581,2.888197345,2.888197345,1.6583629720543014,13375.6,1.343741812,1.343741812,2.05178961332069,16548.8,61,1.9569550343782909,909.743727,-2.71,-6.5,0.3599999999999999,0.5700000000000003,1.9286971830985915,2.41458012,3.79,-5325.726303404575,4.40763,5.997009449,18.141261195449893,2.84,6.967194681231387,10.571468287039032,17.53866296827042,32.37637183942719,19.51493045787405,12.86144138155314,-1.83,-5.85,0.1600000000000001,0.29,2.1962656219004164,0.241128707,4.02,-15122.809191764589,2.34005,12.751957815,44.74731995091807,3.14,5.595257255936676,3.668059701492538,0.2726236979166666,0.1787227922253227,3.79,8.134632255936676,3.529632255936675,4.02,5.839309701492535,1.9993097014925372,2.625226908,21174.6,2.196206516,17714.2,0.241128707,1.928645278,15556.1,1.928645278,15556.1,2.41458012,2.41458012,2.659886367,0.6500000000000004,0.8799999999999999,15.468242309836008,0.9360852443501402,0.9360852443501402,8.779289146406708,15.468242309836008,24.247531456242715,11.480608883262253,20.227701481211646,31.708310364473896,65.0,70.0,14.753541665268038,9.41173569847551,5.341805966792527,9.41173569847551,20.77717701882104,13.254397018577189,7.522780000243853,1.391373523883216,1.0345922537381915,81.86874038221555,77.05104502084545,12.330728127884994,10.000488073657753,63.0,0.79,18.6,9.3
80,-5.6582809845269,-3.85866285320375,1.7996181313231503,1.79961813132315,1.79961813132315,1.261,0.752340373862399,0.3230535633136004,0.7720236804407727,7.48126739225147,14515.0,1.738577891,5.355460936,12.5821442941241,-5.2432529397443,-2.8824738284568574,2.3607791112874428,2.3607791112874428,0.3944834490698499,0.28890327507585,19041.1,1.009233201,3.885868678,47.15881652173351,0.9761890247468928,0.4150280447826002,1.38459008654055,0.1430180707762103,0.0794777087771122,6.992123404914088,1.7996181313231503,15.073856386764458,10.315384467899134,2.3607791112874428,9.171103791419842,5.108240407319263,1.738577891,1.738577891,1.7996305615724293,14515.0,1.009233201,1.009233201,2.3607954175650554,19041.1,56,0.8658924482311195,581.528933,-2.74,-6.64,0.3500000000000001,0.9800000000000004,2.05127950803412,2.121377948,3.9,-3997.601865334547,6.40241,5.488901478,16.835962861991657,3.0,5.989790486935695,8.779289146406708,14.769079633342402,28.799705285017687,17.11961383549308,11.680091449524603,-1.99,-6.04,0.1899999999999999,0.2599999999999998,2.2861659392977582,0.548377181,4.05,-15717.647341304437,1.22344,13.040835350999998,48.55193625232204,3.3,5.64002564102564,3.980302469135802,0.2512371880665437,0.177304158464455,3.9,8.22877564102564,3.538775641025641,4.05,6.240927469135802,2.225927469135802,2.6317358579999994,21227.1,2.2861044139999995,18439.3,0.059964056,2.051224304,16544.8,2.051224304,16544.8,2.121377948,2.121377948,2.257052621,0.5999999999999996,0.7500000000000002,12.819713806770986,1.08459008654055,1.08459008654055,5.261600286563966,12.819713806770986,18.081314093334957,6.880554220889916,16.76424113192782,23.644795352817734,65.0,70.0,12.747029111217064,9.037687429622038,3.709341681595027,9.037687429622038,17.95143744656233,12.72763081804497,5.223806628517359,1.669796141136633,1.163001106727935,84.42096775051294,79.05414392180205,11.786452164835088,7.417057261967582,77.3,0.816,25.05,15.82
