,Acceptor,donor,AccHOMO,AccCalcLUMO,AccFundBg,AccOptBg,AccEnergyTransitioneV,AccTriplet,AccDeltaHOMO,AccDeltaLUMO,DeltaDipMom,GSDipMom,AccEnergyTransitionWavenumber,AccOscStr,AccSumOscStr,AccElectroIndex,DonHOMO,DonCalcLUMO,DonFundBg,DonEnergyTransitioneV,DonDeltaHOMO,DonDeltaLUMO,DonEnergyTransitionWavenumber,DonOscStr,DonSumOscStr,AbsFOM,LUMOOffset,HOMOOffset,DHomoALumoOffset,DonNucleoIndex,AccNucleoIndex,DonElectroIndex,AccChemHard,AccElectrodonating,AccElectroaccepting,DonChemHard,DonElectrodonating,DonElectroaccepting,acc_first_oscs,acc_highest_oscs_under_ten,acc_lowest_transition_eV,acc_lowest_transition_wavenumber,don_first_oscs,don_highest_oscs_under_ten,don_lowest_transition_eV,don_lowest_transition_wavenumber,PiSystemSize,Planarity,Polarizability,sTDDFTLUMO,sTDDFTHOMO,sTDDFTdeltaLUMO,sTDDFTdeltaHOMO,sTDDFToptbg,sTDDFToscs,sTDDFTfundbg,sTDDFTsinglepointenergy,sTDDFTdipolemoment,sTDDFTsummedoscs,sTDDFTabsFOM,sTDDFTScharberVoc,sTDDFTScharberJscDon,sTDDFTScharberJscAcc,sTDDFTScharberJscTot,sTDDFTScharberPCETot,sTDDFTScharberPCEAcc,sTDDFTScharberPCEDon,donsTDDFTLUMO,donsTDDFTHOMO,donsTDDFTdeltaLUMO,donsTDDFTdeltaHOMO,donsTDDFToptbg,donsTDDFToscs,donsTDDFTfundbg,donsTDDFTsinglepointenergy,donsTDDFTdipolemoment,donsTDDFTsummedoscs,donsTDDFTabsFOM,sTDDFTDHomoALumoOffset,sTDDFTaccElectrophilicity,sTDDFTdonElectrophilicity,sTDDFTDonNucleoIndex,sTDDFTAccNucleoIndex,sTDDFTAccChemHard,sTDDFTAccElectrodonating,sTDDFTAccElectroaccepting,sTDDFTDonChemHard,sTDDFTDonElectrodonating,sTDDFTDonElectroaccepting,sTDDFTdonlowestengtranseV,sTDDFTdonlowestengtranswavenumber,sTDDFTdonfirstengtranseV,sTDDFTdonfirstengtranswavenumber,sTDDFTdonfirstoscs,sTDDFTacclowestengtranseV,sTDDFTacclowestengtranswavenumber,sTDDFTaccfirstengtranseV,sTDDFTaccfirstengtranswavenumber,sTDDFTaccfirstoscs,sTDDFTacchighestoscsunderten,sTDDFTdonhighestoscsunderten,sTDDFTHOMOoffset,sTDDFTLUMOoffset,ScharberJsclowestoptbg,ScharberVoc,ImamuraVoc,ScharberJscDon,ScharberJscAcc,ScharberTotalJsc,ImamuraJscDon,ImamuraJscAcc,ImamuraTotalJsc,ScharberFF,ImamuraFF,ScharberPCEtotal,ScharberPCEacc,ScharberPCEdon,ScharberPCElowestoptbg,ImamuraPCEtotal,ImamuraPCEacc,ImamuraPCEdon,AlharbiVocDon,AlharbiVocAcc,AlharbiFFDon,AlharbiFFAcc,AlharbiPCEAcc,AlharbiPCEDon,ExperimentalFF,ExperimentalVoc,ExperimentalJsc,ExperimentalPCE
2,AQx-2,PBDB-TF,-5.699832769498251,-3.828949016274685,1.8708837532235665,1.8708837532235665,1.8708837532235665,1.349,0.6824615370539995,0.2298001467472503,1.61120918548941,5.212958128111215,15089.8,2.394760272,5.631235256000001,12.132993587179326,-5.2432529397443,-2.8824738284568574,2.3607791112874428,2.3607791112874428,0.3944834490698499,0.28890327507585,19041.1,1.009233201,3.885868678,47.76470235374392,0.946475187817827,0.4565798297539505,1.4143039234696158,0.1430180707762103,0.0824198902615986,6.992123404914088,1.8708837532235656,14.632119268199032,9.867728375312565,2.3607791112874428,9.171103791419842,5.108240407319263,2.394760272,2.394760272,1.870896675715856,15089.8,1.009233201,1.009233201,2.3607954175650554,19041.1,60,0.8408029419455445,679.117337,-2.71,-6.69,0.25,0.8699999999999992,2.1342987502479667,2.455137959,3.98,-4650.898343541586,4.60652,6.4796913410000005,19.02107587693138,3.03,5.989790486935695,7.682828798895219,13.672619285830914,26.92822368344399,15.131331319424136,11.796892364019852,-1.99,-6.04,0.1899999999999999,0.2599999999999998,2.2861659392977582,0.548377181,4.05,-15717.647341304437,1.22344,13.040835350999998,48.55193625232204,3.33,5.550251256281407,3.980302469135802,0.2512371880665437,0.1801720235400633,3.98,8.149001256281407,3.4490012562814067,4.05,6.240927469135802,2.225927469135802,2.6317358579999994,21227.1,2.2861044139999995,18439.3,0.059964056,2.134241312,17214.4,2.134241312,17214.4,2.455137959,2.455137959,2.257052621,0.6500000000000004,0.72,11.518044567388433,1.1143039234696157,1.1143039234696157,5.261600286563966,11.518044567388433,16.779644853952398,6.880554220887507,15.062058280422631,21.94261250131014,65.0,70.0,12.153455661870838,8.342491463890235,3.8109641979806033,8.342491463890235,17.11551744096833,11.748597446182067,5.366919994786262,1.669796141136633,1.2276523702715505,84.42096775051294,79.93588590153998,11.303057938522446,7.417057261967582,76.25,0.86,25.38,16.64
8,AQx,PBDB-TF,-5.6396683971527,-3.847018129348693,1.792650267804007,1.792650267804007,1.792650267804007,1.263,0.5453977905571508,0.2675695491966499,3.5407193024356687,9.16208889055384,14458.8,1.598057238,5.381507474,12.550861546790925,-5.2432529397443,-2.8824738284568574,2.3607791112874428,2.3607791112874428,0.3944834490698499,0.28890327507585,19041.1,1.009233201,3.885868678,53.23318223874788,0.9645443008918352,0.3964154574083993,1.3962348103956077,0.1430180707762103,0.0796758052243581,6.992123404914088,1.7926502678040075,15.034573820154025,10.291230556903324,2.3607791112874428,9.171103791419842,5.108240407319263,1.598057238,1.598057238,1.792662649925142,14458.8,1.009233201,1.009233201,2.3607954175650554,19041.1,60,0.8767608610955374,701.868803,-2.75,-6.62,0.29,0.7199999999999998,2.0057652251537395,1.435128519,3.87,-4729.439885361892,7.13958,6.567337084,25.69577315254948,2.99,5.989790486935695,9.436601433213225,15.42639192014892,29.981192696809423,18.340034885449903,11.641157811359523,-1.99,-6.04,0.1899999999999999,0.2599999999999998,2.2861659392977582,0.548377181,4.05,-15717.647341304437,1.22344,13.040835350999998,48.55193625232204,3.29,5.6716343669250655,3.980302469135802,0.2512371880665437,0.1763160202695083,3.87,8.256009366925063,3.571009366925065,4.05,6.240927469135802,2.225927469135802,2.6317358579999994,21227.1,2.2861044139999995,18439.3,0.059964056,2.005711246,16177.7,2.005711246,16177.7,1.435128519,1.435128519,2.257052621,0.5800000000000001,0.76,12.908789531254946,1.0962348103956077,1.0962348103956077,5.261600286563966,12.908789531254946,18.17038981781891,6.88055422088924,16.880724771635933,23.76127899252517,65.0,70.0,12.947358993888148,9.198191888750848,3.749167105137301,9.198191888750848,18.23355881978958,12.953666683562329,5.27989213622725,1.669796141136633,1.156675361676384,84.42096775051294,78.96369034360671,11.790288755868866,7.417057261967582,67.14,0.89,22.18,13.31
15,BCDT-4Cl,PBDB-T,-5.5709324385164,-3.8910574137197327,1.6798750247966674,1.6798750247966674,1.6798750247966674,1.117,0.51415912051975,0.3212576119002994,0.6314725745326117,7.741525832739659,13549.2,3.730807957,6.560321441999999,13.323796509007598,-5.0676578720166505,-3.015882430635972,2.0517754413806784,2.0517754413806784,0.1565470981926493,0.1861802965120995,16548.8,1.343741812,5.910814255,63.2687646409907,0.8751749830837605,0.5032745664997496,1.1766004582969178,0.1255991217682024,0.0750536830342572,7.961839110989444,1.6798750247966674,15.79428616111642,11.063291234998356,2.0517754413806784,10.110960151738894,6.069190000412581,3.730807957,3.730807957,1.6798866279612237,13549.2,1.343741812,1.343741812,2.05178961332069,16548.8,63,1.0362347854898366,829.03293,-2.83,-6.57,0.3399999999999998,0.5999999999999996,1.9172907161277524,2.924657924,3.74,-6842.787238424146,6.74253,6.490283652,17.02662989645578,2.72,6.967194681231387,10.76584699641936,17.733041677650746,31.35201768608652,19.034017489669427,12.31800019641709,-1.83,-5.85,0.1600000000000001,0.29,2.1962656219004164,0.241128707,4.02,-15122.809191764589,2.34005,12.751957815,44.74731995091807,3.02,5.906417112299466,3.668059701492538,0.2726236979166666,0.1693073789044816,3.74,8.490167112299464,3.790167112299465,4.02,5.839309701492535,1.9993097014925372,2.625226908,21174.6,2.196206516,17714.2,0.241128707,1.917239118,15464.1,1.917239118,15464.1,2.924657924,2.924657924,2.659886367,0.7200000000000006,1.0,15.035555996556312,0.8766004582969178,0.8766004582969178,8.779289146406708,15.035555996556312,23.81484514296302,11.480608883693726,19.66188091845565,31.14248980214938,65.0,70.0,13.56946770828448,8.567113930264652,5.00235377801983,8.567113930264652,19.10966458314986,12.064929676868354,7.04473490628151,1.391373523883216,1.0541786187105349,81.86874038221555,77.38098642252045,12.26501143587751,10.000488073657753,67.0,0.76,23.77,12.1
21,BCDT-4F,PBDB-T,-5.537516857675,-3.8670645664629375,1.6704522912120612,1.6704522912120612,1.6704522912120612,1.118,0.487573597325901,0.2746172979245997,0.7173794389926762,6.867561059854121,13473.2,3.141104296,5.290662993,13.236856902250226,-5.0676578720166505,-3.015882430635972,2.0517754413806784,2.0517754413806784,0.1565470981926493,0.1861802965120995,16548.8,1.343741812,5.910814255,64.08758629689991,0.8511821358269662,0.469858985658349,1.200593305553712,0.1255991217682024,0.0755466352310572,7.961839110989444,1.670452291212062,15.69240552648546,10.990114814416494,2.0517754413806784,10.110960151738894,6.069190000412581,3.141104296,3.141104296,1.6704638292922946,13473.2,1.343741812,1.343741812,2.05178961332069,16548.8,63,1.2322640717178746,781.865056,-2.77,-6.55,0.2799999999999998,0.5700000000000003,1.921059809561595,2.647327116,3.78,-5401.462832606189,5.67826,6.05444649,16.2638358456644,2.78,6.967194681231387,10.717996332988276,17.68519101421966,31.957140162694927,19.36741937370981,12.589720788985115,-1.83,-5.85,0.1600000000000001,0.29,2.1962656219004164,0.241128707,4.02,-15122.809191764589,2.34005,12.751957815,44.74731995091807,3.08,5.744867724867726,3.668059701492538,0.2726236979166666,0.1740684116487686,3.78,8.311117724867724,3.6511177248677247,4.02,5.839309701492535,1.9993097014925372,2.625226908,21174.6,2.196206516,17714.2,0.241128707,1.92100811,15494.5,1.92100811,15494.5,2.647327116,2.647327116,2.659886367,0.7000000000000002,0.94,15.224556305838668,0.9005933055537119,0.9005933055537119,8.779289146406708,15.224556305838668,24.003845452245372,11.480608883609335,19.90903516890783,31.389644052517166,65.0,70.0,14.051506639194765,8.912236767891505,5.139269871303258,8.912236767891505,19.78851230818759,12.550960655206264,7.237551652981328,1.391373523883216,1.04560491408242,81.86874038221555,77.23773330457846,12.295375041658122,10.000488073657753,66.0,0.8,18.28,9.65
26,BDTN-BF,PBDB-TF,-5.6346070795334,-3.803980715716697,1.830626363816703,1.830626363816703,1.830626363816703,1.302,0.4961179722316,0.2539366452866005,1.479159299243942,5.233373571182989,14765.1,1.907949366,5.944659661999999,12.16618275163825,-5.2432529397443,-2.8824738284568574,2.3607791112874428,2.3607791112874428,0.3944834490698499,0.28890327507585,19041.1,1.009233201,3.885868678,52.60341020618283,0.9215068872598398,0.3913541397891,1.439272224027603,0.1430180707762103,0.0821950500345183,6.992123404914088,1.830626363816703,14.64024384818932,9.920949950564273,2.3607791112874428,9.171103791419842,5.108240407319263,1.907949366,1.907949366,1.8306390082447863,14765.1,1.009233201,1.009233201,2.3607954175650554,19041.1,58,1.19913841482594,751.19846,-2.71,-6.66,0.29,0.6699999999999999,2.133678833564769,2.380897304,3.95,-4929.722801245515,4.68943,6.3002412,19.888847065359656,3.03,5.989790486935695,7.729181144578173,13.718971631513869,27.019514628266563,15.222622264246713,11.796892364019852,-1.99,-6.04,0.1899999999999999,0.2599999999999998,2.2861659392977582,0.548377181,4.05,-15717.647341304437,1.22344,13.040835350999998,48.55193625232204,3.33,5.556765822784811,3.980302469135802,0.2512371880665437,0.1799607958823147,3.95,8.146140822784812,3.461140822784809,4.05,6.240927469135802,2.225927469135802,2.6317358579999994,21227.1,2.2861044139999995,18439.3,0.059964056,2.133621412,17209.4,2.133621412,17209.4,2.380897304,2.380897304,2.257052621,0.6200000000000001,0.72,12.26170155969198,1.139272224027603,1.139272224027603,5.261600286563966,12.26170155969198,17.523301846255947,6.880554220882527,16.034532808807434,22.91508702968996,65.0,70.0,12.97647719334916,9.080120404077457,3.896356789271702,9.080120404077457,18.27456551487067,12.787388498033527,5.487177016837142,1.669796141136633,1.1911418764435582,84.42096775051294,79.44728611910115,11.603614745366864,7.417057261967582,61.46,0.93,20.2,11.54
32,BDTN-Th,PBDB-TF,-5.45710721485225,-3.7416861674410224,1.715421047411228,1.715421047411228,1.715421047411228,1.228,0.6143514402738495,0.3302373689668001,2.542688411402911,5.392649743849641,13835.9,1.60789026,5.758709724,12.331928627350807,-5.2432529397443,-2.8824738284568574,2.3607791112874428,2.3607791112874428,0.3944834490698499,0.28890327507585,19041.1,1.009233201,3.885868678,53.64409716624696,0.859212338984165,0.2138542751079502,1.5015667723032775,0.1430180707762103,0.0810903168691809,6.992123404914088,1.715421047411228,14.738840788387328,10.13944409724069,2.3607791112874428,9.171103791419842,5.108240407319263,1.60789026,1.60789026,1.715432896097828,13835.9,1.009233201,1.009233201,2.3607954175650554,19041.1,56,1.4875424282691874,742.712933,-2.65,-6.47,0.3599999999999999,0.79,2.027611089069629,2.061160282,3.82,-5174.652680703601,4.67034,5.894005765999999,23.247393752264525,3.0900000000000003,5.989790486935695,9.109474350185367,15.099264837121062,30.326873425357658,18.296379232347316,12.030494193010345,-1.99,-6.04,0.1899999999999999,0.2599999999999998,2.2861659392977582,0.548377181,4.05,-15717.647341304437,1.22344,13.040835350999998,48.55193625232204,3.39,5.443350785340314,3.980302469135802,0.2512371880665437,0.1837103724222837,3.82,7.962100785340313,3.402100785340313,4.05,6.240927469135802,2.225927469135802,2.6317358579999994,21227.1,2.2861044139999995,18439.3,0.059964056,2.027556522,16353.9,2.027556522,16353.9,2.061160282,2.061160282,2.257052621,0.4299999999999997,0.6599999999999999,14.33965877928724,1.2015667723032777,1.2015667723032777,5.261600286563966,14.33965877928724,19.60125906585121,6.880554220821049,18.751861480414824,25.63241570123587,65.0,70.0,15.308944032742872,11.19953738498304,4.109406647759832,11.19953738498304,21.559341300328885,15.772129571590138,5.787211728738747,1.669796141136633,1.0865081963604395,84.42096775051294,77.90532015939938,12.13777103381142,7.417057261967582,45.11,0.95,8.2,3.53
38,BT6IC-HD-4Cl,PBDB-TF,-5.68649919082375,-3.941842872632914,1.7446563181908354,1.7446563181908352,1.7446563181908352,1.293,0.7235507284795002,0.2132012018667493,1.77200395371749,4.905889423232802,14071.7,1.915072763,5.802095772,13.284130794748966,-5.2432529397443,-2.8824738284568574,2.3607791112874428,2.3607791112874428,0.3944834490698499,0.28890327507585,19041.1,1.009233201,3.885868678,49.87404526383802,1.0593690441760573,0.4432462510794499,1.3014100671113855,0.1430180707762103,0.075277789375221,6.992123404914088,1.744656318190836,15.80025733050006,10.986086298771728,2.3607791112874428,9.171103791419842,5.108240407319263,1.915072763,1.915072763,1.7446683688101106,14071.7,1.009233201,1.009233201,2.3607954175650554,19041.1,59,1.241374917872134,792.833635,-2.77,-6.69,0.2299999999999999,0.92,2.073931263638167,2.281705448,3.92,-6648.487380374416,4.49813,6.382662754000001,20.465044180510297,2.97,5.989790486935695,8.45563492125462,14.445425408190314,27.886893750511405,16.32360321548204,11.56329053502936,-1.99,-6.04,0.1899999999999999,0.2599999999999998,2.2861659392977582,0.548377181,4.05,-15717.647341304437,1.22344,13.040835350999998,48.55193625232204,3.27,5.7073724489795925,3.980302469135802,0.2512371880665437,0.1752119752021418,3.92,8.317372448979592,3.5873724489795915,4.05,6.240927469135802,2.225927469135802,2.6317358579999994,21227.1,2.2861044139999995,18439.3,0.059964056,2.07387545,16727.5,2.07387545,16727.5,2.281705448,2.281705448,2.257052621,0.6500000000000004,0.78,13.812304785542402,1.0014100671113857,1.0014100671113857,5.261600286563966,13.812304785542402,19.073905072106367,6.88055422089125,18.062244719555213,24.942798940446465,65.0,70.0,12.41552036291725,8.990657690464403,3.424862672452849,8.990657690464403,17.4845789726288,12.661399587754437,4.823179384874363,1.669796141136633,1.1130819864383057,84.42096775051294,78.31844194479744,12.040855554946445,7.417057261967582,72.65,0.88,24.43,14.9
42,BTA3,P3HT,-5.3896501913133,-3.5306812367407945,1.8589689545725048,1.8589689545725052,1.8589689545725052,1.354,0.6213719776167501,0.1907245978154503,2.0265369299491938,12.439335321570097,14993.7,2.419432714,5.294395938,10.701135243625991,-5.10602592493715,-2.0960700630049938,3.009955861932156,3.009955861932156,0.3436253704114005,0.2626714998876502,24277.1,1.365920018,3.0167570560000008,39.81271408368551,1.4346111737358007,0.2836242663761501,1.575344688196355,0.2321145195802108,0.0934480293196592,4.3082182097377775,1.8589689545725052,13.047403660300292,8.58723794627325,3.009955861932156,6.296864448094072,2.6958164541230003,2.419432714,2.419432714,1.858981794767381,14993.7,1.365920018,1.365920018,3.0099766521770595,24277.1,58,2.568234745749291,919.95959,-2.34,-6.45,0.1999999999999997,0.7299999999999995,2.3208812735568336,2.393149791,4.11,-5245.062704748605,11.36472,5.154871577,19.6276985531234,2.91,2.703295592027475,5.644337521426735,8.34763311345421,15.78954803409864,10.67626442177867,5.113283612319969,-0.97,-5.55,0.76,0.79,2.686260166633604,2.364060892,4.58,-3859.844937179237,0.15653,2.785353023,12.01610690118826,3.21,4.699762773722626,2.320436681222707,0.4309533667055591,0.2127766970688845,4.11,7.154137773722628,2.7591377737226277,4.58,4.2366866812227055,0.9766866812227076,2.686187874,21666.3,2.686187874,21666.3,2.364060892,2.320818814,18719.3,2.320818814,18719.3,2.393149791,2.393149791,2.364060892,0.9000000000000004,1.37,11.763959456425091,1.275344688196355,1.275344688196355,1.174592235832315,11.763959456425091,12.938551692257406,1.5360052314730277,15.383639289171274,16.9196445206443,65.0,70.0,10.725723562888389,9.752017083190864,0.9737064796975252,9.752017083190864,15.104865135901989,13.733609856801335,1.3712552791006567,2.249705405600672,1.216849358804289,87.95300735989845,79.79375225564218,11.422448921684143,2.3241463478773428,65.0,0.9,9.64,5.64
48,BTA43,P3HT,-5.25960698215935,-3.442408013700711,1.817198968458639,1.817198968458639,1.817198968458639,1.326,0.6474949072647496,0.2418003675543003,2.4581167610577395,14.969950078859288,14656.8,2.091960785,5.217789035,10.417827973510782,-5.10602592493715,-2.0960700630049938,3.009955861932156,3.009955861932156,0.3436253704114005,0.2626714998876502,24277.1,1.365920018,3.0167570560000008,43.53806499232744,1.3463379506957174,0.1535810572222002,1.6636179112364389,0.2321145195802108,0.0959892985891763,4.3082182097377775,1.817198968458639,12.70690665800446,8.355899160074435,3.009955861932156,6.296864448094072,2.6958164541230003,2.091960785,2.091960785,1.8172115201415624,14656.8,1.365920018,1.365920018,3.0099766521770595,24277.1,58,2.770906837872791,939.737347,-2.32,-6.38,0.1999999999999997,0.75,2.281504165840111,2.074234469,4.0600000000000005,-5545.574682560535,13.90275,5.178403403999999,22.228200808048744,2.93,2.703295592027475,6.034024576999637,8.737320169027111,16.640226261912133,11.491799806895813,5.148426455016327,-0.97,-5.55,0.76,0.79,2.686260166633604,2.364060892,4.58,-3859.844937179237,0.15653,2.785353023,12.01610690118826,3.23,4.660714285714284,2.320436681222707,0.4309533667055591,0.2145593869731801,4.0600000000000005,7.0894642857142856,2.739464285714285,4.58,4.2366866812227055,0.9766866812227076,2.686187874,21666.3,2.686187874,21666.3,2.364060892,2.281442766,18401.7,2.281442766,18401.7,2.074234469,2.074234469,2.364060892,0.8300000000000001,1.35,12.510575337479272,1.3636179112364388,1.3636179112364388,1.174592235832315,12.510575337479272,13.685167573311588,1.5360052314730277,16.359983133626738,17.895988365099765,65.0,70.0,12.129870753805866,11.088768996538736,1.04110175726713,11.088768996538736,17.082303191750267,15.616136219977625,1.4661669717726449,2.249705405600672,1.17895815694886,87.95300735989845,79.27889922444128,11.69319751264751,2.3241463478773428,68.0,0.89,10.84,6.56
54,BTA53,P3HT,-5.3467650484745,-3.581453106399516,1.7653119420749848,1.765311942074985,1.765311942074985,1.258,0.6558488024751004,0.2047384611162002,0.4145403277118677,16.63158252657993,14238.3,2.735275901,5.330685139,11.288809292159094,-5.10602592493715,-2.0960700630049938,3.009955861932156,3.009955861932156,0.3436253704114005,0.2626714998876502,24277.1,1.365920018,3.0167570560000008,36.58686026679628,1.485383043394522,0.2407391235373506,1.5245728185376342,0.2321145195802108,0.0885833017565965,4.3082182097377775,1.7653119420749843,13.63119582725728,9.167086749820273,3.009955861932156,6.296864448094072,2.6958164541230003,2.735275901,2.735275901,1.7653241353659468,14238.3,1.365920018,1.365920018,3.0099766521770595,24277.1,60,1.431848799127735,929.874459,-2.43,-6.4,0.2099999999999999,0.7699999999999996,2.2096558222574885,2.59014987,3.97,-5395.360571675223,15.61278,5.091131206,17.613597869283524,2.82,2.703295592027475,6.832665397776074,9.535960989803549,17.479416494309906,12.524275674123544,4.955140820186362,-0.97,-5.55,0.76,0.79,2.686260166633604,2.364060892,4.58,-3859.844937179237,0.15653,2.785353023,12.01610690118826,3.12,4.909880352644836,2.320436681222707,0.4309533667055591,0.2036709508534813,3.97,7.365505352644837,2.9505053526448366,4.58,4.2366866812227055,0.9766866812227076,2.686187874,21666.3,2.686187874,21666.3,2.364060892,2.209596356,17822.2,2.209596356,17822.2,2.59014987,2.59014987,2.364060892,0.8500000000000005,1.4600000000000002,13.42387589453379,1.224572818537634,1.224572818537634,1.174592235832315,13.42387589453379,14.598468130366104,1.5360052314730277,17.554299246698033,19.09030447817106,65.0,70.0,11.61997672207726,10.685033800914622,0.9349429211626396,10.685033800914622,16.364227573102887,15.047562394187452,1.316665178915433,2.249705405600672,1.1318484646803424,87.95300735989845,78.601003499862,11.94247402022701,2.3241463478773428,62.0,0.88,11.57,6.31
