Molecule,GS Dipole Moment,ES Dipole,Change in Dipole Moment
AQx-2,5.2129581281112145,5.449640942572132,1.61120918548941
AQx,9.162088890553841,11.112978484170263,3.5407193024356687
BCDT-4Cl,7.741525832739659,8.294127697010836,0.6314725745326117
BCDT-4F,6.867561059854121,7.3848378444731715,0.7173794389926762
BDTN-BF,5.233373571182989,5.731085828745192,1.479159299243942
BDTN-Th,5.392649743849641,3.0734126608534647,2.542688411402911
BT6IC-HD-4Cl,4.905889423232802,6.1055051553999,1.7720039537174899
BTA3,12.439335321570095,14.119353301419048,2.0265369299491938
BTA43,14.969950078859288,16.948602063829046,2.4581167610577395
BTA53,16.63158252657993,16.980607139035055,0.4145403277118677
BTCIC-4Cl,12.761904552326111,13.386825011504461,0.6276696858384004
BTCIC,4.84341934266186,5.253434510359055,0.796296074965099
BTDT2R,6.021757041239564,6.826027818948145,0.9470456517922352
BTN-4F,7.48126739225147,7.3754505814641655,0.7720236804407727
BTP-4Cl,0.6380217154420244,2.055388399605213,2.0370729574357647
BTP-PhC6,8.459839260541056,10.52097537004107,2.2751770193012004
BTSe-4F,8.760208240055233,9.505950229109843,1.7797353242313747
BTTPC-Br,8.857441476492989,8.363560582676133,2.9252949469297387
BTTPC,8.666129101818186,8.25096110083638,1.9989477602398502
CH1007,2.692295145214884,4.458892038058284,1.9485836635365816
CPDT-4Cl,8.27136769114336,8.128968716235384,0.59976620187321
CPDT-4F,4.597917348277842,4.787360194490338,0.4513357906864897
DTG-IW,8.572876089673452,9.881257853457083,2.6226609465475286
EH-IDTBR,4.994633591620881,6.747787025624348,2.165724697993882
F-2F,2.9550023487471058,2.126713961781031,0.9997129179029256
F-H,9.383596715205076,10.199202647244773,1.2652727737615266
FDICTF,8.779870790838054,9.174705437544242,1.0238536272621583
FO-2F,10.53616895877018,12.13819460460461,1.6453953973721374
H2,7.495662582298589,8.208667491231603,2.92627801277997
IDF-4F,7.916315946713255,7.220147716549022,2.089621086374471
IDF-IC,8.293901086933833,8.771541970620358,1.2919357504259534
IDIC,3.9820981935229534,4.417897747971837,0.44743619782842925
IDST-4F,4.752049762652412,5.52955756145621,2.0248544570646474
IDTCF,2.215152285365212,2.6918302708329565,0.5349781988407419
IDTT-TBTA,2.882526284012194,3.218863420144731,0.3754294141485341
IPTBO-4Cl,12.789699705437078,13.07636644996271,2.129405163118443
IT-4F,4.668483597918128,4.728626118556288,1.0020410862664249
ITCC,6.062150267117072,5.128252034298532,1.2146167834251742
ITIC-Th,4.9125862286152495,3.952963767471391,1.1769791669330276
ITIC,0.4658017609694543,0.4595926148766184,0.10350796128136143
M34,5.915542735253235,5.878128890282327,2.9780339929542814
M8,6.645597380011437,7.355281225609514,1.6275851014714846
N3,6.3031041415509845,8.003190450634838,2.321095236045097
N65-2FIC,9.192764072751219,10.585835002313818,1.604748096411565
N65-IC,9.024512223166704,9.935196006264778,1.4006987388953138
NIBT,3.176839339532412,3.9933660383893117,2.121857691585236
NIDT,5.8661826095031255,6.743517137321192,1.040633325612874
NITV,2.07949146618691,2.0166578312759347,0.27516846300258474
O-IDTBR,3.066297743510234,3.640562756478178,0.9043771255012423
PC70BM,4.907470053160836,5.10417646682323,0.49496337087831066
PCBM,4.35717651037812,4.669027287701776,0.33609034950565386
SNBDT1-F,10.565542299235345,12.087915373344396,2.9597564631481674
SeTIC,1.0835824127764495,1.0160775108454059,0.3988681407359178
SeTIC4Cl,6.006151109459473,5.59883279665468,1.8448274627925334
TPIC-4Cl,3.929363930684643,4.201866679508762,0.4757350760045594
TPIC-4F,4.6242036509037066,5.02112739668157,0.4150268374762474
TPIC,2.3656836553780236,2.2451130596314215,0.26187516703193436
Y1-4F,6.289316503045167,8.77154747525178,2.6308759931547763
Y1,4.202487398144628,3.2801020779454118,3.0416545375339936
Y11,7.094758056000571,9.32494852214026,2.518439884808116
Y14,5.416383514117209,5.881483659020557,2.1067320729840238
Y15,6.772268939539056,8.926348993230963,2.4150275672036483
Y16,7.123039845357685,7.678478285270926,2.3150771258786924
Y2,5.835841207686883,3.406636413413019,2.570743617120558
Y5,3.5367356721257313,4.65691162058187,2.890511362366653
Y6,1.237300857607373,1.319860847469504,1.8190227105150416
ZY-4Cl,1.6881475597143174,3.4125281086682935,1.7952044595597023
i-cc23,6.1885737235101965,6.211709803830033,0.2053751189245853
i-cc34,6.5004914129971665,7.181212368745114,2.2747561748883323
o-IO1,8.311835139876685,11.838550210277415,4.18959955418389
o-IO2,6.310975569674423,6.604757084723193,1.4211032217682618
p-IO1,9.983622366982283,13.320921070506605,5.264385491835154
p-IO2,8.999700407192968,11.552688124188357,2.600454803022401
