Acceptor,Donor ,Reference,Voc (V),Jsc (mA/cm^2),FF (%),PCE (%)
BDTN-Th,PBDB-TF,3,0.95,8.2,45.11,3.53
N65-IC,PBDB-TF,51,0.87,15.07,51,6.67
SeTIC,PBDB-TF,56,0.95,15.45,51,7.46
NITV,PBDB-T,52,1.12,8.08,53,4.8
Y6,J71,66,0.87,20.54,53.6,9.6
N65-IC,PBDB-T,51,0.87,18.94,55,9.03
Y1,PBDB-TF,59,0.92,12.9,55.5,7.1
ITIC,P3HT,41,0.52,4.22,56.93,1.24
BTDT2R,PPDT2FBT,8,1.07,11.23,57,6.9
BTDT2R,PTB7-Th,8,1.06,13.52,57,8.19
ITIC-Th,PffBT4T-2DT,26,0.858,13.47,57.1,6.6
Y1-4F,PBDB-T,59,0.74,22.7,57.4,9.9
N65-2FIC,PBDB-TF,51,0.82,21.49,58,10.19
Y14,PBDB-TF,60,0.866,16.83,58.24,8.49
IDF-IC,PBDB-TF,23,0.905,14.55,59,7.8
PC70BM,PTFB-O,46,0.83,13.1,59,6.53
i-cc23,PBDB-T,22,1.09,11.1,59.5,7.23
IT-4F,PDCBT-Cl,27,0.89,17.2,60,9.05
NIBT,PBDB-T,52,1.04,17.34,60,10.8
O-IDTBR,P3HT,17,0.72,13.9,60,6.3
ITIC,FTAZ,26,0.89,12.18,60.1,6.48
M8,PBDB-TF,49,0.83,8.36,60.59,4.21
IDF-4F,PBDB-TF,23,0.736,17.49,61,7.81
BDTN-BF,PBDB-TF,3,0.93,20.2,61.46,11.54
BTA53,P3HT,6,0.88,11.57,62,6.31
BTCIC,PBDB-T-2Cl,7,0.83,5.4,62,2.8
EH-IDTBR,P3HT,17,0.76,12.1,62,6
N65-2FIC,PBDB-T,51,0.72,19.11,62,8.51
PC70BM,PTQ2,39,1,8.1,62,5
p-IO1,PTB7-Th,53,0.78,22.3,62,10.8
Y14,PTB7-Th,60,0.788,21.28,62.24,10.44
BTCIC,PBDB-T,7,0.79,18.6,63,9.3
EH-IDTBR,PffBT4T-2DT,18,1.02,17.2,63,11.1
i-cc34,PBDB-T,22,0.96,15.46,63,9.35
o-IO2,PTB7-Th,53,0.68,21.8,63,9.3
IT-4F,PBDT-3TCO,35,0.88,20.94,63.68,11.77
IDTT-TBTA,PTB7-Th,30,1,13.7,64,8.77
BTA3,P3HT,5,0.9,9.64,65,5.64
ZY-4Cl,P3HT,10,0.88,16.49,65,9.46
ITIC,PDCBT,41,0.94,16.5,65.67,10.16
IDIC,PDCBT-Cl,27,0.95,15.2,65.8,9.44
PCBM,P3HT,54,0.6,9.6,65.8,3.79
ITIC,PDCBT-Cl,27,1.02,10.8,65.9,7.25
BCDT-4F,PBDB-T,2,0.8,18.28,66,9.65
BTCIC-4Cl,PBDB-T-2Cl,7,0.75,21,66,10.5
DTG-IW,PTB7-Th,16,0.72,19.2,66,9.16
FDICTF,PBDB-T,20,0.94,15.81,66,10.06
ITIC,PFBDB-T,44,0.95,18.5,66,11.71
ITIC,PTB7-Th,45,0.825,14.4,66,7.8
NIDT,PBDB-T,52,1.14,13.28,66,10
PC70BM,PBDB-T-SF,34,0.96,14,66.1,8.89
CPDT-4Cl,PBDB-T,15,0.65,21.3,66.8,9.28
ITIC,PBQ-4F,43,0.95,17.87,66.8,11.34
BCDT-4Cl,PBDB-T,2,0.76,23.77,67,12.1
BTDT2R,P3HT,8,0.81,9.42,67,5.09
ITIC-Th,PDBT-T1,48,0.88,16.24,67,9.6
ITIC-Th,PTFB-O,46,0.92,17.1,67,10.88
