Donor/acceptor pair,FOM 1.5G AM
P3HT and AQx-2,37.52839062906938
PBDB-T-2Cl_dimer and AQx-2,45.91058053505373
PBDB-TF_dimer and AQx-2,47.76470235374392
PBDB-T_tetra and AQx-2,70.93426346997624
PDCBT-Cl_tetra and AQx-2,45.18639904435727
PTB7-Th_tetra and AQx-2,54.07851884990197
P3HT and AQx,42.99687051407338
PBDB-T-2Cl_dimer and AQx,51.37906042005772
PBDB-TF_dimer and AQx,53.23318223874788
PBDB-T_tetra and AQx,76.4027433549803
PDCBT-Cl_tetra and AQx,50.654878929361246
PTB7-Th_tetra and AQx,59.54699873490596
P3HT and BCDT-4Cl,29.86289180008378
PBDB-T-2Cl_dimer and BCDT-4Cl,38.245081706068156
PBDB-TF_dimer and BCDT-4Cl,40.09920352475827
PBDB-T_tetra and BCDT-4Cl,63.2687646409907
PDCBT-Cl_tetra and BCDT-4Cl,37.52090021537172
PTB7-Th_tetra and BCDT-4Cl,46.4130200209164
P3HT and BCDT-4F,30.681713455993012
PBDB-T-2Cl_dimer and BCDT-4F,39.06390336197733
PBDB-TF_dimer and BCDT-4F,40.918025180667485
PBDB-T_tetra and BCDT-4F,64.08758629689991
PDCBT-Cl_tetra and BCDT-4F,38.339721871280936
PTB7-Th_tetra and BCDT-4F,47.23184167682563
P3HT and BDTN-BF,42.36709848150827
PBDB-T-2Cl_dimer and BDTN-BF,50.74928838749266
PBDB-TF_dimer and BDTN-BF,52.60341020618283
PBDB-T_tetra and BDTN-BF,75.7729713224152
PDCBT-Cl_tetra and BDTN-BF,50.0251068967962
PTB7-Th_tetra and BDTN-BF,58.917226702340955
P3HT and BDTN-Th,43.40778544157241
PBDB-T-2Cl_dimer and BDTN-Th,51.78997534755683
PBDB-TF_dimer and BDTN-Th,53.64409716624696
PBDB-T_tetra and BDTN-Th,76.81365828247931
PDCBT-Cl_tetra and BDTN-Th,51.06579385686032
PTB7-Th_tetra and BDTN-Th,59.95791366240504
P3HT and BT6IC-HD-4Cl,39.63773353916349
PBDB-T-2Cl_dimer and BT6IC-HD-4Cl,48.01992344514787
PBDB-TF_dimer and BT6IC-HD-4Cl,49.87404526383802
PBDB-T_tetra and BT6IC-HD-4Cl,73.04360638007041
PDCBT-Cl_tetra and BT6IC-HD-4Cl,47.295741954451394
PTB7-Th_tetra and BT6IC-HD-4Cl,56.18786175999602
P3HT and BTA3,39.81271408368551
PBDB-T-2Cl_dimer and BTA3,48.194903989669896
PBDB-TF_dimer and BTA3,50.04902580836007
PBDB-T_tetra and BTA3,73.21858692459237
PDCBT-Cl_tetra and BTA3,47.470722498973416
PTB7-Th_tetra and BTA3,56.362842304518125
P3HT and BTA43,43.538064992327435
PBDB-T-2Cl_dimer and BTA43,51.92025489831175
PBDB-TF_dimer and BTA43,53.77437671700199
PBDB-T_tetra and BTA43,76.94393783323434
PDCBT-Cl_tetra and BTA43,51.196073407615344
PTB7-Th_tetra and BTA43,60.088193213160096
P3HT and BTA53,36.58686026679628
PBDB-T-2Cl_dimer and BTA53,44.96905017278065
PBDB-TF_dimer and BTA53,46.82317199147083
PBDB-T_tetra and BTA53,69.99273310770329
PDCBT-Cl_tetra and BTA53,44.24486868208421
PTB7-Th_tetra and BTA53,53.13698848762891
P3HT and BTCIC-4Cl,37.44138160037386
PBDB-T-2Cl_dimer and BTCIC-4Cl,45.823571506358206
PBDB-TF_dimer and BTCIC-4Cl,47.67769332504839
PBDB-T_tetra and BTCIC-4Cl,70.84725444128078
PDCBT-Cl_tetra and BTCIC-4Cl,45.09939001566172
PTB7-Th_tetra and BTCIC-4Cl,53.99150982120649
P3HT and BTCIC,32.288672326316714
PBDB-T-2Cl_dimer and BTCIC,40.670862232301126
PBDB-TF_dimer and BTCIC,42.524984050991236
PBDB-T_tetra and BTCIC,65.69454516722367
PDCBT-Cl_tetra and BTCIC,39.94668074160461
PTB7-Th_tetra and BTCIC,48.83880054714935
P3HT and BTDT2R,31.296279763595443
PBDB-T-2Cl_dimer and BTDT2R,39.678469669579805
PBDB-TF_dimer and BTDT2R,41.53259148826998
PBDB-T_tetra and BTDT2R,64.70215260450236
PDCBT-Cl_tetra and BTDT2R,38.954288178883324
