Acceptor,donor,AccHOMO,AccCalcLUMO,AccFundBg,AccOptBg,AccEnergyTransitioneV,AccTriplet,AccDeltaHOMO,AccDeltaLUMO,DeltaDipMom,GSDipMom,AccEnergyTransitionWavenumber,AccOscStr,AccSumOscStr,AccElectroIndex,DonHOMO,DonCalcLUMO,DonFundBg,DonEnergyTransitioneV,DonDeltaHOMO,DonDeltaLUMO,DonEnergyTransitionWavenumber,DonOscStr,DonSumOscStr,AbsFOM,LUMOOffset,HOMOOffset,DHomoALumoOffset,DonNucleoIndex,AccNucleoIndex,DonElectroIndex,AccChemHard,AccElectrodonating,AccElectroaccepting,DonChemHard,DonElectrodonating,DonElectroaccepting,acc_first_oscs,acc_highest_oscs_under_ten,acc_lowest_transition_eV,acc_lowest_transition_wavenumber,don_first_oscs,don_highest_oscs_under_ten,don_lowest_transition_eV,don_lowest_transition_wavenumber,PiSystemSize,Planarity,Polarizability,sTDDFTLUMO,sTDDFTHOMO,sTDDFTdeltaLUMO,sTDDFTdeltaHOMO,sTDDFToptbg,sTDDFToscs,sTDDFTfundbg,sTDDFTsinglepointenergy,sTDDFTdipolemoment,sTDDFTsummedoscs,sTDDFTabsFOM,sTDDFTScharberVoc,sTDDFTScharberJscDon,sTDDFTScharberJscAcc,sTDDFTScharberJscTot,sTDDFTScharberPCETot,sTDDFTScharberPCEAcc,sTDDFTScharberPCEDon,donsTDDFTLUMO,donsTDDFTHOMO,donsTDDFTdeltaLUMO,donsTDDFTdeltaHOMO,donsTDDFToptbg,donsTDDFToscs,donsTDDFTfundbg,donsTDDFTsinglepointenergy,donsTDDFTdipolemoment,donsTDDFTsummedoscs,donsTDDFTabsFOM,sTDDFTDHomoALumoOffset,sTDDFTaccElectrophilicity,sTDDFTdonElectrophilicity,sTDDFTDonNucleoIndex,sTDDFTAccNucleoIndex,sTDDFTAccChemHard,sTDDFTAccElectrodonating,sTDDFTAccElectroaccepting,sTDDFTDonChemHard,sTDDFTDonElectrodonating,sTDDFTDonElectroaccepting,sTDDFTdonlowestengtranseV,sTDDFTdonlowestengtranswavenumber,sTDDFTdonfirstengtranseV,sTDDFTdonfirstengtranswavenumber,sTDDFTdonfirstoscs,sTDDFTacclowestengtranseV,sTDDFTacclowestengtranswavenumber,sTDDFTaccfirstengtranseV,sTDDFTaccfirstengtranswavenumber,sTDDFTaccfirstoscs,sTDDFTacchighestoscsunderten,sTDDFTdonhighestoscsunderten,sTDDFTHOMOoffset,sTDDFTLUMOoffset,ScharberJsclowestoptbg,ScharberVoc,ImamuraVoc,ScharberJscDon,ScharberJscAcc,ScharberTotalJsc,ImamuraJscDon,ImamuraJscAcc,ImamuraTotalJsc,ScharberFF,ImamuraFF,ScharberPCEtotal,ScharberPCEacc,ScharberPCEdon,ScharberPCElowestoptbg,ImamuraPCEtotal,ImamuraPCEacc,ImamuraPCEdon,AlharbiVocDon,AlharbiVocAcc,AlharbiFFDon,AlharbiFFAcc,AlharbiPCEAcc,AlharbiPCEDon,ExperimentalFF,ExperimentalVoc,ExperimentalJsc,ExperimentalPCE
AQx-2,P3HT,-5.699832769498251,-3.828949016274685,1.8708837532235665,1.8708837532235665,1.8708837532235665,1.349,0.6824615370539995,0.2298001467472503,1.61120918548941,5.212958128111215,15089.8,2.394760272,5.631235256000001,12.132993587179326,-5.10602592493715,-2.0960700630049938,3.009955861932156,3.009955861932156,0.3436253704114005,0.2626714998876502,24277.1,1.365920018,3.0167570560000008,37.52839062906938,1.7328789532696909,0.5938068445611009,1.2770769086624654,0.2321145195802108,0.08241989026159863,4.3082182097377775,1.8708837532235658,14.632119268199032,9.867728375312563,3.009955861932156,6.296864448094072,2.6958164541230003,2.394760272,2.394760272,1.8708966757158556,15089.8,1.365920018,1.365920018,3.0099766521770595,24277.1,60,0.8408029419455445,679.117337,-2.71,-6.69,0.25,0.8699999999999992,2.1342987502479667,2.455137959,3.9800000000000004,-4650.898343541586,4.60652,6.4796913410000005,19.02107587693138,2.54,2.703295592027475,7.682828798895219,10.386124390922694,17.14749136941337,12.684350346976007,4.4631410224373615,-0.97,-5.55,0.76,0.79,2.686260166633604,2.364060892,4.58,-3859.844937179237,0.15653,2.785353023,12.01610690118826,2.84,5.550251256281407,2.320436681222707,0.43095336670555917,0.18017202354006337,3.9800000000000004,8.149001256281407,3.4490012562814067,4.58,4.2366866812227055,0.9766866812227076,2.686187874,21666.3,2.686187874,21666.3,2.364060892,2.134241312,17214.4,2.134241312,17214.4,2.455137959,2.455137959,2.364060892,1.1400000000000006,1.74,11.518044567388431,0.9770769086624653,0.9770769086624653,1.174592235832315,11.518044567388431,12.692636803220747,1.5360052314730275,15.062058280431023,16.59806351190405,65.0,70.0,8.061093514803137,7.3151099968312545,0.7459835179718817,7.3151099968312545,11.35230921019613,10.301752539916201,1.050556670279928,2.2497054056006722,1.2276523702715505,87.95300735989845,79.93588590153998,11.303057938522446,2.3241463478773428,,,,
AQx-2,PBDB-T-2Cl,-5.699832769498251,-3.828949016274685,1.8708837532235665,1.8708837532235665,1.8708837532235665,1.349,0.6824615370539995,0.2298001467472503,1.61120918548941,5.212958128111215,15089.8,2.394760272,5.631235256000001,12.132993587179326,-5.3105194835879,-2.8813883588110696,2.42913112477683,2.42913112477683,0.3627277627165002,0.2762227696425499,19592.4,1.073636459,3.690165444,45.91058053505373,0.9475606574636148,0.3893132859103509,1.4815704673132153,0.14479075549404063,0.08241989026159863,6.906518282799888,1.8708837532235658,14.632119268199032,9.867728375312563,2.42913112477683,9.106315938698183,5.010362017498698,2.394760272,2.394760272,1.8708966757158556,15089.8,1.073636459,1.073636459,2.429147903172695,19592.4,60,0.8408029419455445,679.117337,-2.71,-6.69,0.25,0.8699999999999992,2.1342987502479667,2.455137959,3.9800000000000004,-4650.898343541586,4.60652,6.4796913410000005,19.02107587693138,3.13,5.517483362398773,7.682828798895219,13.200312161293992,26.856035092152627,15.630715191352323,11.225319900800304,-1.96,-6.14,0.1299999999999999,0.1100000000000003,2.331395060503868,0.283931444,4.18,-17879.61802018557,2.20141,12.985482327,50.14623799112652,3.4299999999999997,5.550251256281407,3.924043062200957,0.2548392013412589,0.18017202354006337,3.9800000000000004,8.149001256281407,3.4490012562814067,4.18,6.2102930622009564,2.160293062200957,2.5710724439999995,20737.8,2.3313323179999994,18804.1,0.283931444,2.134241312,17214.4,2.134241312,17214.4,2.455137959,2.455137959,1.818247616,0.5500000000000007,0.75,11.518044567388431,1.1815704673132152,1.1815704673132152,4.646425082474601,11.518044567388431,16.164469649863033,6.076094338617367,15.06205828042293,21.138152619040298,65.0,70.0,12.414648972738316,8.846097846315333,3.5685511264229834,8.846097846315333,17.483351807752257,12.457818268768742,5.025533538983513,1.731173125528477,1.2276523702715505,84.88984728119378,79.93588590153998,11.303057938522446,6.828340870477663,,,,
AQx-2,PBDB-TF,-5.699832769498251,-3.828949016274685,1.8708837532235665,1.8708837532235665,1.8708837532235665,1.349,0.6824615370539995,0.2298001467472503,1.61120918548941,5.212958128111215,15089.8,2.394760272,5.631235256000001,12.132993587179326,-5.2432529397443,-2.8824738284568574,2.3607791112874428,2.3607791112874428,0.3944834490698499,0.28890327507585,19041.1,1.009233201,3.885868678,47.76470235374392,0.946475187817827,0.4565798297539505,1.4143039234696158,0.14301807077621034,0.08241989026159863,6.992123404914088,1.8708837532235658,14.632119268199032,9.867728375312563,2.3607791112874428,9.171103791419842,5.108240407319263,2.394760272,2.394760272,1.8708966757158556,15089.8,1.009233201,1.009233201,2.3607954175650554,19041.1,60,0.8408029419455445,679.117337,-2.71,-6.69,0.25,0.8699999999999992,2.1342987502479667,2.455137959,3.9800000000000004,-4650.898343541586,4.60652,6.4796913410000005,19.02107587693138,3.0300000000000002,5.989790486935695,7.682828798895219,13.672619285830914,26.92822368344399,15.131331319424135,11.796892364019852,-1.99,-6.04,0.1899999999999999,0.2599999999999998,2.2861659392977582,0.548377181,4.05,-15717.647341304437,1.22344,13.040835350999998,48.55193625232204,3.33,5.550251256281407,3.980302469135802,0.25123718806654377,0.18017202354006337,3.9800000000000004,8.149001256281407,3.4490012562814067,4.05,6.240927469135802,2.225927469135802,2.6317358579999994,21227.1,2.2861044139999995,18439.3,0.059964056,2.134241312,17214.4,2.134241312,17214.4,2.455137959,2.455137959,2.257052621,0.6500000000000004,0.72,11.518044567388431,1.1143039234696157,1.1143039234696157,5.261600286563966,11.518044567388431,16.779644853952398,6.880554220887507,15.062058280422633,21.94261250131014,65.0,70.0,12.153455661870838,8.342491463890235,3.8109641979806033,8.342491463890235,17.11551744096833,11.748597446182067,5.366919994786262,1.669796141136633,1.2276523702715505,84.42096775051294,79.93588590153998,11.303057938522446,7.417057261967582,76.25,0.86,25.38,16.64
AQx-2,PBDB-T,-5.699832769498251,-3.828949016274685,1.8708837532235665,1.8708837532235665,1.8708837532235665,1.349,0.6824615370539995,0.2298001467472503,1.61120918548941,5.212958128111215,15089.8,2.394760272,5.631235256000001,12.132993587179326,-5.0676578720166505,-3.015882430635972,2.0517754413806784,2.0517754413806784,0.1565470981926493,0.1861802965120995,16548.8,1.343741812,5.910814255,70.93426346997624,0.8130665856387123,0.6321748974816002,1.238708855741966,0.12559912176820245,0.08241989026159863,7.961839110989444,1.8708837532235658,14.632119268199032,9.867728375312563,2.0517754413806784,10.110960151738894,6.069190000412581,2.394760272,2.394760272,1.8708966757158556,15089.8,1.343741812,1.343741812,2.05178961332069,16548.8,60,0.8408029419455445,679.117337,-2.71,-6.69,0.25,0.8699999999999992,2.1342987502479667,2.455137959,3.9800000000000004,-4650.898343541586,4.60652,6.4796913410000005,19.02107587693138,2.84,6.967194681231387,7.682828798895219,14.650023480126606,27.043943344313714,14.182501962760574,12.86144138155314,-1.83,-5.85,0.1600000000000001,0.29,2.1962656219004164,0.241128707,4.02,-15122.809191764589,2.34005,12.751957815,44.74731995091807,3.1399999999999997,5.550251256281407,3.668059701492538,0.27262369791666663,0.18017202354006337,3.9800000000000004,8.149001256281407,3.4490012562814067,4.02,5.839309701492535,1.9993097014925374,2.625226908,21174.6,2.196206516,17714.2,0.241128707,2.134241312,17214.4,2.134241312,17214.4,2.455137959,2.455137959,2.659886367,0.8400000000000007,0.8799999999999999,11.518044567388431,0.938708855741966,0.938708855741966,8.779289146406708,11.518044567388431,20.29733371379514,11.48060888321652,15.06205827971457,26.54266716293109,65.0,70.0,12.384636488308155,7.027858783554806,5.356777704753347,7.027858783554806,17.44108570459843,9.897221245008767,7.543864459589661,1.3913735238832161,1.2276523702715505,81.86874038221555,79.93588590153998,11.303057938522446,10.000488073657753,,,,
AQx-2,PDCBT-Cl,-5.699832769498251,-3.828949016274685,1.8708837532235665,1.8708837532235665,1.8708837532235665,1.349,0.6824615370539995,0.2298001467472503,1.61120918548941,5.212958128111215,15089.8,2.394760272,5.631235256000001,12.132993587179326,-5.0771546453991,-2.867883171485194,2.2092714739139057,2.2092714739139057,0.4392189660920502,0.3736395281215499,17819.1,2.681571524,4.255508377999999,45.18639904435727,0.9610658447894904,0.622678124099151,1.2482056291244152,0.1399964873376301,0.08241989026159863,7.1430363648217545,1.8708837532235658,14.632119268199032,9.867728375312563,2.2092714739139057,9.26737528616245,5.2948563777203015,2.394760272,2.394760272,1.8708966757158556,15089.8,2.681571524,2.681571524,2.209286733704118,17819.1,60,0.8408029419455445,679.117337,-2.71,-6.69,0.25,0.8699999999999992,2.1342987502479667,2.455137959,3.9800000000000004,-4650.898343541586,4.60652,6.4796913410000005,19.02107587693138,3.13,5.048874370412561,7.682828798895219,12.73170316930778,25.90265009795668,15.630715191352323,10.271934906604356,-1.92,-6.14,0.25,0.2600000000000007,2.3818810751834953,4.076802804,4.22,-9402.575206581614,5.65723,5.183854525,6.835136982728329,3.4299999999999997,5.550251256281407,3.8485545023696677,0.25983781686975477,0.18017202354006337,3.9800000000000004,8.149001256281407,3.4490012562814067,4.22,6.127304502369666,2.097304502369668,2.3818169739999995,19211.3,2.3818169739999995,19211.3,4.076802804,2.134241312,17214.4,2.134241312,17214.4,2.455137959,2.455137959,4.076802804,0.5500000000000007,0.79,11.518044567388431,0.9482056291244152,0.9482056291244152,6.832665397776074,11.518044567388431,18.350709965164505,8.935023981704113,15.062058280425862,23.997082262129975,65.0,70.0,11.310160216809015,7.09895855194734,4.211201664861675,7.09895855194734,15.927917938459307,9.997349913389868,5.930568025069439,1.533478281264524,1.2276523702715505,83.26779945482753,79.93588590153998,11.303057938522446,8.724586853514058,,,,
AQx-2,PTB7-Th,-5.699832769498251,-3.828949016274685,1.8708837532235665,1.8708837532235665,1.8708837532235665,1.349,0.6824615370539995,0.2298001467472503,1.61120918548941,5.212958128111215,15089.8,2.394760272,5.631235256000001,12.132993587179326,-4.991112245871,-2.983152515658741,2.007959730212259,2.007959730212259,0.3442512322675499,0.5647178739426502,16195.4,1.481089062,4.661161306,54.07851884990197,0.8457965006159434,0.7087205236272505,1.1621632295963158,0.12630882295428048,0.08241989026159863,7.91710330767603,1.8708837532235658,14.632119268199032,9.867728375312563,2.007959730212259,10.03616698119673,6.049034600431861,2.394760272,2.394760272,1.8708966757158556,15089.8,1.481089062,1.481089062,2.00797359951017,16195.4,60,0.8408029419455445,679.117337,-2.71,-6.69,0.25,0.8699999999999992,2.1342987502479667,2.455137959,3.9800000000000004,-4650.898343541586,4.60652,6.4796913410000005,19.02107587693138,2.9400000000000004,7.277138842750522,7.682828798895219,14.95996764164574,28.588498163185015,14.681885834688767,13.90661232849625,-2.05,-5.95,0.4199999999999999,0.3099999999999996,2.168530549494148,2.691697691,3.9000000000000004,-11533.103933002296,13.02707,8.566758652999999,24.18064733284576,3.24,5.550251256281407,4.102564102564102,0.24375000000000002,0.18017202354006337,3.9800000000000004,8.149001256281407,3.4490012562814067,3.9000000000000004,6.346314102564103,2.346314102564102,2.16847219,17490.5,2.16847219,17490.5,2.691697691,2.134241312,17214.4,2.134241312,17214.4,2.455137959,2.455137959,2.691697691,0.7400000000000002,0.6600000000000001,11.518044567388431,0.8621632295963157,0.8621632295963157,9.388940717172995,11.518044567388431,20.906985284561426,12.277845553030064,15.06205828019038,27.339903833220443,65.0,70.0,11.716402070139083,6.454782426855042,5.261619643284042,6.454782426855042,16.50002184999142,9.090166967851806,7.409854882139614,1.351766853301422,1.2276523702715505,81.43611542522085,79.93588590153998,11.303057938522446,10.335593949717365,,,,
AQx,P3HT,-5.6396683971527,-3.847018129348693,1.792650267804007,1.792650267804007,1.792650267804007,1.263,0.5453977905571508,0.2675695491966499,3.5407193024356687,9.16208889055384,14458.8,1.598057238,5.381507474,12.550861546790925,-5.10602592493715,-2.0960700630049938,3.009955861932156,3.009955861932156,0.3436253704114005,0.2626714998876502,24277.1,1.365920018,3.0167570560000008,42.99687051407338,1.7509480663436987,0.5336424722155497,1.259007795588457,0.2321145195802108,0.07967580522435813,4.3082182097377775,1.7926502678040075,15.034573820154023,10.291230556903324,3.009955861932156,6.296864448094072,2.6958164541230003,1.598057238,1.598057238,1.792662649925142,14458.8,1.365920018,1.365920018,3.0099766521770595,24277.1,60,0.8767608610955374,701.868803,-2.75,-6.62,0.29,0.7199999999999998,2.0057652251537395,1.435128519,3.87,-4729.439885361892,7.13958,6.567337084,25.69577315254948,2.5,2.703295592027475,9.436601433213225,12.1398970252407,19.72733266601614,15.334477328971492,4.392855337044646,-0.97,-5.55,0.76,0.79,2.686260166633604,2.364060892,4.58,-3859.844937179237,0.15653,2.785353023,12.01610690118826,2.8,5.6716343669250655,2.320436681222707,0.43095336670555917,0.17631602026950835,3.87,8.256009366925063,3.571009366925065,4.58,4.2366866812227055,0.9766866812227076,2.686187874,21666.3,2.686187874,21666.3,2.364060892,2.005711246,16177.7,2.005711246,16177.7,1.435128519,1.435128519,2.364060892,1.0700000000000003,1.78,12.908789531254946,0.9590077955884571,0.9590077955884571,1.174592235832315,12.908789531254946,14.08338176708726,1.5360052314730275,16.880724771641084,18.41673000311411,65.0,70.0,8.778947386875265,8.046759364854703,0.7321880220205628,8.046759364854703,12.363251349563983,11.332122655830881,1.0311286937331,2.2497054056006722,1.156675361676384,87.95300735989845,78.96369034360671,11.790288755868866,2.3241463478773428,,,,
AQx,PBDB-T-2Cl,-5.6396683971527,-3.847018129348693,1.792650267804007,1.792650267804007,1.792650267804007,1.263,0.5453977905571508,0.2675695491966499,3.5407193024356687,9.16208889055384,14458.8,1.598057238,5.381507474,12.550861546790925,-5.3105194835879,-2.8813883588110696,2.42913112477683,2.42913112477683,0.3627277627165002,0.2762227696425499,19592.4,1.073636459,3.690165444,51.37906042005772,0.9656297705376228,0.3291489135647998,1.4635013542392072,0.14479075549404063,0.07967580522435813,6.906518282799888,1.7926502678040075,15.034573820154023,10.291230556903324,2.42913112477683,9.106315938698183,5.010362017498698,1.598057238,1.598057238,1.792662649925142,14458.8,1.073636459,1.073636459,2.429147903172695,19592.4,60,0.8767608610955374,701.868803,-2.75,-6.62,0.29,0.7199999999999998,2.0057652251537395,1.435128519,3.87,-4729.439885361892,7.13958,6.567337084,25.69577315254948,3.09,5.517483362398773,9.436601433213225,14.954084795611998,30.035279311986695,18.95341397860876,11.081865333377936,-1.96,-6.14,0.1299999999999999,0.1100000000000003,2.331395060503868,0.283931444,4.18,-17879.61802018557,2.20141,12.985482327,50.14623799112652,3.3899999999999997,5.6716343669250655,3.924043062200957,0.2548392013412589,0.17631602026950835,3.87,8.256009366925063,3.571009366925065,4.18,6.2102930622009564,2.160293062200957,2.5710724439999995,20737.8,2.3313323179999994,18804.1,0.283931444,2.005711246,16177.7,2.005711246,16177.7,1.435128519,1.435128519,1.818247616,0.4800000000000004,0.79,12.908789531254946,1.1635013542392072,1.1635013542392072,4.646425082474601,12.908789531254946,17.555214613729547,6.076094338618845,16.880724771636118,22.956819110254962,65.0,70.0,13.276585385072261,9.76260616578262,3.5139792192896424,9.76260616578262,18.69720308666431,13.748522292636569,4.948680794027744,1.731173125528477,1.156675361676384,84.88984728119378,78.96369034360671,11.790288755868866,6.828340870477663,,,,
AQx,PBDB-TF,-5.6396683971527,-3.847018129348693,1.792650267804007,1.792650267804007,1.792650267804007,1.263,0.5453977905571508,0.2675695491966499,3.5407193024356687,9.16208889055384,14458.8,1.598057238,5.381507474,12.550861546790925,-5.2432529397443,-2.8824738284568574,2.3607791112874428,2.3607791112874428,0.3944834490698499,0.28890327507585,19041.1,1.009233201,3.885868678,53.23318223874788,0.9645443008918352,0.3964154574083993,1.3962348103956077,0.14301807077621034,0.07967580522435813,6.992123404914088,1.7926502678040075,15.034573820154023,10.291230556903324,2.3607791112874428,9.171103791419842,5.108240407319263,1.598057238,1.598057238,1.792662649925142,14458.8,1.009233201,1.009233201,2.3607954175650554,19041.1,60,0.8767608610955374,701.868803,-2.75,-6.62,0.29,0.7199999999999998,2.0057652251537395,1.435128519,3.87,-4729.439885361892,7.13958,6.567337084,25.69577315254948,2.99,5.989790486935695,9.436601433213225,15.42639192014892,29.981192696809426,18.340034885449906,11.641157811359525,-1.99,-6.04,0.1899999999999999,0.2599999999999998,2.2861659392977582,0.548377181,4.05,-15717.647341304437,1.22344,13.040835350999998,48.55193625232204,3.29,5.6716343669250655,3.980302469135802,0.25123718806654377,0.17631602026950835,3.87,8.256009366925063,3.571009366925065,4.05,6.240927469135802,2.225927469135802,2.6317358579999994,21227.1,2.2861044139999995,18439.3,0.059964056,2.005711246,16177.7,2.005711246,16177.7,1.435128519,1.435128519,2.257052621,0.5800000000000001,0.76,12.908789531254946,1.0962348103956077,1.0962348103956077,5.261600286563966,12.908789531254946,18.17038981781891,6.88055422088924,16.880724771635933,23.761278992525174,65.0,70.0,12.947358993888148,9.198191888750847,3.7491671051373006,9.198191888750847,18.23355881978958,12.953666683562329,5.27989213622725,1.669796141136633,1.156675361676384,84.42096775051294,78.96369034360671,11.790288755868866,7.417057261967582,67.14,0.89,22.18,13.31
AQx,PBDB-T,-5.6396683971527,-3.847018129348693,1.792650267804007,1.792650267804007,1.792650267804007,1.263,0.5453977905571508,0.2675695491966499,3.5407193024356687,9.16208889055384,14458.8,1.598057238,5.381507474,12.550861546790925,-5.0676578720166505,-3.015882430635972,2.0517754413806784,2.0517754413806784,0.1565470981926493,0.1861802965120995,16548.8,1.343741812,5.910814255,76.4027433549803,0.8311356987127203,0.572010525136049,1.220639742667958,0.12559912176820245,0.07967580522435813,7.961839110989444,1.7926502678040075,15.034573820154023,10.291230556903324,2.0517754413806784,10.110960151738894,6.069190000412581,1.598057238,1.598057238,1.792662649925142,14458.8,1.343741812,1.343741812,2.05178961332069,16548.8,60,0.8767608610955374,701.868803,-2.75,-6.62,0.29,0.7199999999999998,2.0057652251537395,1.435128519,3.87,-4729.439885361892,7.13958,6.567337084,25.69577315254948,2.8,6.967194681231387,9.436601433213225,16.40379611444461,29.854908928289188,17.17461460844807,12.680294319841122,-1.83,-5.85,0.1600000000000001,0.29,2.1962656219004164,0.241128707,4.02,-15122.809191764589,2.34005,12.751957815,44.74731995091807,3.0999999999999996,5.6716343669250655,3.668059701492538,0.27262369791666663,0.17631602026950835,3.87,8.256009366925063,3.571009366925065,4.02,5.839309701492535,1.9993097014925374,2.625226908,21174.6,2.196206516,17714.2,0.241128707,2.005711246,16177.7,2.005711246,16177.7,1.435128519,1.435128519,2.659886367,0.7700000000000005,0.9199999999999999,12.908789531254946,0.920639742667958,0.920639742667958,8.779289146406708,12.908789531254946,21.688078677661654,11.480608883463601,16.88072477120142,28.361333654665025,65.0,70.0,12.978489662297154,7.724824036936099,5.253665625361054,7.724824036936099,18.277399642285634,10.87874627658525,7.3986533657003815,1.3913735238832161,1.156675361676384,81.86874038221555,78.96369034360671,11.790288755868866,10.000488073657753,,,,
