Molecule,Planarity (Angstrom)
AQx-2,0.8408029419455445
AQx,0.8767608610955374
BCDT-4Cl,1.0362347854898366
BCDT-4F,1.2322640717178746
BDTN-BF,1.19913841482594
BDTN-Th,1.4875424282691874
BT6IC-HD-4Cl,1.241374917872134
BTA3,2.568234745749291
BTA43,2.770906837872791
BTA53,1.4318487991277353
BTCIC-4Cl,1.6732624108251464
BTCIC,1.9569550343782907
BTDT2R,0.4413873443432971
BTN-4F,0.8658924482311195
BTP-4Cl,0.49011033811601673
BTP-PhC6,2.3032924595828
BTSe-4F,1.3590306267460008
BTTPC-Br,1.2426860079418665
BTTPC,1.2240959663216644
CH1007,1.5429666768627524
CPDT-4Cl,1.061169743971015
CPDT-4F,0.9716755004274242
DTG-IW,1.6904670029802522
EH-IDTBR,1.9154435707466955
F-2F,1.0562954895675865
F-H,0.8668243029328273
FDICTF,1.046692754176989
FO-2F,1.5240269143617209
H2,1.6091598249906132
IDF-4F,2.2033233144603397
IDF-IC,2.3091828309359532
IDIC,0.9205276209576623
IDST-4F,1.0639177575452055
IDTCF,1.1127779055223488
IDTT-TBTA,2.0362835653803653
IPTBO-4Cl,2.6009844842630474
IT-4F,2.0547376469216445
ITCC,2.069286128466413
ITIC-Th,2.075814006477657
ITIC,2.0097886673674403
M34,0.8750223153484037
M8,1.1440567950993068
N3,0.9643892071669615
N65-2FIC,1.8929525974535795
N65-IC,1.9675947971117018
NIBT,2.2744202508152784
NIDT,2.097808704063744
NITV,0.7995479725798659
O-IDTBR,0.8996670646455667
PC70BM,1.6268211165608888
PCBM,1.546931168866461
SNBDT1-F,1.188372543925179
SeTIC,2.132543616922231
SeTIC4Cl,2.1324280792739563
TPIC-4Cl,1.9556833236340974
TPIC-4F,1.9506145368746095
TPIC,2.2002829010489173
Y1-4F,0.9331174796445031
Y1,1.3057377347709926
Y11,0.6570262761550253
Y14,1.0797693431550455
Y15,0.8806423905013088
Y16,0.8012515730248204
Y2,0.6086377140585907
Y5,1.0529469718546476
Y6,1.204501241098911
ZY-4Cl,0.7037200980773448
i-cc23,2.264306609832317
i-cc34,2.342051592271298
o-IO1,1.2671510308331333
o-IO2,0.8572079142331833
p-IO1,1.856836077055845
p-IO2,1.977094429997912
