Molecule,HOMO-1 (eV),HOMO (eV),LUMO (eV),LUMO+1 (eV),Delta HOMO,delta LUMO,optical bandgap (cm-1),oscillator strength,single point energy,dipole moment (debye),summed oscs,Abs FOM,first oscs,highest oscs under ten,first Energy Transition eV,first Energy transition wavenumber,lowest Energy Transition eV,lowest Energy transition wavenumber
AQx-2,-7.56,-6.69,-2.71,-2.46,0.8699999999999992,0.25,17214.4,2.455137959,-4650.898343541586,4.60652,6.4796913410000005,19.02107587693138,2.455137959,2.455137959,2.134241312,17214.4,2.134241312,17214.4
AQx,-7.34,-6.62,-2.75,-2.46,0.7199999999999998,0.29000000000000004,16177.7,1.435128519,-4729.439885361892,7.13958,6.567337084,25.695773152549478,1.435128519,1.435128519,2.0057112459999997,16177.7,2.0057112459999997,16177.7
BCDT-4Cl,-7.17,-6.57,-2.83,-2.49,0.5999999999999996,0.33999999999999986,15464.1,2.924657924,-6842.787238424146,6.74253,6.490283652,17.02662989645578,2.924657924,2.924657924,1.917239118,15464.1,1.917239118,15464.1
BCDT-4F,-7.12,-6.55,-2.77,-2.49,0.5700000000000003,0.2799999999999998,15494.5,2.647327116,-5401.462832606189,5.67826,6.05444649,16.2638358456644,2.647327116,2.647327116,1.9210081099999998,15494.5,1.9210081099999998,15494.5
BDTN-BF,-7.33,-6.66,-2.71,-2.42,0.6699999999999999,0.29000000000000004,17209.4,2.380897304,-4929.722801245515,4.68943,6.3002412,19.888847065359656,2.380897304,2.380897304,2.133621412,17209.4,2.133621412,17209.4
BDTN-Th,-7.26,-6.47,-2.65,-2.29,0.79,0.3599999999999999,16353.9,2.061160282,-5174.652680703601,4.67034,5.8940057659999985,23.247393752264525,2.061160282,2.061160282,2.027556522,16353.9,2.027556522,16353.9
BT6IC-HD-4Cl,-7.61,-6.69,-2.77,-2.54,0.9199999999999999,0.22999999999999998,16727.5,2.281705448,-6648.487380374416,4.49813,6.382662754000001,20.465044180510297,2.281705448,2.281705448,2.0738754499999996,16727.5,2.0738754499999996,16727.5
BTA3,-7.18,-6.45,-2.34,-2.14,0.7299999999999995,0.19999999999999973,18719.3,2.393149791,-5245.062704748605,11.36472,5.154871577,19.627698553123402,2.393149791,2.393149791,2.320818814,18719.3,2.320818814,18719.3
BTA43,-7.13,-6.38,-2.32,-2.12,0.75,0.19999999999999973,18401.7,2.074234469,-5545.574682560535,13.90275,5.178403403999999,22.228200808048744,2.074234469,2.074234469,2.281442766,18401.7,2.281442766,18401.7
BTA53,-7.17,-6.4,-2.43,-2.22,0.7699999999999996,0.20999999999999996,17822.2,2.59014987,-5395.360571675223,15.61278,5.091131206,17.613597869283524,2.59014987,2.59014987,2.209596356,17822.2,2.209596356,17822.2
BTCIC-4Cl,-7.27,-6.73,-2.87,-2.54,0.5399999999999991,0.33000000000000007,16251.2,2.628156819,-7163.609837101599,11.314,6.787087049,21.50494231551519,2.628156819,2.628156819,2.014823776,16251.2,2.014823776,16251.2
BTCIC,-7.07,-6.5,-2.71,-2.35,0.5700000000000003,0.3599999999999999,15556.1,2.41458012,-5325.726303404575,4.40763,5.997009449,18.141261195449893,2.41458012,2.41458012,1.9286452779999999,15556.1,1.9286452779999999,15556.1
BTDT2R,-7.35,-6.67,-2.39,-1.54,0.6799999999999997,0.8500000000000001,18776.8,1.5024726,-4306.140697240976,4.62173,3.2191747950000003,15.026828874752958,1.5024726,1.5024726,2.327947664,18776.8,2.327947664,18776.8
BTN-4F,-7.62,-6.64,-2.74,-2.39,0.9800000000000004,0.3500000000000001,16544.8,2.121377948,-3997.601865334547,6.40241,5.488901478,16.835962861991657,2.121377948,2.121377948,2.0512243039999998,16544.8,2.0512243039999998,16544.8
BTP-4Cl,-7.66,-6.75,-2.85,-2.54,0.9100000000000001,0.31000000000000005,16759.4,2.289698648,-6412.965241028885,0.80036,6.621398717,23.463975426404982,2.289698648,2.289698648,2.077830412,16759.4,2.077830412,16759.4
BTP-PhC6,-7.5,-6.62,-2.71,-2.4,0.8799999999999999,0.31000000000000005,16640.5,1.639673913,-5707.948238177581,7.52913,6.6720649320000005,26.65495416562512,1.639673913,1.639673913,2.06308919,16640.5,2.06308919,16640.5
BTSe-4F,-7.63,-6.76,-2.8,-2.49,0.8700000000000001,0.3099999999999996,16756.4,1.88119791,-6304.440035123967,7.49848,5.650199399999998,20.46064937424135,1.88119791,1.88119791,2.077458472,16756.4,2.077458472,16756.4
BTTPC-Br,-7.52,-6.55,-2.59,-2.41,0.9699999999999998,0.17999999999999972,17148.0,2.204410132,-10670.19547075848,8.07442,6.791284734,21.338822682985846,2.204410132,2.204410132,2.12600904,17148.0,2.12600904,17148.0
BTTPC,-7.49,-6.54,-2.56,-2.35,0.9500000000000002,0.20999999999999996,17251.2,2.344992327,-5523.466007500807,7.61001,6.809155565,20.806280005124936,2.344992327,2.344992327,2.138803776,17251.2,2.138803776,17251.2
