,sTDDFTLUMO,sTDDFTHOMO,sTDDFTdeltaLUMO,sTDDFTdeltaHOMO,sTDDFToptbg,sTDDFToscs,sTDDFTfundbg,sTDDFTsinglepointenergy,sTDDFTdipolemoment,sTDDFTsummedoscs,sTDDFTabsFOM,sTDDFTScharberVoc,sTDDFTScharberJscDon,sTDDFTScharberJscAcc,sTDDFTScharberJscTot,sTDDFTScharberPCETot,sTDDFTScharberPCEAcc,sTDDFTScharberPCEDon,donsTDDFTLUMO,donsTDDFTHOMO,donsTDDFTdeltaLUMO,donsTDDFTdeltaHOMO,donsTDDFToptbg,donsTDDFToscs,donsTDDFTfundbg,donsTDDFTsinglepointenergy,donsTDDFTdipolemoment,donsTDDFTsummedoscs,donsTDDFTabsFOM,sTDDFTDHomoALumoOffset,sTDDFTaccElectrophilicity,sTDDFTAccChemHard,sTDDFTAccElectrodonating,sTDDFTAccElectroaccepting,sTDDFTDonChemHard,sTDDFTDonElectrodonating,sTDDFTDonElectroaccepting,sTDDFTdonElectrophilicity,sTDDFTHOMOoffset,sTDDFTLUMOoffset,Planarity,PiSystemSize,sTDDFTdonlowestengtranseV,sTDDFTdonlowestengtranswavenumber,sTDDFTdonfirstengtranseV,sTDDFTdonfirstengtranswavenumber,sTDDFTdonfirstoscs,sTDDFTacclowestengtranseV,sTDDFTacclowestengtranswavenumber,sTDDFTaccfirstengtranseV,sTDDFTaccfirstengtranswavenumber,sTDDFTaccfirstoscs,sTDDFTacchighestoscsunderten,sTDDFTdonhighestoscsunderten,ScharberFF,ExperimentalFF,ExperimentalVoc,ExperimentalJsc,ExperimentalPCE
7,-2.71,-6.69,0.25,0.8699999999999992,2.1342987502479667,2.455137959,3.98,-4650.898343541586,4.60652,6.4796913410000005,19.02107587693138,3.03,5.989790486935695,7.682828798895219,13.672619285830914,26.92822368344399,15.131331319424136,11.796892364019852,-1.99,-6.04,0.1899999999999999,0.2599999999999998,2.2861659392977582,0.548377181,4.05,-15717.647341304437,1.22344,13.040835350999998,48.55193625232204,3.33,5.550251256281407,3.98,8.149001256281407,3.4490012562814067,4.05,6.240927469135802,2.225927469135802,3.980302469135802,0.6500000000000004,0.72,0.8408029419455445,60,2.6317358579999994,21227.1,2.2861044139999995,18439.3,0.059964056,2.134241312,17214.4,2.134241312,17214.4,2.455137959,2.455137959,2.257052621,0.65,76.25,0.86,25.38,16.64
29,-2.75,-6.62,0.29,0.7199999999999998,2.0057652251537395,1.435128519,3.87,-4729.439885361892,7.13958,6.567337084,25.69577315254948,2.99,5.989790486935695,9.436601433213225,15.42639192014892,29.981192696809423,18.340034885449903,11.641157811359523,-1.99,-6.04,0.1899999999999999,0.2599999999999998,2.2861659392977582,0.548377181,4.05,-15717.647341304437,1.22344,13.040835350999998,48.55193625232204,3.29,5.6716343669250655,3.87,8.256009366925063,3.571009366925065,4.05,6.240927469135802,2.225927469135802,3.980302469135802,0.5800000000000001,0.76,0.8767608610955374,60,2.6317358579999994,21227.1,2.2861044139999995,18439.3,0.059964056,2.005711246,16177.7,2.005711246,16177.7,1.435128519,1.435128519,2.257052621,0.65,67.14,0.89,22.18,13.31
50,-2.83,-6.57,0.3399999999999998,0.5999999999999996,1.9172907161277524,2.924657924,3.74,-6842.787238424146,6.74253,6.490283652,17.02662989645578,2.72,6.967194681231387,10.76584699641936,17.733041677650746,31.35201768608652,19.034017489669427,12.31800019641709,-1.83,-5.85,0.1600000000000001,0.29,2.1962656219004164,0.241128707,4.02,-15122.809191764589,2.34005,12.751957815,44.74731995091807,3.02,5.906417112299466,3.74,8.490167112299464,3.790167112299465,4.02,5.839309701492535,1.9993097014925372,3.668059701492538,0.7200000000000006,1.0,1.0362347854898366,63,2.625226908,21174.6,2.196206516,17714.2,0.241128707,1.917239118,15464.1,1.917239118,15464.1,2.924657924,2.924657924,2.659886367,0.65,67.0,0.76,23.77,12.1
72,-2.77,-6.55,0.2799999999999998,0.5700000000000003,1.921059809561595,2.647327116,3.78,-5401.462832606189,5.67826,6.05444649,16.2638358456644,2.78,6.967194681231387,10.717996332988276,17.68519101421966,31.957140162694927,19.36741937370981,12.589720788985115,-1.83,-5.85,0.1600000000000001,0.29,2.1962656219004164,0.241128707,4.02,-15122.809191764589,2.34005,12.751957815,44.74731995091807,3.08,5.744867724867726,3.78,8.311117724867724,3.6511177248677247,4.02,5.839309701492535,1.9993097014925372,3.668059701492538,0.7000000000000002,0.94,1.2322640717178746,63,2.625226908,21174.6,2.196206516,17714.2,0.241128707,1.92100811,15494.5,1.92100811,15494.5,2.647327116,2.647327116,2.659886367,0.65,66.0,0.8,18.28,9.65
95,-2.71,-6.66,0.29,0.6699999999999999,2.133678833564769,2.380897304,3.95,-4929.722801245515,4.68943,6.3002412,19.888847065359656,3.03,5.989790486935695,7.729181144578173,13.718971631513869,27.019514628266563,15.222622264246713,11.796892364019852,-1.99,-6.04,0.1899999999999999,0.2599999999999998,2.2861659392977582,0.548377181,4.05,-15717.647341304437,1.22344,13.040835350999998,48.55193625232204,3.33,5.556765822784811,3.95,8.146140822784812,3.461140822784809,4.05,6.240927469135802,2.225927469135802,3.980302469135802,0.6200000000000001,0.72,1.19913841482594,58,2.6317358579999994,21227.1,2.2861044139999995,18439.3,0.059964056,2.133621412,17209.4,2.133621412,17209.4,2.380897304,2.380897304,2.257052621,0.65,61.46,0.93,20.2,11.54
117,-2.65,-6.47,0.3599999999999999,0.79,2.027611089069629,2.061160282,3.82,-5174.652680703601,4.67034,5.894005765999999,23.247393752264525,3.0900000000000003,5.989790486935695,9.109474350185367,15.099264837121062,30.326873425357658,18.296379232347316,12.030494193010345,-1.99,-6.04,0.1899999999999999,0.2599999999999998,2.2861659392977582,0.548377181,4.05,-15717.647341304437,1.22344,13.040835350999998,48.55193625232204,3.39,5.443350785340314,3.82,7.962100785340313,3.402100785340313,4.05,6.240927469135802,2.225927469135802,3.980302469135802,0.4299999999999997,0.6599999999999999,1.4875424282691874,56,2.6317358579999994,21227.1,2.2861044139999995,18439.3,0.059964056,2.027556522,16353.9,2.027556522,16353.9,2.061160282,2.061160282,2.257052621,0.65,45.11,0.95,8.2,3.53
139,-2.77,-6.69,0.2299999999999999,0.92,2.073931263638167,2.281705448,3.92,-6648.487380374416,4.49813,6.382662754000001,20.465044180510297,2.97,5.989790486935695,8.45563492125462,14.445425408190314,27.886893750511405,16.32360321548204,11.56329053502936,-1.99,-6.04,0.1899999999999999,0.2599999999999998,2.2861659392977582,0.548377181,4.05,-15717.647341304437,1.22344,13.040835350999998,48.55193625232204,3.27,5.7073724489795925,3.92,8.317372448979592,3.5873724489795915,4.05,6.240927469135802,2.225927469135802,3.980302469135802,0.6500000000000004,0.78,1.241374917872134,59,2.6317358579999994,21227.1,2.2861044139999995,18439.3,0.059964056,2.07387545,16727.5,2.07387545,16727.5,2.281705448,2.281705448,2.257052621,0.65,72.65,0.88,24.43,14.9
157,-2.34,-6.45,0.1999999999999997,0.7299999999999995,2.3208812735568336,2.393149791,4.11,-5245.062704748605,11.36472,5.154871577,19.6276985531234,2.91,2.703295592027475,5.644337521426735,8.34763311345421,15.78954803409864,10.67626442177867,5.113283612319969,-0.97,-5.55,0.76,0.79,2.686260166633604,2.364060892,4.58,-3859.844937179237,0.15653,2.785353023,12.01610690118826,3.21,4.699762773722626,4.11,7.154137773722628,2.7591377737226277,4.58,4.2366866812227055,0.9766866812227076,2.320436681222707,0.9000000000000004,1.37,2.568234745749291,58,2.686187874,21666.3,2.686187874,21666.3,2.364060892,2.320818814,18719.3,2.320818814,18719.3,2.393149791,2.393149791,2.364060892,0.65,65.0,0.9,9.64,5.64
179,-2.32,-6.38,0.1999999999999997,0.75,2.281504165840111,2.074234469,4.0600000000000005,-5545.574682560535,13.90275,5.178403403999999,22.228200808048744,2.93,2.703295592027475,6.034024576999637,8.737320169027111,16.640226261912133,11.491799806895813,5.148426455016327,-0.97,-5.55,0.76,0.79,2.686260166633604,2.364060892,4.58,-3859.844937179237,0.15653,2.785353023,12.01610690118826,3.23,4.660714285714284,4.0600000000000005,7.0894642857142856,2.739464285714285,4.58,4.2366866812227055,0.9766866812227076,2.320436681222707,0.8300000000000001,1.35,2.770906837872791,58,2.686187874,21666.3,2.686187874,21666.3,2.364060892,2.281442766,18401.7,2.281442766,18401.7,2.074234469,2.074234469,2.364060892,0.65,68.0,0.89,10.84,6.56
201,-2.43,-6.4,0.2099999999999999,0.7699999999999996,2.2096558222574885,2.59014987,3.97,-5395.360571675223,15.61278,5.091131206,17.613597869283524,2.82,2.703295592027475,6.832665397776074,9.535960989803549,17.479416494309906,12.524275674123544,4.955140820186362,-0.97,-5.55,0.76,0.79,2.686260166633604,2.364060892,4.58,-3859.844937179237,0.15653,2.785353023,12.01610690118826,3.12,4.909880352644836,3.97,7.365505352644837,2.9505053526448366,4.58,4.2366866812227055,0.9766866812227076,2.320436681222707,0.8500000000000005,1.4600000000000002,1.431848799127735,60,2.686187874,21666.3,2.686187874,21666.3,2.364060892,2.209596356,17822.2,2.209596356,17822.2,2.59014987,2.59014987,2.364060892,0.65,62.0,0.88,11.57,6.31
