Acceptor,Donor,sTDDFTLUMO,sTDDFTHOMO,sTDDFTdeltaLUMO,sTDDFTdeltaHOMO,sTDDFToptbg,sTDDFToscs,sTDDFTfundbg,sTDDFTsinglepointenergy,sTDDFTdipolemoment,sTDDFTsummedoscs,sTDDFTabsFOM,sTDDFTScharberVoc,sTDDFTScharberJscDon,sTDDFTScharberJscAcc,sTDDFTScharberJscTot,sTDDFTScharberPCETot,sTDDFTScharberPCEAcc,sTDDFTScharberPCEDon,donsTDDFTLUMO,donsTDDFTHOMO,donsTDDFTdeltaLUMO,donsTDDFTdeltaHOMO,donsTDDFToptbg,donsTDDFToscs,donsTDDFTfundbg,donsTDDFTsinglepointenergy,donsTDDFTdipolemoment,donsTDDFTsummedoscs,donsTDDFTabsFOM,sTDDFTDHomoALumoOffset,sTDDFTaccElectrophilicity,sTDDFTAccChemHard,sTDDFTAccElectrodonating,sTDDFTAccElectroaccepting,sTDDFTDonChemHard,sTDDFTDonElectrodonating,sTDDFTDonElectroaccepting,sTDDFTdonElectrophilicity,sTDDFTHOMOoffset,sTDDFTLUMOoffset,Planarity,PiSystemSize,sTDDFTdonlowestengtranseV,sTDDFTdonlowestengtranswavenumber,sTDDFTdonfirstengtranseV,sTDDFTdonfirstengtranswavenumber,sTDDFTdonfirstoscs,sTDDFTacclowestengtranseV,sTDDFTacclowestengtranswavenumber,sTDDFTaccfirstengtranseV,sTDDFTaccfirstengtranswavenumber,sTDDFTaccfirstoscs,sTDDFTacchighestoscsunderten,sTDDFTdonhighestoscsunderten,ScharberFF,ExperimentalFF,ExperimentalVoc,ExperimentalJsc,ExperimentalPCE
AQx-2,FTAZ,-2.71,-6.69,0.25,0.8699999999999992,2.1342987502479667,2.455137959,3.9800000000000004,-4650.898343541586,4.60652,6.4796913410000005,19.02107587693138,2.92,4.731442027845098,7.682828798895219,12.414270826740317,23.56228602915312,14.582009060303127,8.980276968849996,-1.79,-5.93,0.1799999999999999,0.1600000000000001,2.4196959928585597,5.075779484,4.14,-9410.312718462876,11.64466,8.78473932,21.1573063542578,3.2199999999999998,5.550251256281407,3.9800000000000004,8.149001256281407,3.4490012562814067,4.14,5.7876871980676325,1.9276871980676331,3.598937198067633,0.7600000000000007,0.9199999999999999,0.8408029419455445,60,2.419630874,19516.3,2.419630874,19516.3,5.075779484,2.134241312,17214.4,2.134241312,17214.4,2.455137959,2.455137959,5.075779484,0.65,,,,
AQx-2,J71,-2.71,-6.69,0.25,0.8699999999999992,2.1342987502479667,2.455137959,3.9800000000000004,-4650.898343541586,4.60652,6.4796913410000005,19.02107587693138,2.9000000000000004,4.7719452505417035,7.682828798895219,12.454774049436923,23.4772490831886,14.48213228591749,8.995116797271113,-1.76,-5.91,0.32,0.2199999999999997,2.415988891093037,3.435330346,4.15,-15406.502742895587,4.04634,10.76941207,26.194578388471605,3.2,5.550251256281407,3.9800000000000004,8.149001256281407,3.4490012562814067,4.15,5.720784638554218,1.8857846385542172,3.5439096385542164,0.7800000000000002,0.95,0.8408029419455445,60,2.415923872,19486.4,2.415923872,19486.4,3.435330346,2.134241312,17214.4,2.134241312,17214.4,2.455137959,2.455137959,3.435330346,0.65,,,,
AQx-2,P2,-2.71,-6.69,0.25,0.8699999999999992,2.1342987502479667,2.455137959,3.9800000000000004,-4650.898343541586,4.60652,6.4796913410000005,19.02107587693138,3.21,4.155882326876856,7.682828798895219,11.838711125772075,24.70147076392344,16.030222288894876,8.67124847502856,-2.05,-6.22,0.2099999999999997,0.1100000000000003,2.485717119619123,4.753974721,4.17,-16905.950356579244,6.13653,12.104839638,26.17189741395175,3.51,5.550251256281407,3.9800000000000004,8.149001256281407,3.4490012562814067,4.17,6.4284187649880105,2.2934187649880093,4.10029376498801,0.47000000000000064,0.6600000000000001,0.8408029419455445,60,2.485650224,20048.8,2.485650224,20048.8,4.753974721,2.134241312,17214.4,2.134241312,17214.4,2.455137959,2.455137959,4.753974721,0.65,,,,
AQx-2,P3HT,-2.71,-6.69,0.25,0.8699999999999992,2.1342987502479667,2.455137959,3.9800000000000004,-4650.898343541586,4.60652,6.4796913410000005,19.02107587693138,2.54,2.703295592027475,7.682828798895219,10.386124390922694,17.14749136941337,12.684350346976007,4.4631410224373615,-0.97,-5.55,0.76,0.79,2.686260166633604,2.364060892,4.58,-3859.844937179237,0.15653,2.785353023,12.01610690118826,2.84,5.550251256281407,3.9800000000000004,8.149001256281407,3.4490012562814067,4.58,4.2366866812227055,0.9766866812227076,2.320436681222707,1.1400000000000006,1.74,0.8408029419455445,60,2.686187874,21666.3,2.686187874,21666.3,2.364060892,2.134241312,17214.4,2.134241312,17214.4,2.455137959,2.455137959,2.364060892,0.65,,,,
AQx-2,PBDB-T-2Cl,-2.71,-6.69,0.25,0.8699999999999992,2.1342987502479667,2.455137959,3.9800000000000004,-4650.898343541586,4.60652,6.4796913410000005,19.02107587693138,3.13,5.517483362398773,7.682828798895219,13.200312161293992,26.856035092152627,15.630715191352323,11.225319900800304,-1.96,-6.14,0.1299999999999999,0.1100000000000003,2.331395060503868,0.283931444,4.18,-17879.61802018557,2.20141,12.985482327,50.14623799112652,3.4299999999999997,5.550251256281407,3.9800000000000004,8.149001256281407,3.4490012562814067,4.18,6.2102930622009564,2.160293062200957,3.924043062200957,0.5500000000000007,0.75,0.8408029419455445,60,2.5710724439999995,20737.8,2.3313323179999994,18804.1,0.283931444,2.134241312,17214.4,2.134241312,17214.4,2.455137959,2.455137959,1.818247616,0.65,,,,
AQx-2,PBDB-T-SF,-2.71,-6.69,0.25,0.8699999999999992,2.1342987502479667,2.455137959,3.9800000000000004,-4650.898343541586,4.60652,6.4796913410000005,19.02107587693138,2.9700000000000006,7.189409717688991,7.682828798895219,14.872238516584211,28.710856456265827,14.831700996267225,13.8791554599986,-1.98,-5.98,0.09,0.0999999999999996,2.1783624280896645,0.14610088,4.0,-18106.00965473941,3.00659,14.24515589,62.75526667518831,3.2700000000000005,5.550251256281407,3.9800000000000004,8.149001256281407,3.4490012562814067,4.0,6.200100000000001,2.2201,3.960100000000001,0.71,0.73,0.8408029419455445,60,2.396248246,19327.7,2.178303804,17569.8,0.14610088,2.134241312,17214.4,2.134241312,17214.4,2.455137959,2.455137959,0.880102012,0.65,,,,
AQx-2,PBDB-T,-2.71,-6.69,0.25,0.8699999999999992,2.1342987502479667,2.455137959,3.9800000000000004,-4650.898343541586,4.60652,6.4796913410000005,19.02107587693138,2.84,6.967194681231387,7.682828798895219,14.650023480126606,27.043943344313714,14.182501962760574,12.86144138155314,-1.83,-5.85,0.1600000000000001,0.29,2.1962656219004164,0.241128707,4.02,-15122.809191764589,2.34005,12.751957815,44.74731995091807,3.1399999999999997,5.550251256281407,3.9800000000000004,8.149001256281407,3.4490012562814067,4.02,5.839309701492535,1.9993097014925374,3.668059701492538,0.8400000000000007,0.8799999999999999,0.8408029419455445,60,2.625226908,21174.6,2.196206516,17714.2,0.241128707,2.134241312,17214.4,2.134241312,17214.4,2.455137959,2.455137959,2.659886367,0.65,,,,
AQx-2,PBDB-TF,-2.71,-6.69,0.25,0.8699999999999992,2.1342987502479667,2.455137959,3.9800000000000004,-4650.898343541586,4.60652,6.4796913410000005,19.02107587693138,3.0300000000000002,5.989790486935695,7.682828798895219,13.672619285830914,26.92822368344399,15.131331319424135,11.796892364019852,-1.99,-6.04,0.1899999999999999,0.2599999999999998,2.2861659392977582,0.548377181,4.05,-15717.647341304437,1.22344,13.040835350999998,48.55193625232204,3.33,5.550251256281407,3.9800000000000004,8.149001256281407,3.4490012562814067,4.05,6.240927469135802,2.225927469135802,3.980302469135802,0.6500000000000004,0.72,0.8408029419455445,60,2.6317358579999994,21227.1,2.2861044139999995,18439.3,0.059964056,2.134241312,17214.4,2.134241312,17214.4,2.455137959,2.455137959,2.257052621,0.65,76.25,0.86,25.38,16.64
AQx-2,PBDT-3TCO,-2.71,-6.69,0.25,0.8699999999999992,2.1342987502479667,2.455137959,3.9800000000000004,-4650.898343541586,4.60652,6.4796913410000005,19.02107587693138,3.0700000000000003,4.521306487354939,7.682828798895219,12.204135286250157,24.353351963712193,15.331084868195411,9.022267095516781,-1.9,-6.08,0.1999999999999999,0.1600000000000001,2.44236014679627,5.199305003,4.18,-14105.919536309477,5.08026,11.226781201,26.03033813283712,3.37,5.550251256281407,3.9800000000000004,8.149001256281407,3.4490012562814067,4.18,6.064886363636365,2.0748863636363635,3.808636363636364,0.6100000000000003,0.81,0.8408029419455445,60,2.4422944179999995,19699.1,2.4422944179999995,19699.1,5.199305003,2.134241312,17214.4,2.134241312,17214.4,2.455137959,2.455137959,5.199305003,0.65,,,,
AQx-2,PBN-S,-2.71,-6.69,0.25,0.8699999999999992,2.1342987502479667,2.455137959,3.9800000000000004,-4650.898343541586,4.60652,6.4796913410000005,19.02107587693138,3.24,5.133045086172141,7.682828798895219,12.81587388506736,26.99023040195186,16.180037450473332,10.810192951478529,-2.12,-6.25,0.1,0.1399999999999996,2.3716896449117235,0.218227421,4.13,-17143.844153452093,6.44399,13.714828551999998,45.98916704269934,3.54,5.550251256281407,3.9800000000000004,8.149001256281407,3.4490012562814067,4.13,6.591357445520582,2.4063574455205807,4.240732445520582,0.4400000000000004,0.5899999999999999,0.8408029419455445,60,2.50414804,20198.0,2.371625818,19129.1,0.218227421,2.134241312,17214.4,2.134241312,17214.4,2.455137959,2.455137959,2.769604361,0.65,,,,
