Molecule,Lowest energy triplet state (eV)
AQx-2,1.349
AQx,1.263
BCDT-4Cl,1.117
BCDT-4F,1.118
BDTN-BF,1.302
BDTN-Th,1.228
BT6IC-HD-4Cl,1.293
BTA3,1.354
BTA43,1.326
BTA53,1.258
BTCIC-4Cl,1.159
BTCIC,1.098
BTDT2R,1.335
BTN-4F,1.261
BTP-4Cl,1.308
BTP-PhC6,1.309
BTSe-4F,1.311
BTTPC-Br,1.335
BTTPC,1.346
CH1007,1.294
CPDT-4Cl,1.07
CPDT-4F,1.14
DTG-IW,1.318
EH-IDTBR,1.156
F-2F,1.444
F-H,1.435
FDICTF,1.415
FO-2F,1.442
H2,1.259
IDF-4F,1.257
IDF-IC,1.292
IDIC,1.404
IDST-4F,1.128
IDTCF,1.272
IDTT-TBTA,1.502
IPTBO-4Cl,1.216
IT-4F,1.344
ITCC,1.377
ITIC-Th,1.299
ITIC,1.282
M34,1.249
M8,1.257
N3,1.343
N65-2FIC,1.193
N65-IC,1.206
NIBT,1.276
NIDT,1.477
NITV,1.277
O-IDTBR,1.123
PC70BM,1.64
PCBM,1.637
SNBDT1-F,1.203
SeTIC,1.224
SeTIC4Cl,1.273
TPIC-4Cl,1.285
TPIC-4F,1.313
TPIC,1.262
Y1-4F,1.29
Y1,1.161
Y11,1.296
Y14,1.326
Y15,1.276
Y16,1.304
Y2,1.256
Y5,1.296
Y6,1.324
ZY-4Cl,1.473
i-cc23,1.461
i-cc34,1.326
o-IO1,1.167
o-IO2,1.055
p-IO1,1.151
p-IO2,1.178
