Wavelength (nm),Irradiance (W/m^2 nm),Normalized,,wavelength,1.5 AM irrandiance,Normalized 1.5AM
250.5,6.23E-02,0.00976,,280,2.54E-26,1.77E-26
251.5,4.69E-02,0.00265,,280.5,1.09E-24,7.61E-25
252.5,4.11E-02,0,,281,6.13E-24,4.27E-24
253.5,5.38E-02,0.00582,,281.5,2.75E-22,1.92E-22
254.5,5.85E-02,0.00803,,282,2.83E-21,1.98E-21
255.5,8.46E-02,0.02003,,282.5,1.33E-20,9.25E-21
256.5,1.02E-01,0.02809,,283,6.76E-20,4.71E-20
257.5,1.27E-01,0.03981,,283.5,1.46E-19,1.02E-19
258.5,1.36E-01,0.04355,,284,4.98E-18,3.47E-18
259.5,1.12E-01,0.03252,,284.5,2.16E-17,1.51E-17
260.5,9.02E-02,0.02262,,285,9.00E-17,6.27E-17
261.5,8.88E-02,0.02201,,285.5,6.44E-16,4.49E-16
262.5,1.12E-01,0.03266,,286,2.35E-15,1.64E-15
263.5,1.63E-01,0.05628,,286.5,1.85E-14,1.29E-14
264.5,2.74E-01,0.1076,,287,7.25E-14,5.06E-14
265.5,2.76E-01,0.10843,,287.5,3.66E-13,2.55E-13
266.5,2.62E-01,0.10179,,288,2.81E-12,1.96E-12
267.5,2.70E-01,0.10566,,288.5,9.07E-12,6.32E-12
268.5,2.62E-01,0.10206,,289,3.50E-11,2.44E-11
269.5,2.42E-01,0.09274,,289.5,1.54E-10,1.07E-10
270.5,2.98E-01,0.11831,,290,5.15E-10,3.59E-10
271.5,2.45E-01,0.09413,,290.5,1.33E-09,9.27E-10
272.5,1.96E-01,0.07128,,291,3.90E-09,2.72E-09
273.5,2.25E-01,0.0848,,291.5,1.44E-08,1.01E-08
274.5,1.27E-01,0.03939,,292,4.08E-08,2.84E-08
275.5,1.85E-01,0.06639,,292.5,7.04E-08,4.91E-08
276.5,2.68E-01,0.1047,,293,1.58E-07,1.10E-07
277.5,2.63E-01,0.10216,,293.5,4.71E-07,3.28E-07
278.5,1.71E-01,0.05988,,294,9.46E-07,6.59E-07
279.5,7.82E-02,0.01711,,294.5,1.60E-06,1.11E-06
280,7.85E-02,0.01722,,295,3.22E-06,2.25E-06
280.5,1.02E-01,0.02823,,295.5,8.02E-06,5.59E-06
281,1.72E-01,0.06021,,296,1.47E-05,1.03E-05
281.5,2.41E-01,0.09223,,296.5,2.33E-05,1.62E-05
282,2.92E-01,0.11559,,297,3.32E-05,2.31E-05
282.5,3.14E-01,0.12602,,297.5,6.79E-05,4.73E-05
283,3.43E-01,0.13926,,298,1.11E-04,7.76E-05
283.5,3.22E-01,0.12975,,298.5,1.43E-04,9.95E-05
284,3.21E-01,0.1292,,299,2.03E-04,1.42E-04
284.5,2.51E-01,0.09703,,299.5,3.74E-04,2.61E-04
285,1.19E-01,0.0357,,300,4.56E-04,3.18E-04
285.5,1.38E-01,0.04456,,300.5,5.72E-04,3.99E-04
286,3.01E-01,0.11974,,301,9.19E-04,6.41E-04
286.5,3.58E-01,0.14628,,301.5,0.0013201,9.20E-04
287,3.78E-01,0.15537,,302,0.001457,1.02E-03
287.5,3.78E-01,0.15555,,302.5,0.002191,1.53E-03
288,2.50E-01,0.09657,,303,0.0037332,2.60E-03
288.5,3.59E-01,0.1466,,303.5,0.0048044,3.35E-03
289,4.20E-01,0.17489,,304,0.0050973,3.55E-03
289.5,4.91E-01,0.20766,,304.5,0.0064675,4.51E-03
290,6.18E-01,0.26608,,305,0.0089336,6.23E-03
290.5,6.46E-01,0.2791,,305.5,0.010186,7.10E-03
291,6.10E-01,0.26239,,306,0.01015,7.07E-03
291.5,6.02E-01,0.25884,,306.5,0.011568,8.06E-03
292,5.73E-01,0.24536,,307,0.015246,1.06E-02
292.5,4.97E-01,0.21015,,307.5,0.019468,1.36E-02
293,5.67E-01,0.24278,,308,0.020753,1.45E-02
293.5,5.76E-01,0.24684,,308.5,0.02275,1.59E-02
294,5.04E-01,0.21356,,309,0.022298,1.55E-02
294.5,5.43E-01,0.23179,,309.5,0.023672,1.65E-02
295,5.16E-01,0.21915,,310,0.027826,1.94E-02
295.5,5.82E-01,0.24965,,310.5,0.035879,2.50E-02
296,6.21E-01,0.2676,,311,0.045392,3.16E-02
296.5,4.93E-01,0.20835,,311.5,0.046156,3.22E-02
297,4.24E-01,0.17673,,312,0.050898,3.55E-02
297.5,5.98E-01,0.2568,,312.5,0.053766,3.75E-02
298,5.58E-01,0.23839,,313,0.058323,4.07E-02
298.5,3.79E-01,0.15583,,313.5,0.058999,4.11E-02
299,5.77E-01,0.24716,,314,0.065266,4.55E-02
299.5,5.21E-01,0.22164,,314.5,0.070476,4.91E-02
300,4.17E-01,0.17327,,315,0.073686,5.14E-02
300.5,4.39E-01,0.18366,,315.5,0.064833,4.52E-02
301,4.94E-01,0.20895,,316,0.067088,4.68E-02
301.5,5.30E-01,0.22538,,316.5,0.081118,5.65E-02
302,3.74E-01,0.15375,,317,0.09302,6.48E-02
302.5,5.44E-01,0.23193,,317.5,0.099712,6.95E-02
303,6.77E-01,0.29331,,318,0.095815,6.68E-02
303.5,6.89E-01,0.2988,,318.5,0.10005,6.97E-02
304,5.77E-01,0.24734,,319,0.10971,7.65E-02
304.5,6.48E-01,0.28011,,319.5,0.10693,7.45E-02
305,6.73E-01,0.29156,,320,0.11277,7.86E-02
305.5,6.12E-01,0.26363,,320.5,0.13305,9.27E-02
306,5.42E-01,0.23124,,321,0.13414,9.35E-02
306.5,5.86E-01,0.25131,,321.5,0.12817,8.93E-02
307,6.44E-01,0.27831,,322,0.122,8.50E-02
307.5,6.52E-01,0.28168,,322.5,0.1197,8.34E-02
308,6.56E-01,0.28389,,323,0.11623,8.10E-02
308.5,6.80E-01,0.29492,,323.5,0.13393,9.33E-02
309,5.62E-01,0.24033,,324,0.14852,1.04E-01
